; Candidate 7199
; ADRP+ADD at VM 0xfffffff00885ed8c (fileoff 0x185ad8c): page=0x1fe98b000 add_imm=0xe80

0xfffffff00885ed0c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885ed10: 880c8052  mov	w8, #0x64
0xfffffff00885ed14: 404effb0  adrp	x0, #0xfffffff007227000
0xfffffff00885ed18: 00603191  add	x0, x0, #0xc58
0xfffffff00885ed1c: e80700f9  str	x8, [sp, #8]
0xfffffff00885ed20: a80357f8  ldur	x8, [x29, #-0x90]
0xfffffff00885ed24: e80300f9  str	x8, [sp]
0xfffffff00885ed28: ce61d597  bl	#0xfffffff007db7460
0xfffffff00885ed2c: 9d000014  b	#0xfffffff00885efa0
0xfffffff00885ed30: 1f550194  bl	#0xfffffff0088b41ac
0xfffffff00885ed34: fb0300aa  mov	x27, x0
0xfffffff00885ed38: 80008052  mov	w0, #4
0xfffffff00885ed3c: c5720094  bl	#0xfffffff00887b850
0xfffffff00885ed40: e80319aa  mov	x8, x25
0xfffffff00885ed44: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885ed48: faa305a9  stp	x26, x8, [sp, #0x58]
0xfffffff00885ed4c: f8d304a9  stp	x24, x20, [sp, #0x48]
0xfffffff00885ed50: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff00885ed54: 884dffd0  adrp	x8, #0xfffffff007210000
0xfffffff00885ed58: 0ab92791  add	x10, x8, #0x9ee
0xfffffff00885ed5c: a84b8052  mov	w8, #0x25d
0xfffffff00885ed60: 494effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885ed64: 29792491  add	x9, x9, #0x91e
0xfffffff00885ed68: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885ed6c: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885ed70: 08811191  add	x8, x8, #0x460
0xfffffff00885ed74: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885ed78: 880c8052  mov	w8, #0x64
0xfffffff00885ed7c: a34ffff0  adrp	x3, #0xfffffff007255000
0xfffffff00885ed80: 63382591  add	x3, x3, #0x94e
0xfffffff00885ed84: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885ed88: fb0300f9  str	x27, [sp]
0xfffffff00885ed8c: 404cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885ed90: 00003a91  add	x0, x0, #0xe80
0xfffffff00885ed94: 418dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00885ed98: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885ed9c: 02008052  mov	w2, #0
0xfffffff00885eda0: e450eb97  bl	#0xfffffff008333130
0xfffffff00885eda4: da0500b4  cbz	x26, #0xfffffff00885ee5c
0xfffffff00885eda8: b80315f8  stur	x24, [x29, #-0xb0]
0xfffffff00885edac: f8031aaa  mov	x24, x26
0xfffffff00885edb0: a8c355b8  ldur	w8, [x29, #-0xa4]
0xfffffff00885edb4: 88ebff34  cbz	w8, #0xfffffff00885eb24
0xfffffff00885edb8: 42020014  b	#0xfffffff00885f6c0
0xfffffff00885edbc: fc540194  bl	#0xfffffff0088b41ac
0xfffffff00885edc0: f90300aa  mov	x25, x0
0xfffffff00885edc4: c0008052  mov	w0, #6
0xfffffff00885edc8: a2720094  bl	#0xfffffff00887b850
0xfffffff00885edcc: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885edd0: 89024079  ldrh	w9, [x20]
0xfffffff00885edd4: 8a1240b9  ldr	w10, [x20, #0x10]
0xfffffff00885edd8: ab0357f8  ldur	x11, [x29, #-0x90]
0xfffffff00885eddc: 6b1100b4  cbz	x11, #0xfffffff00885f008
0xfffffff00885ede0: 6bc540b9  ldr	w11, [x11, #0xc4]
0xfffffff00885ede4: 8a000014  b	#0xfffffff00885f00c
0xfffffff00885ede8: f1540194  bl	#0xfffffff0088b41ac
0xfffffff00885edec: f90300aa  mov	x25, x0
0xfffffff00885edf0: 80008052  mov	w0, #4
0xfffffff00885edf4: 97720094  bl	#0xfffffff00887b850
0xfffffff00885edf8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885edfc: 09018052  mov	w9, #8
0xfffffff00885ee00: e9f304a9  stp	x9, x28, [sp, #0x48]
0xfffffff00885ee04: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00885ee08: 484effb0  adrp	x8, #0xfffffff007227000
