; Candidate 9017
; ADRP+ADD at VM 0xfffffff00897d89c (fileoff 0x197989c): page=0x195f000 add_imm=0xd58

0xfffffff00897d81c: 2821c81a  lsl	w8, w9, w8
0xfffffff00897d820: 087c1129  stp	w8, wzr, [x0, #0x88]
0xfffffff00897d824: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00897d828: ff0f5fd6  retab	
0xfffffff00897d82c: 5f2403d5  bti	c
0xfffffff00897d830: 1e35fe17  b	#0xfffffff00890aca8
0xfffffff00897d834: 5f2403d5  bti	c
0xfffffff00897d838: 1c35fe17  b	#0xfffffff00890aca8
0xfffffff00897d83c: 7f2303d5  pacibsp	
0xfffffff00897d840: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00897d844: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00897d848: fd430091  add	x29, sp, #0x10
0xfffffff00897d84c: f30300aa  mov	x19, x0
0xfffffff00897d850: 1635fe97  bl	#0xfffffff00890aca8
0xfffffff00897d854: a085ffd0  adrp	x0, #0xfffffff007a33000
0xfffffff00897d858: 00801a91  add	x0, x0, #0x6a0
0xfffffff00897d85c: e10313aa  mov	x1, x19
0xfffffff00897d860: 023d8052  mov	w2, #0x1e8
0xfffffff00897d864: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00897d868: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00897d86c: ff2303d5  autibsp	
0xfffffff00897d870: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00897d874: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00897d87c
0xfffffff00897d878: 208e38d4  brk	#0xc471
0xfffffff00897d87c: 88a7e517  b	#0xfffffff0082e769c
0xfffffff00897d880: 5f2403d5  bti	c
0xfffffff00897d884: e20301aa  mov	x2, x1
0xfffffff00897d888: e10300aa  mov	x1, x0
0xfffffff00897d88c: a085ffd0  adrp	x0, #0xfffffff007a33000
0xfffffff00897d890: 00801a91  add	x0, x0, #0x6a0
0xfffffff00897d894: 82a7e517  b	#0xfffffff0082e769c
0xfffffff00897d898: 5f2403d5  bti	c
0xfffffff00897d89c: e0ca00f0  adrp	x0, #0xfffffff00a2dc000
0xfffffff00897d8a0: 00603591  add	x0, x0, #0xd58
0xfffffff00897d8a4: c0035fd6  ret	
0xfffffff00897d8a8: 7f2303d5  pacibsp	
0xfffffff00897d8ac: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00897d8b0: fd030091  mov	x29, sp
0xfffffff00897d8b4: 2148ffb0  adrp	x1, #0xfffffff007282000
0xfffffff00897d8b8: 21a40491  add	x1, x1, #0x129
0xfffffff00897d8bc: 8285ff90  adrp	x2, #0xfffffff007a2d000
0xfffffff00897d8c0: 420c47f9  ldr	x2, [x2, #0xe18]
0xfffffff00897d8c4: 033d8052  mov	w3, #0x1e8
0xfffffff00897d8c8: 9c98e597  bl	#0xfffffff0082e3b38
0xfffffff00897d8cc: b085ffb0  adrp	x16, #0xfffffff007a32000
0xfffffff00897d8d0: 10622d91  add	x16, x16, #0xb58
0xfffffff00897d8d4: 10420091  add	x16, x16, #0x10
0xfffffff00897d8d8: f10300aa  mov	x17, x0
0xfffffff00897d8dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00897d8e0: 300ac1da  pacda	x16, x17
0xfffffff00897d8e4: 100000f9  str	x16, [x0]
0xfffffff00897d8e8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00897d8ec: ff0f5fd6  retab	
0xfffffff00897d8f0: 7f2303d5  pacibsp	
0xfffffff00897d8f4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00897d8f8: fd030091  mov	x29, sp
0xfffffff00897d8fc: a085ffd0  adrp	x0, #0xfffffff007a33000
0xfffffff00897d900: 00801a91  add	x0, x0, #0x6a0
0xfffffff00897d904: 013d8052  mov	w1, #0x1e8
0xfffffff00897d908: 4ca7e597  bl	#0xfffffff0082e7638
0xfffffff00897d90c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00897d910: ff2303d5  autibsp	
0xfffffff00897d914: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00897d918: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00897d920
