; Candidate 11181
; ADRP+ADD at VM 0xfffffff008e8d48c (fileoff 0x1e8948c): page=0x1fe54e000 add_imm=0xeb3

0xfffffff008e8d40c: 084440f9  ldr	x8, [x0, #0x88]
0xfffffff008e8d410: 08f960b9  ldr	w8, [x8, #0x20f8]
0xfffffff008e8d414: 1f090071  cmp	w8, #2
0xfffffff008e8d418: 61000054  b.ne	#0xfffffff008e8d424
0xfffffff008e8d41c: 34008052  mov	w20, #1
0xfffffff008e8d420: 0e000014  b	#0xfffffff008e8d458
0xfffffff008e8d424: 700240f9  ldr	x16, [x19]
0xfffffff008e8d428: f10313aa  mov	x17, x19
0xfffffff008e8d42c: 1178f1f2  movk	x17, #0x8bc0, lsl #48
0xfffffff008e8d430: 301ac1da  autda	x16, x17
0xfffffff008e8d434: 117581d2  mov	x17, #0xba8
0xfffffff008e8d438: 1002118b  add	x16, x16, x17
0xfffffff008e8d43c: 080240f9  ldr	x8, [x16]
0xfffffff008e8d440: e90310aa  mov	x9, x16
0xfffffff008e8d444: e00313aa  mov	x0, x19
0xfffffff008e8d448: f10309aa  mov	x17, x9
0xfffffff008e8d44c: d1f9e0f2  movk	x17, #0x7ce, lsl #48
0xfffffff008e8d450: 11093fd7  blraa	x8, x17
0xfffffff008e8d454: f40300aa  mov	x20, x0
0xfffffff008e8d458: 602affd0  adrp	x0, #0xfffffff0073db000
0xfffffff008e8d45c: 00a43a91  add	x0, x0, #0xea9
0xfffffff008e8d460: e1330091  add	x1, sp, #0xc
0xfffffff008e8d464: 82008052  mov	w2, #4
0xfffffff008e8d468: 03ee2a94  bl	#0xfffffff009948c74
0xfffffff008e8d46c: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff008e8d470: 1f000071  cmp	w0, #0
0xfffffff008e8d474: 8202881a  csel	w2, w20, w8, eq
0xfffffff008e8d478: 5f080071  cmp	w2, #2
0xfffffff008e8d47c: 0b010054  b.lt	#0xfffffff008e8d49c
0xfffffff008e8d480: 682affd0  adrp	x8, #0xfffffff0073db000
0xfffffff008e8d484: 08bd3b91  add	x8, x8, #0xeef
0xfffffff008e8d488: e80300f9  str	x8, [sp]
0xfffffff008e8d48c: 602affd0  adrp	x0, #0xfffffff0073db000
0xfffffff008e8d490: 00cc3a91  add	x0, x0, #0xeb3
0xfffffff008e8d494: e326d397  bl	#0xfffffff008357020
0xfffffff008e8d498: 02008052  mov	w2, #0
0xfffffff008e8d49c: 625a1bb9  str	w2, [x19, #0x1b58]
0xfffffff008e8d4a0: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff008e8d4a4: 612affd0  adrp	x1, #0xfffffff0073db000
0xfffffff008e8d4a8: 21a43a91  add	x1, x1, #0xea9
0xfffffff008e8d4ac: d4b20094  bl	#0xfffffff008eb9ffc
0xfffffff008e8d4b0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008e8d4b4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008e8d4b8: ffc30091  add	sp, sp, #0x30
0xfffffff008e8d4bc: ff0f5fd6  retab	
0xfffffff008e8d4c0: 7f2303d5  pacibsp	
0xfffffff008e8d4c4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008e8d4c8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008e8d4cc: fd430091  add	x29, sp, #0x10
0xfffffff008e8d4d0: f30300aa  mov	x19, x0
0xfffffff008e8d4d4: b063fff0  adrp	x16, #0xfffffff007b04000
0xfffffff008e8d4d8: 10c23991  add	x16, x16, #0xe70
0xfffffff008e8d4dc: 10420091  add	x16, x16, #0x10
0xfffffff008e8d4e0: f10300aa  mov	x17, x0
0xfffffff008e8d4e4: 1178f1f2  movk	x17, #0x8bc0, lsl #48
0xfffffff008e8d4e8: 300ac1da  pacda	x16, x17
0xfffffff008e8d4ec: 100000f9  str	x16, [x0]
0xfffffff008e8d4f0: 14a84df9  ldr	x20, [x0, #0x1b50]
0xfffffff008e8d4f4: f40000b4  cbz	x20, #0xfffffff008e8d510
0xfffffff008e8d4f8: e00314aa  mov	x0, x20
0xfffffff008e8d4fc: 3c4a0094  bl	#0xfffffff008e9fdec
0xfffffff008e8d500: 0064ffb0  adrp	x0, #0xfffffff007b0e000
0xfffffff008e8d504: 00000891  add	x0, x0, #0x200
0xfffffff008e8d508: e10314aa  mov	x1, x20
