; Candidate 15910
; ADRP+ADD at VM 0xfffffff009dd6924 (fileoff 0x2dd2924): page=0x1fd8c6000 add_imm=0xe2d

0xfffffff009dd68a4: 08ff60d3  lsr	x8, x24, #0x20
0xfffffff009dd68a8: 1f01186b  cmp	w8, w24
0xfffffff009dd68ac: c2030054  b.hs	#0xfffffff009dd6924
0xfffffff009dd68b0: e30208ab  adds	x3, x23, x8
0xfffffff009dd68b4: e9379f1a  cset	w9, hs
0xfffffff009dd68b8: 28014093  sbfx	x8, x9, #0, #1
0xfffffff009dd68bc: 090109ca  eor	x9, x8, x9
0xfffffff009dd68c0: 890300b5  cbnz	x9, #0xfffffff009dd6930
0xfffffff009dd68c4: 6803f8b7  tbnz	x8, #0x3f, #0xfffffff009dd6930
0xfffffff009dd68c8: d00240f9  ldr	x16, [x22]
0xfffffff009dd68cc: f10316aa  mov	x17, x22
0xfffffff009dd68d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dd68d4: 301ac1da  autda	x16, x17
0xfffffff009dd68d8: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff009dd68dc: e50310aa  mov	x5, x16
0xfffffff009dd68e0: f00308aa  mov	x16, x8
0xfffffff009dd68e4: e00316aa  mov	x0, x22
0xfffffff009dd68e8: e10315aa  mov	x1, x21
0xfffffff009dd68ec: e20314aa  mov	x2, x20
0xfffffff009dd68f0: e40313aa  mov	x4, x19
0xfffffff009dd68f4: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009dd68f8: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009dd68fc: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009dd6900: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff009dd6904: ff430191  add	sp, sp, #0x50
0xfffffff009dd6908: ff2303d5  autibsp	
0xfffffff009dd690c: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009dd6910: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009dd6918
0xfffffff009dd6914: 208e38d4  brk	#0xc471
0xfffffff009dd6918: f10305aa  mov	x17, x5
0xfffffff009dd691c: 71eaf0f2  movk	x17, #0x8753, lsl #48
0xfffffff009dd6920: 110a1fd7  braa	x16, x17
0xfffffff009dd6924: 20c6fed0  adrp	x0, #0xfffffff00769c000
0xfffffff009dd6928: 00b43891  add	x0, x0, #0xe2d
0xfffffff009dd692c: 2c000094  bl	#0xfffffff009dd69dc
0xfffffff009dd6930: 20c6feb0  adrp	x0, #0xfffffff00769b000
0xfffffff009dd6934: 004c0691  add	x0, x0, #0x193
0xfffffff009dd6938: 29000094  bl	#0xfffffff009dd69dc
0xfffffff009dd693c: 5f2403d5  bti	c
0xfffffff009dd6940: 6d379417  b	#0xfffffff0082e46f4
0xfffffff009dd6944: 7f2303d5  pacibsp	
0xfffffff009dd6948: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009dd694c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009dd6950: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009dd6954: fd830091  add	x29, sp, #0x20
0xfffffff009dd6958: f30302aa  mov	x19, x2
0xfffffff009dd695c: f50301aa  mov	x21, x1
0xfffffff009dd6960: f40300aa  mov	x20, x0
0xfffffff009dd6964: 100040f9  ldr	x16, [x0]
0xfffffff009dd6968: f10300aa  mov	x17, x0
0xfffffff009dd696c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dd6970: 301ac1da  autda	x16, x17
0xfffffff009dd6974: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff009dd6978: e90310aa  mov	x9, x16
0xfffffff009dd697c: f10309aa  mov	x17, x9
0xfffffff009dd6980: f153f3f2  movk	x17, #0x9a9f, lsl #48
0xfffffff009dd6984: 11093fd7  blraa	x8, x17
0xfffffff009dd6988: 1f00156b  cmp	w0, w21
0xfffffff009dd698c: e1010054  b.ne	#0xfffffff009dd69c8
0xfffffff009dd6990: 900240f9  ldr	x16, [x20]
0xfffffff009dd6994: f10314aa  mov	x17, x20
0xfffffff009dd6998: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dd699c: 301ac1da  autda	x16, x17
0xfffffff009dd69a0: 080e48f8  ldr	x8, [x16, #0x80]!
