; Candidate 12530
; ADRP+ADD at VM 0xfffffff0090af198 (fileoff 0x20ab198): page=0x1fe3aa000 add_imm=0xe24

0xfffffff0090af118: f40300aa  mov	x20, x0
0xfffffff0090af11c: 179300d0  adrp	x23, #0xfffffff00a311000
0xfffffff0090af120: f7a20391  add	x23, x23, #0xe8
0xfffffff0090af124: e8024039  ldrb	w8, [x23]
0xfffffff0090af128: b51dff90  adrp	x21, #0xfffffff007463000
0xfffffff0090af12c: b5821691  add	x21, x21, #0x5a0
0xfffffff0090af130: b61dffd0  adrp	x22, #0xfffffff007465000
0xfffffff0090af134: d69e3891  add	x22, x22, #0xe27
0xfffffff0090af138: 1f290071  cmp	w8, #0xa
0xfffffff0090af13c: a8000054  b.hi	#0xfffffff0090af150
0xfffffff0090af140: f65700a9  stp	x22, x21, [sp]
0xfffffff0090af144: 401dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090af148: 00583191  add	x0, x0, #0xc56
0xfffffff0090af14c: b59fca97  bl	#0xfffffff008357020
0xfffffff0090af150: 88e24039  ldrb	w8, [x20, #0x38]
0xfffffff0090af154: 68030034  cbz	w8, #0xfffffff0090af1c0
0xfffffff0090af158: 801640f9  ldr	x0, [x20, #0x28]
0xfffffff0090af15c: 82420191  add	x2, x20, #0x50
0xfffffff0090af160: 61008052  mov	w1, #3
0xfffffff0090af164: 03a18252  mov	w3, #0x1508
0xfffffff0090af168: e40313aa  mov	x4, x19
0xfffffff0090af16c: f3b3ff97  bl	#0xfffffff00909c138
0xfffffff0090af170: f30300aa  mov	x19, x0
0xfffffff0090af174: 60040035  cbnz	w0, #0xfffffff0090af200
0xfffffff0090af178: 48018052  mov	w8, #0xa
0xfffffff0090af17c: e9024039  ldrb	w9, [x23]
0xfffffff0090af180: 1f01096b  cmp	w8, w9
0xfffffff0090af184: 03010054  b.lo	#0xfffffff0090af1a4
0xfffffff0090af188: e80313aa  mov	x8, x19
0xfffffff0090af18c: 087d4093  sxtw	x8, w8
0xfffffff0090af190: f65700a9  stp	x22, x21, [sp]
0xfffffff0090af194: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090af198: 401dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090af19c: 00903891  add	x0, x0, #0xe24
0xfffffff0090af1a0: a09fca97  bl	#0xfffffff008357020
0xfffffff0090af1a4: e00313aa  mov	x0, x19
0xfffffff0090af1a8: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090af1ac: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090af1b0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090af1b4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090af1b8: ffc30191  add	sp, sp, #0x70
0xfffffff0090af1bc: ff0f5fd6  retab	
0xfffffff0090af1c0: 28418052  mov	w8, #0x209
0xfffffff0090af1c4: a91dffd0  adrp	x9, #0xfffffff007465000
0xfffffff0090af1c8: 29c13891  add	x9, x9, #0xe30
0xfffffff0090af1cc: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090af1d0: 481dffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090af1d4: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090af1d8: 4a1dfff0  adrp	x10, #0xfffffff00745a000
0xfffffff0090af1dc: 4aed2191  add	x10, x10, #0x87b
0xfffffff0090af1e0: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090af1e4: ea0300f9  str	x10, [sp]
0xfffffff0090af1e8: 401dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090af1ec: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090af1f0: 8c9fca97  bl	#0xfffffff008357020
0xfffffff0090af1f4: c8088052  mov	w8, #0x46
0xfffffff0090af1f8: b3018012  mov	w19, #-0xe
0xfffffff0090af1fc: e0ffff17  b	#0xfffffff0090af17c
0xfffffff0090af200: 687e4093  sxtw	x8, w19
0xfffffff0090af204: a9418052  mov	w9, #0x20d
0xfffffff0090af208: aa1dffd0  adrp	x10, #0xfffffff007465000
0xfffffff0090af20c: 4ac13891  add	x10, x10, #0xe30
0xfffffff0090af210: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff0090af214: 491dffd0  adrp	x9, #0xfffffff007459000
