; Candidate 16498
; ADRP+ADD at VM 0xfffffff009ec6e8c (fileoff 0x2ec2e8c): page=0x1fd97c000 add_imm=0xdd1

0xfffffff009ec6e0c: f8824439  ldrb	w24, [x23, #0x120]
0xfffffff009ec6e10: e86b40b9  ldr	w8, [sp, #0x68]
0xfffffff009ec6e14: 6803082a  orr	w8, w27, w8
0xfffffff009ec6e18: 68040037  tbnz	w8, #0, #0xfffffff009ec6ea4
0xfffffff009ec6e1c: e00317aa  mov	x0, x23
0xfffffff009ec6e20: e10313aa  mov	x1, x19
0xfffffff009ec6e24: be130194  bl	#0xfffffff009f0bd1c
0xfffffff009ec6e28: e0030034  cbz	w0, #0xfffffff009ec6ea4
0xfffffff009ec6e2c: fa0300aa  mov	x26, x0
0xfffffff009ec6e30: 083e8452  mov	w8, #0x21f0
0xfffffff009ec6e34: e802088b  add	x8, x23, x8
0xfffffff009ec6e38: 095d8152  mov	w9, #0xae8
0xfffffff009ec6e3c: eacbfe90  adrp	x10, #0xfffffff007842000
0xfffffff009ec6e40: 4ae11e91  add	x10, x10, #0x7b8
0xfffffff009ec6e44: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ec6e48: e86b01a9  stp	x8, x26, [sp, #0x10]
0xfffffff009ec6e4c: e0cbfe90  adrp	x0, #0xfffffff007842000
0xfffffff009ec6e50: 000c3991  add	x0, x0, #0xe43
0xfffffff009ec6e54: 9ce2fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec6e58: 1b008052  mov	w27, #0
0xfffffff009ec6e5c: ff6b00b9  str	wzr, [sp, #0x68]
0xfffffff009ec6e60: 141b0653  ubfx	w20, w24, #6, #1
0xfffffff009ec6e64: 50010014  b	#0xfffffff009ec73a4
0xfffffff009ec6e68: e0031aaa  mov	x0, x26
0xfffffff009ec6e6c: 34967b97  bl	#0xfffffff007dac73c
0xfffffff009ec6e70: 083e8452  mov	w8, #0x21f0
0xfffffff009ec6e74: e802088b  add	x8, x23, x8
0xfffffff009ec6e78: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ec6e7c: e8cbfe90  adrp	x8, #0xfffffff007842000
0xfffffff009ec6e80: 08e11e91  add	x8, x8, #0x7b8
0xfffffff009ec6e84: 69598152  mov	w9, #0xacb
0xfffffff009ec6e88: e82700a9  stp	x8, x9, [sp]
0xfffffff009ec6e8c: e0cbfe90  adrp	x0, #0xfffffff007842000
0xfffffff009ec6e90: 00443791  add	x0, x0, #0xdd1
0xfffffff009ec6e94: 8ce2fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec6e98: 14008052  mov	w20, #0
0xfffffff009ec6e9c: 5a008052  mov	w26, #2
0xfffffff009ec6ea0: 42010014  b	#0xfffffff009ec73a8
0xfffffff009ec6ea4: e8ba50f9  ldr	x8, [x23, #0x2170]
0xfffffff009ec6ea8: a80200b5  cbnz	x8, #0xfffffff009ec6efc
0xfffffff009ec6eac: e0aa43b9  ldr	w0, [x23, #0x3a8]
0xfffffff009ec6eb0: 60000035  cbnz	w0, #0xfffffff009ec6ebc
0xfffffff009ec6eb4: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff009ec6eb8: 286300b4  cbz	x8, #0xfffffff009ec7b1c
0xfffffff009ec6ebc: 60000035  cbnz	w0, #0xfffffff009ec6ec8
0xfffffff009ec6ec0: e02f40f9  ldr	x0, [sp, #0x58]
0xfffffff009ec6ec4: d8cc8197  bl	#0xfffffff007f3a224
0xfffffff009ec6ec8: e0bafe97  bl	#0xfffffff009e75a48
0xfffffff009ec6ecc: e0ba10f9  str	x0, [x23, #0x2170]
0xfffffff009ec6ed0: 600100b5  cbnz	x0, #0xfffffff009ec6efc
0xfffffff009ec6ed4: 083e8452  mov	w8, #0x21f0
0xfffffff009ec6ed8: e802088b  add	x8, x23, x8
0xfffffff009ec6edc: 89608152  mov	w9, #0xb04
0xfffffff009ec6ee0: eacbfe90  adrp	x10, #0xfffffff007842000
0xfffffff009ec6ee4: 4ae11e91  add	x10, x10, #0x7b8
0xfffffff009ec6ee8: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ec6eec: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ec6ef0: e0cbfe90  adrp	x0, #0xfffffff007842000
0xfffffff009ec6ef4: 00dc3b91  add	x0, x0, #0xef7
0xfffffff009ec6ef8: 73e2fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ec6efc: 68124079  ldrh	w8, [x19, #8]
0xfffffff009ec6f00: a8000035  cbnz	w8, #0xfffffff009ec6f14
0xfffffff009ec6f04: 000080d2  mov	x0, #0
0xfffffff009ec6f08: 01008052  mov	w1, #0
