; Candidate 7202
; ADRP+ADD at VM 0xfffffff00885ef88 (fileoff 0x185af88): page=0x1fe98b000 add_imm=0xe80

0xfffffff00885ef08: f92300a9  stp	x25, x8, [sp]
0xfffffff00885ef0c: 404cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885ef10: 00003a91  add	x0, x0, #0xe80
0xfffffff00885ef14: 418dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00885ef18: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885ef1c: 02008052  mov	w2, #0
0xfffffff00885ef20: 8450eb97  bl	#0xfffffff008333130
0xfffffff00885ef24: 1f000014  b	#0xfffffff00885efa0
0xfffffff00885ef28: a1540194  bl	#0xfffffff0088b41ac
0xfffffff00885ef2c: fb0300aa  mov	x27, x0
0xfffffff00885ef30: 80008052  mov	w0, #4
0xfffffff00885ef34: 47720094  bl	#0xfffffff00887b850
0xfffffff00885ef38: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885ef3c: 29ab43b9  ldr	w9, [x25, #0x3a8]
0xfffffff00885ef40: f92706a9  stp	x25, x9, [sp, #0x60]
0xfffffff00885ef44: fc6b05a9  stp	x28, x26, [sp, #0x50]
0xfffffff00885ef48: 09018052  mov	w9, #8
0xfffffff00885ef4c: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff00885ef50: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885ef54: 08c93291  add	x8, x8, #0xcb2
0xfffffff00885ef58: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00885ef5c: 88488052  mov	w8, #0x244
0xfffffff00885ef60: 494effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885ef64: 29792491  add	x9, x9, #0x91e
0xfffffff00885ef68: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885ef6c: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885ef70: 08811191  add	x8, x8, #0x460
0xfffffff00885ef74: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885ef78: 880c8052  mov	w8, #0x64
0xfffffff00885ef7c: a34ffff0  adrp	x3, #0xfffffff007255000
0xfffffff00885ef80: 63b82291  add	x3, x3, #0x8ae
0xfffffff00885ef84: fb2300a9  stp	x27, x8, [sp]
0xfffffff00885ef88: 404cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885ef8c: 00003a91  add	x0, x0, #0xe80
0xfffffff00885ef90: 418dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00885ef94: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885ef98: 02008052  mov	w2, #0
0xfffffff00885ef9c: 6550eb97  bl	#0xfffffff008333130
0xfffffff00885efa0: d97e8012  mov	w25, #-0x3f7
0xfffffff00885efa4: d3010014  b	#0xfffffff00885f6f0
0xfffffff00885efa8: 0b008012  mov	w11, #-1
0xfffffff00885efac: b98354f8  ldur	x25, [x29, #-0xb8]
0xfffffff00885efb0: ee6340f9  ldr	x14, [sp, #0xc0]
0xfffffff00885efb4: 4c4340b9  ldr	w12, [x26, #0x40]
0xfffffff00885efb8: 0d7b40b9  ldr	w13, [x24, #0x78]
0xfffffff00885efbc: ec3708a9  stp	x12, x13, [sp, #0x80]
0xfffffff00885efc0: fc2f07a9  stp	x28, x11, [sp, #0x70]
0xfffffff00885efc4: e92b06a9  stp	x9, x10, [sp, #0x60]
0xfffffff00885efc8: fa5f05a9  stp	x26, x23, [sp, #0x50]
0xfffffff00885efcc: f86f04a9  stp	x24, x27, [sp, #0x40]
0xfffffff00885efd0: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00885efd4: 284c8052  mov	w8, #0x261
0xfffffff00885efd8: 494effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885efdc: 29792491  add	x9, x9, #0x91e
0xfffffff00885efe0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885efe4: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885efe8: 08811191  add	x8, x8, #0x460
0xfffffff00885efec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885eff0: 880c8052  mov	w8, #0x64
0xfffffff00885eff4: 404effb0  adrp	x0, #0xfffffff007227000
0xfffffff00885eff8: 00483691  add	x0, x0, #0xd92
0xfffffff00885effc: ee2300a9  stp	x14, x8, [sp]
0xfffffff00885f000: 1861d597  bl	#0xfffffff007db7460
0xfffffff00885f004: 1c000014  b	#0xfffffff00885f074
