; Candidate 13784
; ADRP+ADD at VM 0xfffffff009586eb8 (fileoff 0x2582eb8): page=0x1fdfd7000 add_imm=0xd89

0xfffffff009586e38: 8d010b8a  and	x13, x12, x11
0xfffffff009586e3c: ac0109cb  sub	x12, x13, x9
0xfffffff009586e40: 9f020ceb  cmp	x20, x12
0xfffffff009586e44: cb000054  b.lt	#0xfffffff009586e5c
0xfffffff009586e48: 0e0d40f9  ldr	x14, [x8, #0x18]
0xfffffff009586e4c: bf010eeb  cmp	x13, x14
0xfffffff009586e50: ad000054  b.le	#0xfffffff009586e64
0xfffffff009586e54: 080140f9  ldr	x8, [x8]
0xfffffff009586e58: c8feffb5  cbnz	x8, #0xfffffff009586e30
0xfffffff009586e5c: e83300f9  str	x8, [sp, #0x60]
0xfffffff009586e60: 95feff17  b	#0xfffffff0095868b4
0xfffffff009586e64: e83300f9  str	x8, [sp, #0x60]
0xfffffff009586e68: ac831af8  stur	x12, [x29, #-0x58]
0xfffffff009586e6c: fb030caa  mov	x27, x12
0xfffffff009586e70: 91feff17  b	#0xfffffff0095868b4
0xfffffff009586e74: e01b40f9  ldr	x0, [sp, #0x30]
0xfffffff009586e78: 390da597  bl	#0xfffffff007eca35c
0xfffffff009586e7c: 48e28152  mov	w8, #0xf12
0xfffffff009586e80: c9fefeb0  adrp	x9, #0xfffffff00755f000
0xfffffff009586e84: 29251991  add	x9, x9, #0x649
0xfffffff009586e88: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009586e8c: ff0300f9  str	xzr, [sp]
0xfffffff009586e90: c0fefeb0  adrp	x0, #0xfffffff00755f000
0xfffffff009586e94: 00801891  add	x0, x0, #0x620
0xfffffff009586e98: 9d35bc97  bl	#0xfffffff00849450c
0xfffffff009586e9c: a86e8152  mov	w8, #0xb75
0xfffffff009586ea0: a9fefef0  adrp	x9, #0xfffffff00755d000
0xfffffff009586ea4: 29ad3491  add	x9, x9, #0xd2b
0xfffffff009586ea8: aafefef0  adrp	x10, #0xfffffff00755d000
0xfffffff009586eac: 4a813791  add	x10, x10, #0xde0
0xfffffff009586eb0: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009586eb4: ea0300f9  str	x10, [sp]
0xfffffff009586eb8: a0fefef0  adrp	x0, #0xfffffff00755d000
0xfffffff009586ebc: 00243691  add	x0, x0, #0xd89
0xfffffff009586ec0: 9335bc97  bl	#0xfffffff00849450c
0xfffffff009586ec4: 7f2303d5  pacibsp	
0xfffffff009586ec8: ff0302d1  sub	sp, sp, #0x80
0xfffffff009586ecc: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff009586ed0: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff009586ed4: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff009586ed8: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff009586edc: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff009586ee0: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff009586ee4: fdc30191  add	x29, sp, #0x70
0xfffffff009586ee8: f30300aa  mov	x19, x0
0xfffffff009586eec: 140440f9  ldr	x20, [x0, #8]
0xfffffff009586ef0: e00314aa  mov	x0, x20
0xfffffff009586ef4: 9988a597  bl	#0xfffffff007ee9158
0xfffffff009586ef8: f50300aa  mov	x21, x0
0xfffffff009586efc: c4cca697  bl	#0xfffffff007f3a20c
0xfffffff009586f00: 08044139  ldrb	w8, [x0, #0x41]
0xfffffff009586f04: 68001836  tbz	w8, #3, #0xfffffff009586f10
0xfffffff009586f08: e00314aa  mov	x0, x20
0xfffffff009586f0c: 0f88a597  bl	#0xfffffff007ee8f48
0xfffffff009586f10: e00315aa  mov	x0, x21
0xfffffff009586f14: becca697  bl	#0xfffffff007f3a20c
0xfffffff009586f18: 08084139  ldrb	w8, [x0, #0x42]
0xfffffff009586f1c: 88002036  tbz	w8, #4, #0xfffffff009586f2c
0xfffffff009586f20: e00314aa  mov	x0, x20
0xfffffff009586f24: 0688a597  bl	#0xfffffff007ee8f3c
0xfffffff009586f28: 0d88a597  bl	#0xfffffff007ee8f5c
0xfffffff009586f2c: e00315aa  mov	x0, x21
0xfffffff009586f30: b7cca697  bl	#0xfffffff007f3a20c
0xfffffff009586f34: 08084139  ldrb	w8, [x0, #0x42]
