; Candidate 8019
; ADRP+ADD at VM 0xfffffff00888e6e0 (fileoff 0x188a6e0): page=0x1fe95b000 add_imm=0xe80

0xfffffff00888e660: 00740691  add	x0, x0, #0x19d
0xfffffff00888e664: f82300a9  stp	x24, x8, [sp]
0xfffffff00888e668: 0e000014  b	#0xfffffff00888e6a0
0xfffffff00888e66c: c0040034  cbz	w0, #0xfffffff00888e704
0xfffffff00888e670: e803164b  neg	w8, w22
0xfffffff00888e674: 88042837  tbnz	w8, #5, #0xfffffff00888e704
0xfffffff00888e678: e80240f9  ldr	x8, [x23]
0xfffffff00888e67c: 691a41b9  ldr	w9, [x19, #0x118]
0xfffffff00888e680: 6a1e41b9  ldr	w10, [x19, #0x11c]
0xfffffff00888e684: 6b2a41b9  ldr	w11, [x19, #0x128]
0xfffffff00888e688: 6c2e41b9  ldr	w12, [x19, #0x12c]
0xfffffff00888e68c: ebb301a9  stp	x11, x12, [sp, #0x18]
0xfffffff00888e690: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00888e694: e80300f9  str	x8, [sp]
0xfffffff00888e698: 004dffb0  adrp	x0, #0xfffffff00722f000
0xfffffff00888e69c: 002c0691  add	x0, x0, #0x18b
0xfffffff00888e6a0: 70a3d497  bl	#0xfffffff007db7460
0xfffffff00888e6a4: 28000014  b	#0xfffffff00888e744
0xfffffff00888e6a8: c1960094  bl	#0xfffffff0088b41ac
0xfffffff00888e6ac: f80300aa  mov	x24, x0
0xfffffff00888e6b0: e00315aa  mov	x0, x21
0xfffffff00888e6b4: 67b4ff97  bl	#0xfffffff00887b850
0xfffffff00888e6b8: e80240f9  ldr	x8, [x23]
0xfffffff00888e6bc: 691a41b9  ldr	w9, [x19, #0x118]
0xfffffff00888e6c0: 6a1e41b9  ldr	w10, [x19, #0x11c]
0xfffffff00888e6c4: 6b2a41b9  ldr	w11, [x19, #0x128]
0xfffffff00888e6c8: 6c2e41b9  ldr	w12, [x19, #0x12c]
0xfffffff00888e6cc: eb3303a9  stp	x11, x12, [sp, #0x30]
0xfffffff00888e6d0: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff00888e6d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888e6d8: e80314aa  mov	x8, x20
0xfffffff00888e6dc: f82300a9  stp	x24, x8, [sp]
0xfffffff00888e6e0: c04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888e6e4: 00003a91  add	x0, x0, #0xe80
0xfffffff00888e6e8: c18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00888e6ec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888e6f0: 834eff90  adrp	x3, #0xfffffff00725e000
0xfffffff00888e6f4: 637c0e91  add	x3, x3, #0x39f
0xfffffff00888e6f8: 02008052  mov	w2, #0
0xfffffff00888e6fc: 8d92ea97  bl	#0xfffffff008333130
0xfffffff00888e700: 11000014  b	#0xfffffff00888e744
0xfffffff00888e704: e80240f9  ldr	x8, [x23]
0xfffffff00888e708: 691a41b9  ldr	w9, [x19, #0x118]
0xfffffff00888e70c: 6a1e41b9  ldr	w10, [x19, #0x11c]
0xfffffff00888e710: 6b2a41b9  ldr	w11, [x19, #0x128]
0xfffffff00888e714: 6c2e41b9  ldr	w12, [x19, #0x12c]
0xfffffff00888e718: ebb301a9  stp	x11, x12, [sp, #0x18]
0xfffffff00888e71c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00888e720: e80300f9  str	x8, [sp]
0xfffffff00888e724: c04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888e728: 00003a91  add	x0, x0, #0xe80
0xfffffff00888e72c: c18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00888e730: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888e734: 834eff90  adrp	x3, #0xfffffff00725e000
0xfffffff00888e738: 63380e91  add	x3, x3, #0x38e
0xfffffff00888e73c: 02008052  mov	w2, #0
0xfffffff00888e740: 7c92ea97  bl	#0xfffffff008333130
0xfffffff00888e744: e0018052  mov	w0, #0xf
0xfffffff00888e748: 1b920094  bl	#0xfffffff0088b2fb4
0xfffffff00888e74c: f70300aa  mov	x23, x0
0xfffffff00888e750: e00314aa  mov	x0, x20
0xfffffff00888e754: e10315aa  mov	x1, x21
0xfffffff00888e758: 1eb4ff97  bl	#0xfffffff00887b7d0
0xfffffff00888e75c: 60080034  cbz	w0, #0xfffffff00888e868
