; Candidate 7615
; ADRP+ADD at VM 0xfffffff008874e34 (fileoff 0x1870e34): page=0x1fe99f000 add_imm=0xe0f

0xfffffff008874db4: 00008052  mov	w0, #0
0xfffffff008874db8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008874dbc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008874dc0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008874dc4: ff830191  add	sp, sp, #0x60
0xfffffff008874dc8: ff0f5fd6  retab	
0xfffffff008874dcc: 7f2303d5  pacibsp	
0xfffffff008874dd0: ff0302d1  sub	sp, sp, #0x80
0xfffffff008874dd4: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008874dd8: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008874ddc: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008874de0: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008874de4: fdc30191  add	x29, sp, #0x70
0xfffffff008874de8: f30300aa  mov	x19, x0
0xfffffff008874dec: 600b8052  mov	w0, #0x5b
0xfffffff008874df0: 01018052  mov	w1, #8
0xfffffff008874df4: 771a0094  bl	#0xfffffff00887b7d0
0xfffffff008874df8: a0040034  cbz	w0, #0xfffffff008874e8c
0xfffffff008874dfc: 600b8052  mov	w0, #0x5b
0xfffffff008874e00: 861a0094  bl	#0xfffffff00887b818
0xfffffff008874e04: f50300aa  mov	x21, x0
0xfffffff008874e08: e9fc0094  bl	#0xfffffff0088b41ac
0xfffffff008874e0c: f40300aa  mov	x20, x0
0xfffffff008874e10: 00018052  mov	w0, #8
0xfffffff008874e14: 8f1a0094  bl	#0xfffffff00887b850
0xfffffff008874e18: 75010034  cbz	w21, #0xfffffff008874e44
0xfffffff008874e1c: a84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008874e20: 08213291  add	x8, x8, #0xc88
0xfffffff008874e24: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008874e28: 680b8052  mov	w8, #0x5b
0xfffffff008874e2c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008874e30: f40300f9  str	x20, [sp]
0xfffffff008874e34: e04cfff0  adrp	x0, #0xfffffff007213000
0xfffffff008874e38: 003c3891  add	x0, x0, #0xe0f
0xfffffff008874e3c: 8909d597  bl	#0xfffffff007db7460
0xfffffff008874e40: 13000014  b	#0xfffffff008874e8c
0xfffffff008874e44: dafc0094  bl	#0xfffffff0088b41ac
0xfffffff008874e48: f40300aa  mov	x20, x0
0xfffffff008874e4c: 00018052  mov	w0, #8
0xfffffff008874e50: 801a0094  bl	#0xfffffff00887b850
0xfffffff008874e54: a84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008874e58: 08213291  add	x8, x8, #0xc88
0xfffffff008874e5c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008874e60: 680b8052  mov	w8, #0x5b
0xfffffff008874e64: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008874e68: f40300f9  str	x20, [sp]
0xfffffff008874e6c: a04bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008874e70: 00003a91  add	x0, x0, #0xe80
0xfffffff008874e74: a18cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008874e78: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008874e7c: 234fffb0  adrp	x3, #0xfffffff007259000
0xfffffff008874e80: 63741f91  add	x3, x3, #0x7dd
0xfffffff008874e84: 02008052  mov	w2, #0
0xfffffff008874e88: aaf8ea97  bl	#0xfffffff008333130
0xfffffff008874e8c: e00313aa  mov	x0, x19
0xfffffff008874e90: 21008052  mov	w1, #1
0xfffffff008874e94: 02098052  mov	w2, #0x48
0xfffffff008874e98: 0208a072  movk	w2, #0x40, lsl #16
0xfffffff008874e9c: 9b400094  bl	#0xfffffff008885108
0xfffffff008874ea0: f50300aa  mov	x21, x0
0xfffffff008874ea4: 1f040072  tst	w0, #3
0xfffffff008874ea8: 14009f1a  csel	w20, w0, wzr, eq
0xfffffff008874eac: 600b8052  mov	w0, #0x5b
0xfffffff008874eb0: 01018052  mov	w1, #8
