; Candidate 2256
; ADRP+ADD at VM 0xfffffff0085fb914 (fileoff 0x15f7914): page=0x1cdc000 add_imm=0xce8

0xfffffff0085fb894: 1002118b  add	x16, x16, x17
0xfffffff0085fb898: 080240f9  ldr	x8, [x16]
0xfffffff0085fb89c: e30310aa  mov	x3, x16
0xfffffff0085fb8a0: f00308aa  mov	x16, x8
0xfffffff0085fb8a4: f10303aa  mov	x17, x3
0xfffffff0085fb8a8: 915cecf2  movk	x17, #0x62e4, lsl #48
0xfffffff0085fb8ac: 110a1fd7  braa	x16, x17
0xfffffff0085fb8b0: 5f2403d5  bti	c
0xfffffff0085fb8b4: 08e04f39  ldrb	w8, [x0, #0x3f8]
0xfffffff0085fb8b8: 09a00f91  add	x9, x0, #0x3e8
0xfffffff0085fb8bc: 1f010071  cmp	w8, #0
0xfffffff0085fb8c0: e003899a  csel	x0, xzr, x9, eq
0xfffffff0085fb8c4: c0035fd6  ret	
0xfffffff0085fb8c8: 5f2403d5  bti	c
0xfffffff0085fb8cc: 00008052  mov	w0, #0
0xfffffff0085fb8d0: c0035fd6  ret	
0xfffffff0085fb8d4: 5f2403d5  bti	c
0xfffffff0085fb8d8: 00008052  mov	w0, #0
0xfffffff0085fb8dc: c0035fd6  ret	
0xfffffff0085fb8e0: 5f2403d5  bti	c
0xfffffff0085fb8e4: 00008052  mov	w0, #0
0xfffffff0085fb8e8: c0035fd6  ret	
0xfffffff0085fb8ec: 5f2403d5  bti	c
0xfffffff0085fb8f0: c0035fd6  ret	
0xfffffff0085fb8f4: 5f2403d5  bti	c
0xfffffff0085fb8f8: c0035fd6  ret	
0xfffffff0085fb8fc: 5f2403d5  bti	c
0xfffffff0085fb900: 004002d1  sub	x0, x0, #0x90
0xfffffff0085fb904: c0035fd6  ret	
0xfffffff0085fb908: 7f2303d5  pacibsp	
0xfffffff0085fb90c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0085fb910: fd030091  mov	x29, sp
0xfffffff0085fb914: e0e60090  adrp	x0, #0xfffffff00a2d7000
0xfffffff0085fb918: 00a03391  add	x0, x0, #0xce8
0xfffffff0085fb91c: 0158fff0  adrp	x1, #0xfffffff0070fe000
0xfffffff0085fb920: 21d83f91  add	x1, x1, #0xff6
0xfffffff0085fb924: e2e60090  adrp	x2, #0xfffffff00a2d7000
0xfffffff0085fb928: 42203b91  add	x2, x2, #0xec8
0xfffffff0085fb92c: 03828052  mov	w3, #0x410
0xfffffff0085fb930: 82a0f397  bl	#0xfffffff0082e3b38
0xfffffff0085fb934: 509efff0  adrp	x16, #0xfffffff0079c6000
0xfffffff0085fb938: 10620a91  add	x16, x16, #0x298
0xfffffff0085fb93c: 10420091  add	x16, x16, #0x10
0xfffffff0085fb940: f10300aa  mov	x17, x0
0xfffffff0085fb944: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085fb948: 300ac1da  pacda	x16, x17
0xfffffff0085fb94c: 100000f9  str	x16, [x0]
0xfffffff0085fb950: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0085fb954: ff0f5fd6  retab	
0xfffffff0085fb958: 5f2403d5  bti	c
0xfffffff0085fb95c: e0e60090  adrp	x0, #0xfffffff00a2d7000
0xfffffff0085fb960: 00a03391  add	x0, x0, #0xce8
0xfffffff0085fb964: 64a3f317  b	#0xfffffff0082e46f4
0xfffffff0085fb968: 7f2303d5  pacibsp	
0xfffffff0085fb96c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0085fb970: fd030091  mov	x29, sp
0xfffffff0085fb974: 2158ff90  adrp	x1, #0xfffffff0070ff000
0xfffffff0085fb978: 218c0791  add	x1, x1, #0x1e3
0xfffffff0085fb97c: e2e60090  adrp	x2, #0xfffffff00a2d7000
0xfffffff0085fb980: 42a03391  add	x2, x2, #0xce8
0xfffffff0085fb984: 03838052  mov	w3, #0x418
0xfffffff0085fb988: 6ca0f397  bl	#0xfffffff0082e3b38
0xfffffff0085fb98c: 709eff90  adrp	x16, #0xfffffff0079c7000
0xfffffff0085fb990: 10820591  add	x16, x16, #0x160
