; Candidate 8174
; ADRP+ADD at VM 0xfffffff008899e00 (fileoff 0x1895e00): page=0x1fe950000 add_imm=0xe80

0xfffffff008899d80: 400b8052  mov	w0, #0x5a
0xfffffff008899d84: a586ff97  bl	#0xfffffff00887b818
0xfffffff008899d88: f60300aa  mov	x22, x0
0xfffffff008899d8c: 08690094  bl	#0xfffffff0088b41ac
0xfffffff008899d90: f40300aa  mov	x20, x0
0xfffffff008899d94: 80008052  mov	w0, #4
0xfffffff008899d98: ae86ff97  bl	#0xfffffff00887b850
0xfffffff008899d9c: b6010034  cbz	w22, #0xfffffff008899dd0
0xfffffff008899da0: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008899da4: e8df03a9  stp	x8, x23, [sp, #0x38]
0xfffffff008899da8: 48218052  mov	w8, #0x10a
0xfffffff008899dac: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008899db0: f5e301a9  stp	x21, x24, [sp, #0x18]
0xfffffff008899db4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008899db8: 480b8052  mov	w8, #0x5a
0xfffffff008899dbc: a04cfff0  adrp	x0, #0xfffffff007230000
0xfffffff008899dc0: 00b40191  add	x0, x0, #0x6d
0xfffffff008899dc4: f42300a9  stp	x20, x8, [sp]
0xfffffff008899dc8: a675d497  bl	#0xfffffff007db7460
0xfffffff008899dcc: 15000014  b	#0xfffffff008899e20
0xfffffff008899dd0: f7680094  bl	#0xfffffff0088b41ac
0xfffffff008899dd4: f40300aa  mov	x20, x0
0xfffffff008899dd8: 80008052  mov	w0, #4
0xfffffff008899ddc: 9d86ff97  bl	#0xfffffff00887b850
0xfffffff008899de0: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008899de4: e8df03a9  stp	x8, x23, [sp, #0x38]
0xfffffff008899de8: 48218052  mov	w8, #0x10a
0xfffffff008899dec: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008899df0: f5e301a9  stp	x21, x24, [sp, #0x18]
0xfffffff008899df4: 480b8052  mov	w8, #0x5a
0xfffffff008899df8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008899dfc: f40300f9  str	x20, [sp]
0xfffffff008899e00: 804aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008899e04: 00003a91  add	x0, x0, #0xe80
0xfffffff008899e08: 618bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008899e0c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008899e10: 234efff0  adrp	x3, #0xfffffff007260000
0xfffffff008899e14: 63140491  add	x3, x3, #0x105
0xfffffff008899e18: 02008052  mov	w2, #0
0xfffffff008899e1c: c564ea97  bl	#0xfffffff008333130
0xfffffff008899e20: 007f8012  mov	w0, #-0x3f9
0xfffffff008899e24: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff008899e28: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff008899e2c: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff008899e30: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff008899e34: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff008899e38: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff008899e3c: ff030391  add	sp, sp, #0xc0
0xfffffff008899e40: ff0f5fd6  retab	
0xfffffff008899e44: 7f2303d5  pacibsp	
0xfffffff008899e48: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008899e4c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008899e50: fd430091  add	x29, sp, #0x10
0xfffffff008899e54: f30301aa  mov	x19, x1
0xfffffff008899e58: 08a441a9  ldp	x8, x9, [x0, #0x18]
0xfffffff008899e5c: 220540b9  ldr	w2, [x9, #4]
0xfffffff008899e60: e00308aa  mov	x0, x8
0xfffffff008899e64: 41008052  mov	w1, #2
0xfffffff008899e68: a8acff97  bl	#0xfffffff008885108
0xfffffff008899e6c: 600200b9  str	w0, [x19]
0xfffffff008899e70: 00008052  mov	w0, #0
0xfffffff008899e74: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008899e78: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008899e7c: ff0f5fd6  retab	
