; Candidate 2608
; ADRP+ADD at VM 0xfffffff0086d379c (fileoff 0x16cf79c): page=0x1ff329000 add_imm=0xda0

0xfffffff0086d371c: 20e000f0  adrp	x0, #0xfffffff00a2da000
0xfffffff0086d3720: 00c01a91  add	x0, x0, #0x6b0
0xfffffff0086d3724: c0035fd6  ret	
0xfffffff0086d3728: 7f2303d5  pacibsp	
0xfffffff0086d372c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086d3730: fd030091  mov	x29, sp
0xfffffff0086d3734: e152ffd0  adrp	x1, #0xfffffff007131000
0xfffffff0086d3738: 21401d91  add	x1, x1, #0x750
0xfffffff0086d373c: 4299ff90  adrp	x2, #0xfffffff0079fb000
0xfffffff0086d3740: 428044f9  ldr	x2, [x2, #0x900]
0xfffffff0086d3744: 031f8052  mov	w3, #0xf8
0xfffffff0086d3748: fc40f097  bl	#0xfffffff0082e3b38
0xfffffff0086d374c: 5099ffb0  adrp	x16, #0xfffffff0079fc000
0xfffffff0086d3750: 10623291  add	x16, x16, #0xc98
0xfffffff0086d3754: 10420091  add	x16, x16, #0x10
0xfffffff0086d3758: f10300aa  mov	x17, x0
0xfffffff0086d375c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086d3760: 300ac1da  pacda	x16, x17
0xfffffff0086d3764: 100000f9  str	x16, [x0]
0xfffffff0086d3768: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086d376c: ff0f5fd6  retab	
0xfffffff0086d3770: 5f2403d5  bti	c
0xfffffff0086d3774: 000080d2  mov	x0, #0
0xfffffff0086d3778: c0035fd6  ret	
0xfffffff0086d377c: 5f2403d5  bti	c
0xfffffff0086d3780: e10300aa  mov	x1, x0
0xfffffff0086d3784: 4099ffb0  adrp	x0, #0xfffffff0079fc000
0xfffffff0086d3788: 00803691  add	x0, x0, #0xda0
0xfffffff0086d378c: ab4ff017  b	#0xfffffff0082e7638
0xfffffff0086d3790: 5f2403d5  bti	c
0xfffffff0086d3794: e20301aa  mov	x2, x1
0xfffffff0086d3798: e10300aa  mov	x1, x0
0xfffffff0086d379c: 4099ffb0  adrp	x0, #0xfffffff0079fc000
0xfffffff0086d37a0: 00803691  add	x0, x0, #0xda0
0xfffffff0086d37a4: be4ff017  b	#0xfffffff0082e769c
0xfffffff0086d37a8: 7f2303d5  pacibsp	
0xfffffff0086d37ac: ff0302d1  sub	sp, sp, #0x80
0xfffffff0086d37b0: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0086d37b4: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0086d37b8: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0086d37bc: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0086d37c0: fdc30191  add	x29, sp, #0x70
0xfffffff0086d37c4: f50303aa  mov	x21, x3
0xfffffff0086d37c8: f30301aa  mov	x19, x1
0xfffffff0086d37cc: f40300aa  mov	x20, x0
0xfffffff0086d37d0: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff0086d37d4: ff7f02a9  stp	xzr, xzr, [sp, #0x20]
0xfffffff0086d37d8: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff0086d37dc: 970ff297  bl	#0xfffffff008357638
0xfffffff0086d37e0: 804a00f9  str	x0, [x20, #0x90]
0xfffffff0086d37e4: bf10f297  bl	#0xfffffff008357ae0
0xfffffff0086d37e8: 805200f9  str	x0, [x20, #0xa0]
0xfffffff0086d37ec: 9f220239  strb	wzr, [x20, #0x88]
0xfffffff0086d37f0: e852ffd0  adrp	x8, #0xfffffff007131000
0xfffffff0086d37f4: 082d1e91  add	x8, x8, #0x78b
0xfffffff0086d37f8: 886e00f9  str	x8, [x20, #0xd8]
0xfffffff0086d37fc: 36e000f0  adrp	x22, #0xfffffff00a2da000
0xfffffff0086d3800: df6e03f9  str	xzr, [x22, #0x6d8]
0xfffffff0086d3804: e052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086d3808: 00541e91  add	x0, x0, #0x795
0xfffffff0086d380c: e1c30091  add	x1, sp, #0x30
0xfffffff0086d3810: 02018052  mov	w2, #8
0xfffffff0086d3814: e965f697  bl	#0xfffffff00846cfb8
0xfffffff0086d3818: e052ffd0  adrp	x0, #0xfffffff007131000
