; Candidate 6494
; ADRP+ADD at VM 0xfffffff00882f028 (fileoff 0x182b028): page=0x1fe9ba000 add_imm=0xe80

0xfffffff00882efa8: 0a320194  bl	#0xfffffff00887b7d0
0xfffffff00882efac: e0040034  cbz	w0, #0xfffffff00882f048
0xfffffff00882efb0: 400f8052  mov	w0, #0x7a
0xfffffff00882efb4: 19320194  bl	#0xfffffff00887b818
0xfffffff00882efb8: f60300aa  mov	x22, x0
0xfffffff00882efbc: 7c140294  bl	#0xfffffff0088b41ac
0xfffffff00882efc0: f50300aa  mov	x21, x0
0xfffffff00882efc4: 00018052  mov	w0, #8
0xfffffff00882efc8: 22320194  bl	#0xfffffff00887b850
0xfffffff00882efcc: 96010034  cbz	w22, #0xfffffff00882effc
0xfffffff00882efd0: f4ff02a9  stp	x20, xzr, [sp, #0x28]
0xfffffff00882efd4: a84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882efd8: 082d1891  add	x8, x8, #0x60b
0xfffffff00882efdc: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00882efe0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00882efe4: 480f8052  mov	w8, #0x7a
0xfffffff00882efe8: 204fffb0  adrp	x0, #0xfffffff007213000
0xfffffff00882efec: 00b43791  add	x0, x0, #0xded
0xfffffff00882eff0: f52300a9  stp	x21, x8, [sp]
0xfffffff00882eff4: 1b21d697  bl	#0xfffffff007db7460
0xfffffff00882eff8: 14000014  b	#0xfffffff00882f048
0xfffffff00882effc: 6c140294  bl	#0xfffffff0088b41ac
0xfffffff00882f000: f50300aa  mov	x21, x0
0xfffffff00882f004: 00018052  mov	w0, #8
0xfffffff00882f008: 12320194  bl	#0xfffffff00887b850
0xfffffff00882f00c: f4ff02a9  stp	x20, xzr, [sp, #0x28]
0xfffffff00882f010: 884ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882f014: 082d1891  add	x8, x8, #0x60b
0xfffffff00882f018: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00882f01c: 480f8052  mov	w8, #0x7a
0xfffffff00882f020: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00882f024: f50300f9  str	x21, [sp]
0xfffffff00882f028: c04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882f02c: 00003a91  add	x0, x0, #0xe80
0xfffffff00882f030: c18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00882f034: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882f038: e350ffb0  adrp	x3, #0xfffffff00724c000
0xfffffff00882f03c: 63ec2d91  add	x3, x3, #0xb7b
0xfffffff00882f040: 02008052  mov	w2, #0
0xfffffff00882f044: 3b10ec97  bl	#0xfffffff008333130
0xfffffff00882f048: 00008052  mov	w0, #0
0xfffffff00882f04c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00882f050: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00882f054: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00882f058: ffc30191  add	sp, sp, #0x70
0xfffffff00882f05c: ff0f5fd6  retab	
0xfffffff00882f060: 7f2303d5  pacibsp	
0xfffffff00882f064: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00882f068: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00882f06c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00882f070: fd830091  add	x29, sp, #0x20
0xfffffff00882f074: f30302aa  mov	x19, x2
0xfffffff00882f078: f50301aa  mov	x21, x1
0xfffffff00882f07c: f40300aa  mov	x20, x0
0xfffffff00882f080: 48284491  add	x8, x2, #0x10a, lsl #12
0xfffffff00882f084: 08e11591  add	x8, x8, #0x578
0xfffffff00882f088: 090040f9  ldr	x9, [x0]
0xfffffff00882f08c: 2a5140b9  ldr	w10, [x9, #0x50]
0xfffffff00882f090: aa010034  cbz	w10, #0xfffffff00882f0c4
0xfffffff00882f094: 2a5140b9  ldr	w10, [x9, #0x50]
0xfffffff00882f098: aa010034  cbz	w10, #0xfffffff00882f0cc
0xfffffff00882f09c: e00314aa  mov	x0, x20
0xfffffff00882f0a0: e10313aa  mov	x1, x19
0xfffffff00882f0a4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
