; Candidate 2555
; ADRP+ADD at VM 0xfffffff0086b068c (fileoff 0x16ac68c): page=0x1ff34a000 add_imm=0xed0

0xfffffff0086b060c: 10e22291  add	x16, x16, #0x8b8
0xfffffff0086b0610: 10420091  add	x16, x16, #0x10
0xfffffff0086b0614: f10300aa  mov	x17, x0
0xfffffff0086b0618: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086b061c: 300ac1da  pacda	x16, x17
0xfffffff0086b0620: 100000f9  str	x16, [x0]
0xfffffff0086b0624: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086b0628: ff0f5fd6  retab	
0xfffffff0086b062c: 5f2403d5  bti	c
0xfffffff0086b0630: 444ef317  b	#0xfffffff008383f40
0xfffffff0086b0634: 5f2403d5  bti	c
0xfffffff0086b0638: 424ef317  b	#0xfffffff008383f40
0xfffffff0086b063c: 7f2303d5  pacibsp	
0xfffffff0086b0640: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086b0644: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086b0648: fd430091  add	x29, sp, #0x10
0xfffffff0086b064c: f30300aa  mov	x19, x0
0xfffffff0086b0650: 3c4ef397  bl	#0xfffffff008383f40
0xfffffff0086b0654: 409affd0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086b0658: 00403b91  add	x0, x0, #0xed0
0xfffffff0086b065c: e10313aa  mov	x1, x19
0xfffffff0086b0660: 021c8052  mov	w2, #0xe0
0xfffffff0086b0664: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0086b0668: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0086b066c: ff2303d5  autibsp	
0xfffffff0086b0670: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0086b0674: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0086b067c
0xfffffff0086b0678: 208e38d4  brk	#0xc471
0xfffffff0086b067c: 08dcf017  b	#0xfffffff0082e769c
0xfffffff0086b0680: 5f2403d5  bti	c
0xfffffff0086b0684: e20301aa  mov	x2, x1
0xfffffff0086b0688: e10300aa  mov	x1, x0
0xfffffff0086b068c: 409affd0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086b0690: 00403b91  add	x0, x0, #0xed0
0xfffffff0086b0694: 02dcf017  b	#0xfffffff0082e769c
0xfffffff0086b0698: 5f2403d5  bti	c
0xfffffff0086b069c: 40e100b0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086b06a0: 00a03f91  add	x0, x0, #0xfe8
0xfffffff0086b06a4: c0035fd6  ret	
0xfffffff0086b06a8: 7f2303d5  pacibsp	
0xfffffff0086b06ac: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086b06b0: fd030091  mov	x29, sp
0xfffffff0086b06b4: c153fff0  adrp	x1, #0xfffffff00712b000
0xfffffff0086b06b8: 212c0d91  add	x1, x1, #0x34b
0xfffffff0086b06bc: 8299fff0  adrp	x2, #0xfffffff0079e3000
0xfffffff0086b06c0: 420047f9  ldr	x2, [x2, #0xe00]
0xfffffff0086b06c4: 031c8052  mov	w3, #0xe0
0xfffffff0086b06c8: 1ccdf097  bl	#0xfffffff0082e3b38
0xfffffff0086b06cc: 109affd0  adrp	x16, #0xfffffff0079f2000
0xfffffff0086b06d0: 10423991  add	x16, x16, #0xe50
0xfffffff0086b06d4: 10420091  add	x16, x16, #0x10
0xfffffff0086b06d8: f10300aa  mov	x17, x0
0xfffffff0086b06dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086b06e0: 300ac1da  pacda	x16, x17
0xfffffff0086b06e4: 100000f9  str	x16, [x0]
0xfffffff0086b06e8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086b06ec: ff0f5fd6  retab	
0xfffffff0086b06f0: 7f2303d5  pacibsp	
0xfffffff0086b06f4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086b06f8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086b06fc: fd430091  add	x29, sp, #0x10
0xfffffff0086b0700: 409affd0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086b0704: 00403b91  add	x0, x0, #0xed0
0xfffffff0086b0708: 011c8052  mov	w1, #0xe0
