; Candidate 10829
; ADRP+ADD at VM 0xfffffff008de8750 (fileoff 0x1de4750): page=0x1fe5dc000 add_imm=0xe15

0xfffffff008de86d0: ea2300a9  stp	x10, x8, [sp]
0xfffffff008de86d4: e02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de86d8: 00543891  add	x0, x0, #0xe15
0xfffffff008de86dc: 51bad597  bl	#0xfffffff008357020
0xfffffff008de86e0: f70315aa  mov	x23, x21
0xfffffff008de86e4: f50313aa  mov	x21, x19
0xfffffff008de86e8: f31740f9  ldr	x19, [sp, #0x28]
0xfffffff008de86ec: 2c000014  b	#0xfffffff008de879c
0xfffffff008de86f0: 88438052  mov	w8, #0x21c
0xfffffff008de86f4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de86f8: e82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de86fc: 08493991  add	x8, x8, #0xe52
0xfffffff008de8700: c92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de8704: 29d13691  add	x9, x9, #0xdb4
0xfffffff008de8708: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff008de870c: e97f00a9  stp	x9, xzr, [sp]
0xfffffff008de8710: e02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de8714: 00543891  add	x0, x0, #0xe15
0xfffffff008de8718: 42bad597  bl	#0xfffffff008357020
0xfffffff008de871c: 170080d2  mov	x23, #0
0xfffffff008de8720: 15008052  mov	w21, #0
0xfffffff008de8724: 1d000014  b	#0xfffffff008de8798
0xfffffff008de8728: 28448052  mov	w8, #0x221
0xfffffff008de872c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de8730: e82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de8734: 08493991  add	x8, x8, #0xe52
0xfffffff008de8738: c92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de873c: 29213991  add	x9, x9, #0xe48
0xfffffff008de8740: ca2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de8744: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de8748: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff008de874c: e97f00a9  stp	x9, xzr, [sp]
0xfffffff008de8750: e02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de8754: 00543891  add	x0, x0, #0xe15
0xfffffff008de8758: 32bad597  bl	#0xfffffff008357020
0xfffffff008de875c: 7c008012  mov	w28, #-4
0xfffffff008de8760: 0f000014  b	#0xfffffff008de879c
0xfffffff008de8764: 48448052  mov	w8, #0x222
0xfffffff008de8768: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de876c: e82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de8770: 08493991  add	x8, x8, #0xe52
0xfffffff008de8774: c92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de8778: 292d3991  add	x9, x9, #0xe4b
0xfffffff008de877c: ca2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de8780: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de8784: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff008de8788: e97f00a9  stp	x9, xzr, [sp]
0xfffffff008de878c: e02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de8790: 00543891  add	x0, x0, #0xe15
0xfffffff008de8794: 23bad597  bl	#0xfffffff008357020
0xfffffff008de8798: 5c008012  mov	w28, #-3
0xfffffff008de879c: c02effb0  adrp	x0, #0xfffffff0073c1000
0xfffffff008de87a0: 00c00a91  add	x0, x0, #0x2b0
0xfffffff008de87a4: c32effd0  adrp	x3, #0xfffffff0073c2000
0xfffffff008de87a8: 63e82e91  add	x3, x3, #0xbba
0xfffffff008de87ac: c52effd0  adrp	x5, #0xfffffff0073c2000
0xfffffff008de87b0: a5e83791  add	x5, x5, #0xdfa
0xfffffff008de87b4: e10314aa  mov	x1, x20
0xfffffff008de87b8: e20313aa  mov	x2, x19
0xfffffff008de87bc: 84488052  mov	w4, #0x244
0xfffffff008de87c0: 42f9ff97  bl	#0xfffffff008de6cc8
0xfffffff008de87c4: e00314aa  mov	x0, x20
0xfffffff008de87c8: e10313aa  mov	x1, x19
0xfffffff008de87cc: e8f8ff97  bl	#0xfffffff008de6b6c
