; Candidate 6224
; ADRP+ADD at VM 0xfffffff00881b6d0 (fileoff 0x18176d0): page=0x1fe9ce000 add_imm=0xe80

0xfffffff00881b650: 09488152  mov	w9, #0xa40
0xfffffff00881b654: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881b658: 2850ff90  adrp	x8, #0xfffffff00721f000
0xfffffff00881b65c: 08911491  add	x8, x8, #0x524
0xfffffff00881b660: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881b664: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881b668: 880e8052  mov	w8, #0x74
0xfffffff00881b66c: 2050ff90  adrp	x0, #0xfffffff00721f000
0xfffffff00881b670: 00002291  add	x0, x0, #0x880
0xfffffff00881b674: 29feff17  b	#0xfffffff00881af18
0xfffffff00881b678: cd620294  bl	#0xfffffff0088b41ac
0xfffffff00881b67c: f90300aa  mov	x25, x0
0xfffffff00881b680: 80008052  mov	w0, #4
0xfffffff00881b684: 73800194  bl	#0xfffffff00887b850
0xfffffff00881b688: e80318aa  mov	x8, x24
0xfffffff00881b68c: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881b690: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881b694: e80316aa  mov	x8, x22
0xfffffff00881b698: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff00881b69c: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00881b6a0: a84fffb0  adrp	x8, #0xfffffff007210000
0xfffffff00881b6a4: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881b6a8: 69478152  mov	w9, #0xa3b
0xfffffff00881b6ac: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881b6b0: 2850ff90  adrp	x8, #0xfffffff00721f000
0xfffffff00881b6b4: 08911491  add	x8, x8, #0x524
0xfffffff00881b6b8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881b6bc: 880e8052  mov	w8, #0x74
0xfffffff00881b6c0: 6351ffd0  adrp	x3, #0xfffffff007249000
0xfffffff00881b6c4: 63602391  add	x3, x3, #0x8d8
0xfffffff00881b6c8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881b6cc: f90300f9  str	x25, [sp]
0xfffffff00881b6d0: 604effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881b6d4: 00003a91  add	x0, x0, #0xe80
0xfffffff00881b6d8: 618fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00881b6dc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881b6e0: 02008052  mov	w2, #0
0xfffffff00881b6e4: 935eec97  bl	#0xfffffff008333130
0xfffffff00881b6e8: 75faff17  b	#0xfffffff00881a0bc
0xfffffff00881b6ec: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00881b6f0: 615241b9  ldr	w1, [x19, #0x150]
0xfffffff00881b6f4: 131aff97  bl	#0xfffffff0087e1f40
0xfffffff00881b6f8: a0070034  cbz	w0, #0xfffffff00881b7ec
0xfffffff00881b6fc: f80300aa  mov	x24, x0
0xfffffff00881b700: 800e8052  mov	w0, #0x74
0xfffffff00881b704: 81008052  mov	w1, #4
0xfffffff00881b708: 32800194  bl	#0xfffffff00887b7d0
0xfffffff00881b70c: 804dff34  cbz	w0, #0xfffffff00881a0bc
0xfffffff00881b710: 800e8052  mov	w0, #0x74
0xfffffff00881b714: 41800194  bl	#0xfffffff00887b818
0xfffffff00881b718: fa0300aa  mov	x26, x0
0xfffffff00881b71c: a4620294  bl	#0xfffffff0088b41ac
0xfffffff00881b720: f90300aa  mov	x25, x0
0xfffffff00881b724: 80008052  mov	w0, #4
0xfffffff00881b728: 4a800194  bl	#0xfffffff00887b850
0xfffffff00881b72c: da060034  cbz	w26, #0xfffffff00881b804
0xfffffff00881b730: e80318aa  mov	x8, x24
0xfffffff00881b734: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881b738: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881b73c: e80316aa  mov	x8, x22
0xfffffff00881b740: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff00881b744: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00881b748: a84fffb0  adrp	x8, #0xfffffff007210000
0xfffffff00881b74c: 08b92791  add	x8, x8, #0x9ee
