; Candidate 4795
; ADRP+ADD at VM 0xfffffff0087c6b00 (fileoff 0x17c2b00): page=0x1fea47000 add_imm=0xd1c

0xfffffff0087c6a80: 007c3391  add	x0, x0, #0xcdf
0xfffffff0087c6a84: 77c2d797  bl	#0xfffffff007db7460
0xfffffff0087c6a88: 0e000014  b	#0xfffffff0087c6ac0
0xfffffff0087c6a8c: c8b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6a90: f50300aa  mov	x21, x0
0xfffffff0087c6a94: e0008052  mov	w0, #7
0xfffffff0087c6a98: 6ed30294  bl	#0xfffffff00887b850
0xfffffff0087c6a9c: 68024139  ldrb	w8, [x19, #0x40]
0xfffffff0087c6aa0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6aa4: f56f00a9  stp	x21, x27, [sp]
0xfffffff0087c6aa8: e00316aa  mov	x0, x22
0xfffffff0087c6aac: e10317aa  mov	x1, x23
0xfffffff0087c6ab0: 02008052  mov	w2, #0
0xfffffff0087c6ab4: 8353ffb0  adrp	x3, #0xfffffff007237000
0xfffffff0087c6ab8: 63e41891  add	x3, x3, #0x639
0xfffffff0087c6abc: 9db1ed97  bl	#0xfffffff008333130
0xfffffff0087c6ac0: a00f8052  mov	w0, #0x7d
0xfffffff0087c6ac4: e1008052  mov	w1, #7
0xfffffff0087c6ac8: 42d30294  bl	#0xfffffff00887b7d0
0xfffffff0087c6acc: c0030034  cbz	w0, #0xfffffff0087c6b44
0xfffffff0087c6ad0: a00f8052  mov	w0, #0x7d
0xfffffff0087c6ad4: 51d30294  bl	#0xfffffff00887b818
0xfffffff0087c6ad8: f80300aa  mov	x24, x0
0xfffffff0087c6adc: b4b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6ae0: f50300aa  mov	x21, x0
0xfffffff0087c6ae4: e0008052  mov	w0, #7
0xfffffff0087c6ae8: 5ad30294  bl	#0xfffffff00887b850
0xfffffff0087c6aec: 93021a8b  add	x19, x20, x26
0xfffffff0087c6af0: 18010034  cbz	w24, #0xfffffff0087c6b10
0xfffffff0087c6af4: 68064139  ldrb	w8, [x19, #0x41]
0xfffffff0087c6af8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6afc: f56f00a9  stp	x21, x27, [sp]
0xfffffff0087c6b00: 2052fff0  adrp	x0, #0xfffffff00720d000
0xfffffff0087c6b04: 00703491  add	x0, x0, #0xd1c
0xfffffff0087c6b08: 56c2d797  bl	#0xfffffff007db7460
0xfffffff0087c6b0c: 0e000014  b	#0xfffffff0087c6b44
0xfffffff0087c6b10: a7b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6b14: f50300aa  mov	x21, x0
0xfffffff0087c6b18: e0008052  mov	w0, #7
0xfffffff0087c6b1c: 4dd30294  bl	#0xfffffff00887b850
0xfffffff0087c6b20: 68064139  ldrb	w8, [x19, #0x41]
0xfffffff0087c6b24: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6b28: f56f00a9  stp	x21, x27, [sp]
0xfffffff0087c6b2c: e00316aa  mov	x0, x22
0xfffffff0087c6b30: e10317aa  mov	x1, x23
0xfffffff0087c6b34: 02008052  mov	w2, #0
0xfffffff0087c6b38: 8353ffb0  adrp	x3, #0xfffffff007237000
0xfffffff0087c6b3c: 63d41991  add	x3, x3, #0x675
0xfffffff0087c6b40: 7cb1ed97  bl	#0xfffffff008333130
0xfffffff0087c6b44: a00f8052  mov	w0, #0x7d
0xfffffff0087c6b48: e1008052  mov	w1, #7
0xfffffff0087c6b4c: 21d30294  bl	#0xfffffff00887b7d0
0xfffffff0087c6b50: c0030034  cbz	w0, #0xfffffff0087c6bc8
0xfffffff0087c6b54: a00f8052  mov	w0, #0x7d
0xfffffff0087c6b58: 30d30294  bl	#0xfffffff00887b818
0xfffffff0087c6b5c: f80300aa  mov	x24, x0
0xfffffff0087c6b60: 93b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6b64: f50300aa  mov	x21, x0
0xfffffff0087c6b68: e0008052  mov	w0, #7
0xfffffff0087c6b6c: 39d30294  bl	#0xfffffff00887b850
0xfffffff0087c6b70: 93021a8b  add	x19, x20, x26
0xfffffff0087c6b74: 18010034  cbz	w24, #0xfffffff0087c6b94
0xfffffff0087c6b78: 680e4139  ldrb	w8, [x19, #0x43]
0xfffffff0087c6b7c: e02301a9  stp	x0, x8, [sp, #0x10]
