; Candidate 13753
; ADRP+ADD at VM 0xfffffff00956f83c (fileoff 0x256b83c): page=0x1fdfed000 add_imm=0xe5d

0xfffffff00956f7bc: f70316aa  mov	x23, x22
0xfffffff00956f7c0: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff00956f7c4: 090940f9  ldr	x9, [x8, #0x10]
0xfffffff00956f7c8: 3f0309eb  cmp	x25, x9
0xfffffff00956f7cc: eb030054  b.lt	#0xfffffff00956f848
0xfffffff00956f7d0: 090540f9  ldr	x9, [x8, #8]
0xfffffff00956f7d4: 0a0940f9  ldr	x10, [x8, #0x10]
0xfffffff00956f7d8: 3f010aeb  cmp	x9, x10
0xfffffff00956f7dc: 6c030054  b.gt	#0xfffffff00956f848
0xfffffff00956f7e0: 692240f9  ldr	x9, [x19, #0x40]
0xfffffff00956f7e4: 9c020035  cbnz	w28, #0xfffffff00956f834
0xfffffff00956f7e8: 0a0540f9  ldr	x10, [x8, #8]
0xfffffff00956f7ec: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff00956f7f0: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff00956f7f4: e90300f9  str	x9, [sp]
0xfffffff00956f7f8: 60fffeb0  adrp	x0, #0xfffffff00755c000
0xfffffff00956f7fc: 00243891  add	x0, x0, #0xe09
0xfffffff00956f800: 181fa197  bl	#0xfffffff007db7460
0xfffffff00956f804: 1a008052  mov	w26, #0
0xfffffff00956f808: 15008052  mov	w21, #0
0xfffffff00956f80c: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff00956f810: 090540f9  ldr	x9, [x8, #8]
0xfffffff00956f814: 0a0940f9  ldr	x10, [x8, #0x10]
0xfffffff00956f818: 3f010aeb  cmp	x9, x10
0xfffffff00956f81c: 00edff54  b.eq	#0xfffffff00956f5bc
0xfffffff00956f820: 1a008052  mov	w26, #0
0xfffffff00956f824: 15008052  mov	w21, #0
0xfffffff00956f828: 090940f9  ldr	x9, [x8, #0x10]
0xfffffff00956f82c: 090500f9  str	x9, [x8, #8]
0xfffffff00956f830: 63ffff17  b	#0xfffffff00956f5bc
0xfffffff00956f834: f9e700a9  stp	x25, x25, [sp, #8]
0xfffffff00956f838: e90300f9  str	x9, [sp]
0xfffffff00956f83c: 60fffeb0  adrp	x0, #0xfffffff00755c000
0xfffffff00956f840: 00743991  add	x0, x0, #0xe5d
0xfffffff00956f844: 071fa197  bl	#0xfffffff007db7460
0xfffffff00956f848: 88024079  ldrh	w8, [x20]
0xfffffff00956f84c: 48380034  cbz	w8, #0xfffffff00956ff54
0xfffffff00956f850: 695a40f9  ldr	x9, [x19, #0xb0]
0xfffffff00956f854: 2a0d40f9  ldr	x10, [x9, #0x18]
0xfffffff00956f858: 292980b9  ldrsw	x9, [x9, #0x28]
0xfffffff00956f85c: 490dc99a  sdiv	x9, x10, x9
0xfffffff00956f860: 3f0108eb  cmp	x9, x8
0xfffffff00956f864: 8b370054  b.lt	#0xfffffff00956ff54
0xfffffff00956f868: 89064079  ldrh	w9, [x20, #2]
0xfffffff00956f86c: 49370034  cbz	w9, #0xfffffff00956ff54
0xfffffff00956f870: 3f01086b  cmp	w9, w8
0xfffffff00956f874: 08370054  b.hi	#0xfffffff00956ff54
0xfffffff00956f878: 3f090071  cmp	w9, #2
0xfffffff00956f87c: e3010054  b.lo	#0xfffffff00956f8b8
0xfffffff00956f880: bf8315f8  stur	xzr, [x29, #-0xa8]
0xfffffff00956f884: 280500d1  sub	x8, x9, #1
0xfffffff00956f888: e93f40f9  ldr	x9, [sp, #0x78]
0xfffffff00956f88c: 2a815ff8  ldur	x10, [x9, #-8]
0xfffffff00956f890: 5f0900b1  cmn	x10, #2
0xfffffff00956f894: 0d340054  b.le	#0xfffffff00956ff14
0xfffffff00956f898: 2a0581b8  ldrsw	x10, [x9], #0x10
0xfffffff00956f89c: ab8355f8  ldur	x11, [x29, #-0xa8]
0xfffffff00956f8a0: 7f010aeb  cmp	x11, x10
0xfffffff00956f8a4: 6b818a9a  csel	x11, x11, x10, hi
0xfffffff00956f8a8: ab8315f8  stur	x11, [x29, #-0xa8]
0xfffffff00956f8ac: 080500f1  subs	x8, x8, #1
0xfffffff00956f8b0: e1feff54  b.ne	#0xfffffff00956f88c
0xfffffff00956f8b4: 02000014  b	#0xfffffff00956f8bc
0xfffffff00956f8b8: bf8315f8  stur	xzr, [x29, #-0xa8]
