; Candidate 1420
; ADRP+ADD at VM 0xfffffff0083d9d04 (fileoff 0x13d5d04): page=0x1ff5a6000 add_imm=0xd70

0xfffffff0083d9c84: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0083d9c88: 11093fd7  blraa	x8, x17
0xfffffff0083d9c8c: 100040f9  ldr	x16, [x0]
0xfffffff0083d9c90: f10300aa  mov	x17, x0
0xfffffff0083d9c94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083d9c98: 301ac1da  autda	x16, x17
0xfffffff0083d9c9c: 11b080d2  mov	x17, #0x580
0xfffffff0083d9ca0: 1002118b  add	x16, x16, x17
0xfffffff0083d9ca4: 080240f9  ldr	x8, [x16]
0xfffffff0083d9ca8: e40310aa  mov	x4, x16
0xfffffff0083d9cac: f00308aa  mov	x16, x8
0xfffffff0083d9cb0: e10315aa  mov	x1, x21
0xfffffff0083d9cb4: e20314aa  mov	x2, x20
0xfffffff0083d9cb8: e30313aa  mov	x3, x19
0xfffffff0083d9cbc: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0083d9cc0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0083d9cc4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0083d9cc8: ff2303d5  autibsp	
0xfffffff0083d9ccc: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0083d9cd0: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0083d9cd8
0xfffffff0083d9cd4: 208e38d4  brk	#0xc471
0xfffffff0083d9cd8: f10304aa  mov	x17, x4
0xfffffff0083d9cdc: 9105e8f2  movk	x17, #0x402c, lsl #48
0xfffffff0083d9ce0: 110a1fd7  braa	x16, x17
0xfffffff0083d9ce4: 5f2403d5  bti	c
0xfffffff0083d9ce8: 00f20090  adrp	x0, #0xfffffff00a219000
0xfffffff0083d9cec: 00201191  add	x0, x0, #0x448
0xfffffff0083d9cf0: c0035fd6  ret	
0xfffffff0083d9cf4: 5f2403d5  bti	c
0xfffffff0083d9cf8: e10300aa  mov	x1, x0
0xfffffff0083d9cfc: 08008092  mov	x8, #-1
0xfffffff0083d9d00: 080000f9  str	x8, [x0]
0xfffffff0083d9d04: 20adffd0  adrp	x0, #0xfffffff00797f000
0xfffffff0083d9d08: 00c03591  add	x0, x0, #0xd70
0xfffffff0083d9d0c: 02128052  mov	w2, #0x90
0xfffffff0083d9d10: 6336fc17  b	#0xfffffff0082e769c
0xfffffff0083d9d14: 5f2403d5  bti	c
0xfffffff0083d9d18: 08008092  mov	x8, #-1
0xfffffff0083d9d1c: 080000f9  str	x8, [x0]
0xfffffff0083d9d20: c0035fd6  ret	
0xfffffff0083d9d24: 7f2303d5  pacibsp	
0xfffffff0083d9d28: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff0083d9d2c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0083d9d30: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0083d9d34: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0083d9d38: fdc30091  add	x29, sp, #0x30
0xfffffff0083d9d3c: f30300aa  mov	x19, x0
0xfffffff0083d9d40: 100040f9  ldr	x16, [x0]
0xfffffff0083d9d44: f10300aa  mov	x17, x0
0xfffffff0083d9d48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083d9d4c: 301ac1da  autda	x16, x17
0xfffffff0083d9d50: 112380d2  mov	x17, #0x118
0xfffffff0083d9d54: 1002118b  add	x16, x16, x17
0xfffffff0083d9d58: 080240f9  ldr	x8, [x16]
0xfffffff0083d9d5c: e90310aa  mov	x9, x16
0xfffffff0083d9d60: 2166fff0  adrp	x1, #0xfffffff0070a0000
0xfffffff0083d9d64: 21d02991  add	x1, x1, #0xa74
0xfffffff0083d9d68: f10309aa  mov	x17, x9
0xfffffff0083d9d6c: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff0083d9d70: 11093fd7  blraa	x8, x17
0xfffffff0083d9d74: a01200b4  cbz	x0, #0xfffffff0083d9fc8
0xfffffff0083d9d78: f40300aa  mov	x20, x0
0xfffffff0083d9d7c: 100040f9  ldr	x16, [x0]
0xfffffff0083d9d80: f10300aa  mov	x17, x0
