; Candidate 1472
; ADRP+ADD at VM 0xfffffff008431738 (fileoff 0x142d738): page=0x1ff54f000 add_imm=0xdb0

0xfffffff0084316b8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0084316bc: 11093fd7  blraa	x8, x17
0xfffffff0084316c0: e00315aa  mov	x0, x21
0xfffffff0084316c4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0084316c8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0084316cc: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0084316d0: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff0084316d4: ff0f5fd6  retab	
0xfffffff0084316d8: e10314aa  mov	x1, x20
0xfffffff0084316dc: 02008052  mov	w2, #0
0xfffffff0084316e0: 06e9e597  bl	#0xfffffff007dabaf8
0xfffffff0084316e4: 44ffff17  b	#0xfffffff0084313f4
0xfffffff0084316e8: e10314aa  mov	x1, x20
0xfffffff0084316ec: 1eece597  bl	#0xfffffff007dac764
0xfffffff0084316f0: 53fdffb5  cbnz	x19, #0xfffffff008431698
0xfffffff0084316f4: f3ffff17  b	#0xfffffff0084316c0
0xfffffff0084316f8: 7f2303d5  pacibsp	
0xfffffff0084316fc: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008431700: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008431704: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008431708: fd830091  add	x29, sp, #0x20
0xfffffff00843170c: f30300aa  mov	x19, x0
0xfffffff008431710: 60aafff0  adrp	x0, #0xfffffff007980000
0xfffffff008431714: 00c02a91  add	x0, x0, #0xab0
0xfffffff008431718: 082840b9  ldr	w8, [x0, #0x28]
0xfffffff00843171c: 1f011c72  tst	w8, #0x10
0xfffffff008431720: 94008052  mov	w20, #4
0xfffffff008431724: 95009052  mov	w21, #0x8004
0xfffffff008431728: a102941a  csel	w1, w21, w20, eq
0xfffffff00843172c: a5d4e597  bl	#0xfffffff007da69c0
0xfffffff008431730: 600a00f9  str	x0, [x19, #0x10]
0xfffffff008431734: 130800f9  str	x19, [x0, #0x10]
0xfffffff008431738: 60aafff0  adrp	x0, #0xfffffff007980000
0xfffffff00843173c: 00c03691  add	x0, x0, #0xdb0
0xfffffff008431740: 082840b9  ldr	w8, [x0, #0x28]
0xfffffff008431744: 1f011c72  tst	w8, #0x10
0xfffffff008431748: a102941a  csel	w1, w21, w20, eq
0xfffffff00843174c: 9dd4e597  bl	#0xfffffff007da69c0
0xfffffff008431750: 600e00f9  str	x0, [x19, #0x18]
0xfffffff008431754: 600100b4  cbz	x0, #0xfffffff008431780
0xfffffff008431758: b897fc97  bl	#0xfffffff008357638
0xfffffff00843175c: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008431760: 000100f9  str	x0, [x8]
0xfffffff008431764: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008431768: 090140f9  ldr	x9, [x8]
0xfffffff00843176c: 890000b4  cbz	x9, #0xfffffff00843177c
0xfffffff008431770: 20008052  mov	w0, #1
0xfffffff008431774: 00850039  strb	w0, [x8, #0x21]
0xfffffff008431778: 02000014  b	#0xfffffff008431780
0xfffffff00843177c: 00008052  mov	w0, #0
0xfffffff008431780: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008431784: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008431788: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00843178c: ff0f5fd6  retab	
0xfffffff008431790: 7f2303d5  pacibsp	
0xfffffff008431794: ff4302d1  sub	sp, sp, #0x90
0xfffffff008431798: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff00843179c: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff0084317a0: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0084317a4: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0084317a8: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0084317ac: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0084317b0: fd030291  add	x29, sp, #0x80
0xfffffff0084317b4: f30300aa  mov	x19, x0
