; Candidate 15805
; ADRP+ADD at VM 0xfffffff009d32bb8 (fileoff 0x2d2ebb8): page=0x1fd93b000 add_imm=0xe96

0xfffffff009d32b38: 76860691  add	x22, x19, #0x1a1
0xfffffff009d32b3c: 28e49f52  mov	w8, #0xff21
0xfffffff009d32b40: c80200f9  str	x8, [x22]
0xfffffff009d32b44: 689640f9  ldr	x8, [x19, #0x128]
0xfffffff009d32b48: 08094039  ldrb	w8, [x8, #2]
0xfffffff009d32b4c: c80a0079  strh	w8, [x22, #4]
0xfffffff009d32b50: df0e0079  strh	wzr, [x22, #6]
0xfffffff009d32b54: 222000b9  str	w2, [x1, #0x20]
0xfffffff009d32b58: e00313aa  mov	x0, x19
0xfffffff009d32b5c: 9df0ff97  bl	#0xfffffff009d2edd0
0xfffffff009d32b60: 400300b4  cbz	x0, #0xfffffff009d32bc8
0xfffffff009d32b64: a3220091  add	x3, x21, #8
0xfffffff009d32b68: 100040f9  ldr	x16, [x0]
0xfffffff009d32b6c: f10300aa  mov	x17, x0
0xfffffff009d32b70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d32b74: 301ac1da  autda	x16, x17
0xfffffff009d32b78: 11b380d2  mov	x17, #0x598
0xfffffff009d32b7c: 1002118b  add	x16, x16, x17
0xfffffff009d32b80: 080240f9  ldr	x8, [x16]
0xfffffff009d32b84: e90310aa  mov	x9, x16
0xfffffff009d32b88: e10316aa  mov	x1, x22
0xfffffff009d32b8c: 020080d2  mov	x2, #0
0xfffffff009d32b90: 04778152  mov	w4, #0xbb8
0xfffffff009d32b94: f10309aa  mov	x17, x9
0xfffffff009d32b98: d1c1e6f2  movk	x17, #0x360e, lsl #48
0xfffffff009d32b9c: 11093fd7  blraa	x8, x17
0xfffffff009d32ba0: f40300aa  mov	x20, x0
0xfffffff009d32ba4: c0fbff34  cbz	w0, #0xfffffff009d32b1c
0xfffffff009d32ba8: 738640f9  ldr	x19, [x19, #0x108]
0xfffffff009d32bac: e00314aa  mov	x0, x20
0xfffffff009d32bb0: 92020094  bl	#0xfffffff009d335f8
0xfffffff009d32bb4: f30300a9  stp	x19, x0, [sp]
0xfffffff009d32bb8: c0c9fef0  adrp	x0, #0xfffffff00766d000
0xfffffff009d32bbc: 00583a91  add	x0, x0, #0xe96
0xfffffff009d32bc0: 18919897  bl	#0xfffffff008357020
0xfffffff009d32bc4: d6ffff17  b	#0xfffffff009d32b1c
0xfffffff009d32bc8: 94120011  add	w20, w20, #4
0xfffffff009d32bcc: f7ffff17  b	#0xfffffff009d32ba8
0xfffffff009d32bd0: 5f2403d5  bti	c
0xfffffff009d32bd4: 5c000014  b	#0xfffffff009d32d44
0xfffffff009d32bd8: 7f2303d5  pacibsp	
0xfffffff009d32bdc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009d32be0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009d32be4: fd430091  add	x29, sp, #0x10
0xfffffff009d32be8: f30300aa  mov	x19, x0
0xfffffff009d32bec: b0fefed0  adrp	x16, #0xfffffff007d08000
0xfffffff009d32bf0: 10e23f91  add	x16, x16, #0xff8
0xfffffff009d32bf4: 10420091  add	x16, x16, #0x10
0xfffffff009d32bf8: f10300aa  mov	x17, x0
0xfffffff009d32bfc: 1139eff2  movk	x17, #0x79c8, lsl #48
0xfffffff009d32c00: 300ac1da  pacda	x16, x17
0xfffffff009d32c04: 100000f9  str	x16, [x0]
0xfffffff009d32c08: 001440f9  ldr	x0, [x0, #0x28]
0xfffffff009d32c0c: 600000b4  cbz	x0, #0xfffffff009d32c18
0xfffffff009d32c10: 15939897  bl	#0xfffffff008357864
0xfffffff009d32c14: 7f1600f9  str	xzr, [x19, #0x28]
0xfffffff009d32c18: 600640f9  ldr	x0, [x19, #8]
0xfffffff009d32c1c: 600100b4  cbz	x0, #0xfffffff009d32c48
0xfffffff009d32c20: 100040f9  ldr	x16, [x0]
0xfffffff009d32c24: f10300aa  mov	x17, x0
0xfffffff009d32c28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d32c2c: 301ac1da  autda	x16, x17
0xfffffff009d32c30: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009d32c34: e90310aa  mov	x9, x16
