; Candidate 14958
; ADRP+ADD at VM 0xfffffff009a0d9b8 (fileoff 0x2a099b8): page=0x1fdbf4000 add_imm=0xd43

0xfffffff009a0d938: 00e83391  add	x0, x0, #0xcfa
0xfffffff009a0d93c: 0587a997  bl	#0xfffffff00846f550
0xfffffff009a0d940: c85240f9  ldr	x8, [x22, #0xa0]
0xfffffff009a0d944: 010d4039  ldrb	w1, [x8, #3]
0xfffffff009a0d948: e00316aa  mov	x0, x22
0xfffffff009a0d94c: e20317aa  mov	x2, x23
0xfffffff009a0d950: 09fcff97  bl	#0xfffffff009a0c974
0xfffffff009a0d954: 08034039  ldrb	w8, [x24]
0xfffffff009a0d958: 68030036  tbz	w8, #0, #0xfffffff009a0d9c4
0xfffffff009a0d95c: 1e009397  bl	#0xfffffff007ecd9d4
0xfffffff009a0d960: 20030035  cbnz	w0, #0xfffffff009a0d9c4
0xfffffff009a0d964: d00240f9  ldr	x16, [x22]
0xfffffff009a0d968: f10316aa  mov	x17, x22
0xfffffff009a0d96c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a0d970: 301ac1da  autda	x16, x17
0xfffffff009a0d974: 113d80d2  mov	x17, #0x1e8
0xfffffff009a0d978: 1002118b  add	x16, x16, x17
0xfffffff009a0d97c: 080240f9  ldr	x8, [x16]
0xfffffff009a0d980: e90310aa  mov	x9, x16
0xfffffff009a0d984: e00316aa  mov	x0, x22
0xfffffff009a0d988: 010080d2  mov	x1, #0
0xfffffff009a0d98c: f10309aa  mov	x17, x9
0xfffffff009a0d990: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009a0d994: 11093fd7  blraa	x8, x17
0xfffffff009a0d998: f70300aa  mov	x23, x0
0xfffffff009a0d99c: c85240f9  ldr	x8, [x22, #0xa0]
0xfffffff009a0d9a0: 010d4039  ldrb	w1, [x8, #3]
0xfffffff009a0d9a4: e00316aa  mov	x0, x22
0xfffffff009a0d9a8: cbfbff97  bl	#0xfffffff009a0c8d4
0xfffffff009a0d9ac: e803002a  mov	w8, w0
0xfffffff009a0d9b0: f6a300a9  stp	x22, x8, [sp, #8]
0xfffffff009a0d9b4: f70300f9  str	x23, [sp]
0xfffffff009a0d9b8: a0dffe90  adrp	x0, #0xfffffff007601000
0xfffffff009a0d9bc: 000c3591  add	x0, x0, #0xd43
0xfffffff009a0d9c0: 9825a597  bl	#0xfffffff008357020
0xfffffff009a0d9c4: 08034039  ldrb	w8, [x24]
0xfffffff009a0d9c8: 28030836  tbz	w8, #1, #0xfffffff009a0da2c
0xfffffff009a0d9cc: d00240f9  ldr	x16, [x22]
0xfffffff009a0d9d0: f10316aa  mov	x17, x22
0xfffffff009a0d9d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a0d9d8: 301ac1da  autda	x16, x17
0xfffffff009a0d9dc: 113d80d2  mov	x17, #0x1e8
0xfffffff009a0d9e0: 1002118b  add	x16, x16, x17
0xfffffff009a0d9e4: 080240f9  ldr	x8, [x16]
0xfffffff009a0d9e8: e90310aa  mov	x9, x16
0xfffffff009a0d9ec: e00316aa  mov	x0, x22
0xfffffff009a0d9f0: 010080d2  mov	x1, #0
0xfffffff009a0d9f4: f10309aa  mov	x17, x9
0xfffffff009a0d9f8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009a0d9fc: 11093fd7  blraa	x8, x17
0xfffffff009a0da00: f70300aa  mov	x23, x0
0xfffffff009a0da04: c85240f9  ldr	x8, [x22, #0xa0]
0xfffffff009a0da08: 010d4039  ldrb	w1, [x8, #3]
0xfffffff009a0da0c: e00316aa  mov	x0, x22
0xfffffff009a0da10: b1fbff97  bl	#0xfffffff009a0c8d4
0xfffffff009a0da14: e803002a  mov	w8, w0
0xfffffff009a0da18: f6a300a9  stp	x22, x8, [sp, #8]
0xfffffff009a0da1c: f70300f9  str	x23, [sp]
0xfffffff009a0da20: a0dffe90  adrp	x0, #0xfffffff007601000
0xfffffff009a0da24: 000c3591  add	x0, x0, #0xd43
0xfffffff009a0da28: ca86a997  bl	#0xfffffff00846f550
0xfffffff009a0da2c: c85240f9  ldr	x8, [x22, #0xa0]
0xfffffff009a0da30: 29008052  mov	w9, #1
0xfffffff009a0da34: 09350139  strb	w9, [x8, #0x4d]
