; Candidate 7677
; ADRP+ADD at VM 0xfffffff00887846c (fileoff 0x187446c): page=0x1fe9b1000 add_imm=0xd47

0xfffffff0088783ec: f50300f9  str	x21, [sp]
0xfffffff0088783f0: 804bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088783f4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088783f8: 818cff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088783fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008878400: 02008052  mov	w2, #0
0xfffffff008878404: 4bebea97  bl	#0xfffffff008333130
0xfffffff008878408: 557e8012  mov	w21, #-0x3f3
0xfffffff00887840c: a00b8052  mov	w0, #0x5d
0xfffffff008878410: 01018052  mov	w1, #8
0xfffffff008878414: ef0c0094  bl	#0xfffffff00887b7d0
0xfffffff008878418: 60060034  cbz	w0, #0xfffffff0088784e4
0xfffffff00887841c: a00b8052  mov	w0, #0x5d
0xfffffff008878420: fe0c0094  bl	#0xfffffff00887b818
0xfffffff008878424: f70300aa  mov	x23, x0
0xfffffff008878428: 61ef0094  bl	#0xfffffff0088b41ac
0xfffffff00887842c: f60300aa  mov	x22, x0
0xfffffff008878430: 00018052  mov	w0, #8
0xfffffff008878434: 070d0094  bl	#0xfffffff00887b850
0xfffffff008878438: 57020034  cbz	w23, #0xfffffff008878480
0xfffffff00887843c: e80315aa  mov	x8, x21
0xfffffff008878440: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008878444: aac35cb8  ldur	w10, [x29, #-0x34]
0xfffffff008878448: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00887844c: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff008878450: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff008878454: 08390f91  add	x8, x8, #0x3ce
0xfffffff008878458: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00887845c: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff008878460: 08053c91  add	x8, x8, #0xf01
0xfffffff008878464: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008878468: a80b8052  mov	w8, #0x5d
0xfffffff00887846c: 804dffb0  adrp	x0, #0xfffffff007229000
0xfffffff008878470: 001c3591  add	x0, x0, #0xd47
0xfffffff008878474: f62300a9  stp	x22, x8, [sp]
0xfffffff008878478: fafbd497  bl	#0xfffffff007db7460
0xfffffff00887847c: 1a000014  b	#0xfffffff0088784e4
0xfffffff008878480: 4bef0094  bl	#0xfffffff0088b41ac
0xfffffff008878484: f60300aa  mov	x22, x0
0xfffffff008878488: 00018052  mov	w0, #8
0xfffffff00887848c: f10c0094  bl	#0xfffffff00887b850
0xfffffff008878490: e80315aa  mov	x8, x21
0xfffffff008878494: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008878498: aac35cb8  ldur	w10, [x29, #-0x34]
0xfffffff00887849c: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff0088784a0: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff0088784a4: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff0088784a8: 08390f91  add	x8, x8, #0x3ce
0xfffffff0088784ac: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088784b0: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff0088784b4: 08053c91  add	x8, x8, #0xf01
0xfffffff0088784b8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088784bc: a80b8052  mov	w8, #0x5d
0xfffffff0088784c0: f62300a9  stp	x22, x8, [sp]
0xfffffff0088784c4: 804bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088784c8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088784cc: 818cff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088784d0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088784d4: 034fffd0  adrp	x3, #0xfffffff00725a000
0xfffffff0088784d8: 63a00491  add	x3, x3, #0x128
0xfffffff0088784dc: 02008052  mov	w2, #0
0xfffffff0088784e0: 14ebea97  bl	#0xfffffff008333130
0xfffffff0088784e4: e00315aa  mov	x0, x21
0xfffffff0088784e8: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
