; Candidate 1940
; ADRP+ADD at VM 0xfffffff00853cd24 (fileoff 0x1538d24): page=0x1d99000 add_imm=0xd28

0xfffffff00853cca4: c8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853cca8: 006906f9  str	x0, [x8, #0xcd0]
0xfffffff00853ccac: c0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853ccb0: 00603391  add	x0, x0, #0xcd8
0xfffffff00853ccb4: 015dfff0  adrp	x1, #0xfffffff0070df000
0xfffffff00853ccb8: 21e40f91  add	x1, x1, #0x3f9
0xfffffff00853ccbc: c2a2ffb0  adrp	x2, #0xfffffff007995000
0xfffffff00853ccc0: 421045f9  ldr	x2, [x2, #0xa20]
0xfffffff00853ccc4: 031c8052  mov	w3, #0xe0
0xfffffff00853ccc8: 9c9bf697  bl	#0xfffffff0082e3b38
0xfffffff00853cccc: 10a3ffb0  adrp	x16, #0xfffffff00799d000
0xfffffff00853ccd0: 10a22691  add	x16, x16, #0x9a8
0xfffffff00853ccd4: 10420091  add	x16, x16, #0x10
0xfffffff00853ccd8: f10300aa  mov	x17, x0
0xfffffff00853ccdc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853cce0: 300ac1da  pacda	x16, x17
0xfffffff00853cce4: 100000f9  str	x16, [x0]
0xfffffff00853cce8: c0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853ccec: 00003491  add	x0, x0, #0xd00
0xfffffff00853ccf0: 015dfff0  adrp	x1, #0xfffffff0070df000
0xfffffff00853ccf4: 211c1191  add	x1, x1, #0x447
0xfffffff00853ccf8: c2a2ffb0  adrp	x2, #0xfffffff007995000
0xfffffff00853ccfc: 425845f9  ldr	x2, [x2, #0xab0]
0xfffffff00853cd00: 03188052  mov	w3, #0xc0
0xfffffff00853cd04: 8d9bf697  bl	#0xfffffff0082e3b38
0xfffffff00853cd08: 10a3ffb0  adrp	x16, #0xfffffff00799d000
0xfffffff00853cd0c: 10022b91  add	x16, x16, #0xac0
0xfffffff00853cd10: 10420091  add	x16, x16, #0x10
0xfffffff00853cd14: f10300aa  mov	x17, x0
0xfffffff00853cd18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853cd1c: 300ac1da  pacda	x16, x17
0xfffffff00853cd20: 100000f9  str	x16, [x0]
0xfffffff00853cd24: c0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853cd28: 00a03491  add	x0, x0, #0xd28
0xfffffff00853cd2c: 015dfff0  adrp	x1, #0xfffffff0070df000
0xfffffff00853cd30: 21141291  add	x1, x1, #0x485
0xfffffff00853cd34: c2a2ffb0  adrp	x2, #0xfffffff007995000
0xfffffff00853cd38: 423845f9  ldr	x2, [x2, #0xa70]
0xfffffff00853cd3c: 03168052  mov	w3, #0xb0
0xfffffff00853cd40: 7e9bf697  bl	#0xfffffff0082e3b38
0xfffffff00853cd44: 10a3ffb0  adrp	x16, #0xfffffff00799d000
0xfffffff00853cd48: 10c22f91  add	x16, x16, #0xbf0
0xfffffff00853cd4c: 10420091  add	x16, x16, #0x10
0xfffffff00853cd50: f10300aa  mov	x17, x0
0xfffffff00853cd54: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853cd58: 300ac1da  pacda	x16, x17
0xfffffff00853cd5c: 100000f9  str	x16, [x0]
0xfffffff00853cd60: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00853cd64: ff0f5fd6  retab	
0xfffffff00853cd68: 7f2303d5  pacibsp	
0xfffffff00853cd6c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00853cd70: fd030091  mov	x29, sp
0xfffffff00853cd74: c0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853cd78: 00a03491  add	x0, x0, #0xd28
0xfffffff00853cd7c: 5e9ef697  bl	#0xfffffff0082e46f4
0xfffffff00853cd80: c0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853cd84: 00003491  add	x0, x0, #0xd00
0xfffffff00853cd88: 5b9ef697  bl	#0xfffffff0082e46f4
0xfffffff00853cd8c: c0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853cd90: 00603391  add	x0, x0, #0xcd8
0xfffffff00853cd94: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00853cd98: ff2303d5  autibsp	
0xfffffff00853cd9c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00853cda0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00853cda8
