; Candidate 8510
; ADRP+ADD at VM 0xfffffff0088ae8d8 (fileoff 0x18aa8d8): page=0x1fe93b000 add_imm=0xe80

0xfffffff0088ae858: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088ae85c: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae860: 08053a91  add	x8, x8, #0xe81
0xfffffff0088ae864: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ae868: c80f8052  mov	w8, #0x7e
0xfffffff0088ae86c: a34dffb0  adrp	x3, #0xfffffff007263000
0xfffffff0088ae870: 63d83f91  add	x3, x3, #0xff6
0xfffffff0088ae874: f62300a9  stp	x22, x8, [sp]
0xfffffff0088ae878: c049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ae87c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ae880: c18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ae884: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ae888: 02008052  mov	w2, #0
0xfffffff0088ae88c: 2912ea97  bl	#0xfffffff008333130
0xfffffff0088ae890: 74ffff17  b	#0xfffffff0088ae660
0xfffffff0088ae894: 46160094  bl	#0xfffffff0088b41ac
0xfffffff0088ae898: f50300aa  mov	x21, x0
0xfffffff0088ae89c: 00018052  mov	w0, #8
0xfffffff0088ae8a0: ec33ff97  bl	#0xfffffff00887b850
0xfffffff0088ae8a4: 680240b9  ldr	w8, [x19]
0xfffffff0088ae8a8: 695241b9  ldr	w9, [x19, #0x150]
0xfffffff0088ae8ac: 6a1640b9  ldr	w10, [x19, #0x14]
0xfffffff0088ae8b0: 6b4e41b9  ldr	w11, [x19, #0x14c]
0xfffffff0088ae8b4: ea2f04a9  stp	x10, x11, [sp, #0x40]
0xfffffff0088ae8b8: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088ae8bc: a8b28052  mov	w8, #0x595
0xfffffff0088ae8c0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088ae8c4: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae8c8: 08053a91  add	x8, x8, #0xe81
0xfffffff0088ae8cc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ae8d0: c80f8052  mov	w8, #0x7e
0xfffffff0088ae8d4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088ae8d8: c049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ae8dc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ae8e0: c18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ae8e4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ae8e8: a34dffd0  adrp	x3, #0xfffffff007264000
0xfffffff0088ae8ec: 63f80091  add	x3, x3, #0x3e
0xfffffff0088ae8f0: 02008052  mov	w2, #0
0xfffffff0088ae8f4: 0f12ea97  bl	#0xfffffff008333130
0xfffffff0088ae8f8: 15008052  mov	w21, #0
0xfffffff0088ae8fc: 59ffff17  b	#0xfffffff0088ae660
0xfffffff0088ae900: 7f2303d5  pacibsp	
0xfffffff0088ae904: ff4303d1  sub	sp, sp, #0xd0
0xfffffff0088ae908: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff0088ae90c: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff0088ae910: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff0088ae914: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff0088ae918: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff0088ae91c: fd030391  add	x29, sp, #0xc0
0xfffffff0088ae920: f60303aa  mov	x22, x3
0xfffffff0088ae924: f50302aa  mov	x21, x2
0xfffffff0088ae928: f40301aa  mov	x20, x1
0xfffffff0088ae92c: f30300aa  mov	x19, x0
0xfffffff0088ae930: c00f8052  mov	w0, #0x7e
0xfffffff0088ae934: e1008052  mov	w1, #7
0xfffffff0088ae938: a633ff97  bl	#0xfffffff00887b7d0
0xfffffff0088ae93c: 60020034  cbz	w0, #0xfffffff0088ae988
0xfffffff0088ae940: c00f8052  mov	w0, #0x7e
0xfffffff0088ae944: b533ff97  bl	#0xfffffff00887b818
0xfffffff0088ae948: f80300aa  mov	x24, x0
0xfffffff0088ae94c: 18160094  bl	#0xfffffff0088b41ac
0xfffffff0088ae950: f70300aa  mov	x23, x0
0xfffffff0088ae954: e0008052  mov	w0, #7
