; Candidate 7495
; ADRP+ADD at VM 0xfffffff00887025c (fileoff 0x186c25c): page=0x1fe9a3000 add_imm=0xe0f

0xfffffff0088701dc: 00008052  mov	w0, #0
0xfffffff0088701e0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0088701e4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0088701e8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0088701ec: ff830191  add	sp, sp, #0x60
0xfffffff0088701f0: ff0f5fd6  retab	
0xfffffff0088701f4: 7f2303d5  pacibsp	
0xfffffff0088701f8: ff0302d1  sub	sp, sp, #0x80
0xfffffff0088701fc: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008870200: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008870204: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008870208: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00887020c: fdc30191  add	x29, sp, #0x70
0xfffffff008870210: f30300aa  mov	x19, x0
0xfffffff008870214: 600b8052  mov	w0, #0x5b
0xfffffff008870218: 01018052  mov	w1, #8
0xfffffff00887021c: 6d2d0094  bl	#0xfffffff00887b7d0
0xfffffff008870220: a0040034  cbz	w0, #0xfffffff0088702b4
0xfffffff008870224: 600b8052  mov	w0, #0x5b
0xfffffff008870228: 7c2d0094  bl	#0xfffffff00887b818
0xfffffff00887022c: f50300aa  mov	x21, x0
0xfffffff008870230: df0f0194  bl	#0xfffffff0088b41ac
0xfffffff008870234: f40300aa  mov	x20, x0
0xfffffff008870238: 00018052  mov	w0, #8
0xfffffff00887023c: 852d0094  bl	#0xfffffff00887b850
0xfffffff008870240: 75010034  cbz	w21, #0xfffffff00887026c
0xfffffff008870244: c84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008870248: 08712391  add	x8, x8, #0x8dc
0xfffffff00887024c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008870250: 680b8052  mov	w8, #0x5b
0xfffffff008870254: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008870258: f40300f9  str	x20, [sp]
0xfffffff00887025c: 004dfff0  adrp	x0, #0xfffffff007213000
0xfffffff008870260: 003c3891  add	x0, x0, #0xe0f
0xfffffff008870264: 7f1cd597  bl	#0xfffffff007db7460
0xfffffff008870268: 13000014  b	#0xfffffff0088702b4
0xfffffff00887026c: d00f0194  bl	#0xfffffff0088b41ac
0xfffffff008870270: f40300aa  mov	x20, x0
0xfffffff008870274: 00018052  mov	w0, #8
0xfffffff008870278: 762d0094  bl	#0xfffffff00887b850
0xfffffff00887027c: c84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008870280: 08712391  add	x8, x8, #0x8dc
0xfffffff008870284: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008870288: 680b8052  mov	w8, #0x5b
0xfffffff00887028c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008870290: f40300f9  str	x20, [sp]
0xfffffff008870294: c04bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008870298: 00003a91  add	x0, x0, #0xe80
0xfffffff00887029c: c18cff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088702a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088702a4: 434fff90  adrp	x3, #0xfffffff007258000
0xfffffff0088702a8: 63ac3191  add	x3, x3, #0xc6b
0xfffffff0088702ac: 02008052  mov	w2, #0
0xfffffff0088702b0: a00beb97  bl	#0xfffffff008333130
0xfffffff0088702b4: e00313aa  mov	x0, x19
0xfffffff0088702b8: 21008052  mov	w1, #1
0xfffffff0088702bc: 02098052  mov	w2, #0x48
0xfffffff0088702c0: 0208a072  movk	w2, #0x40, lsl #16
0xfffffff0088702c4: 91530094  bl	#0xfffffff008885108
0xfffffff0088702c8: f50300aa  mov	x21, x0
0xfffffff0088702cc: 1f040072  tst	w0, #3
0xfffffff0088702d0: 14009f1a  csel	w20, w0, wzr, eq
0xfffffff0088702d4: 600b8052  mov	w0, #0x5b
0xfffffff0088702d8: 01018052  mov	w1, #8
