; Candidate 12341
; ADRP+ADD at VM 0xfffffff00908c5f4 (fileoff 0x20885f4): page=0x1fe3cd000 add_imm=0xe24

0xfffffff00908c574: 00583191  add	x0, x0, #0xc56
0xfffffff00908c578: aa2acb97  bl	#0xfffffff008357020
0xfffffff00908c57c: e855ffb0  adrp	x8, #0xfffffff007b49000
0xfffffff00908c580: 08413791  add	x8, x8, #0xdd0
0xfffffff00908c584: 098d4bf8  ldr	x9, [x8, #0xb8]!
0xfffffff00908c588: e00314aa  mov	x0, x20
0xfffffff00908c58c: e10315aa  mov	x1, x21
0xfffffff00908c590: f10308aa  mov	x17, x8
0xfffffff00908c594: 1102f5f2  movk	x17, #0xa810, lsl #48
0xfffffff00908c598: 31093fd7  blraa	x9, x17
0xfffffff00908c59c: e0030035  cbnz	w0, #0xfffffff00908c618
0xfffffff00908c5a0: 887e40f9  ldr	x8, [x20, #0xf8]
0xfffffff00908c5a4: 1f0115eb  cmp	x8, x21
0xfffffff00908c5a8: 60000054  b.eq	#0xfffffff00908c5b4
0xfffffff00908c5ac: 13008052  mov	w19, #0
0xfffffff00908c5b0: 05000014  b	#0xfffffff00908c5c4
0xfffffff00908c5b4: e00314aa  mov	x0, x20
0xfffffff00908c5b8: 2b000094  bl	#0xfffffff00908c664
0xfffffff00908c5bc: f30300aa  mov	x19, x0
0xfffffff00908c5c0: 20030035  cbnz	w0, #0xfffffff00908c624
0xfffffff00908c5c4: 48018052  mov	w8, #0xa
0xfffffff00908c5c8: c9024039  ldrb	w9, [x22]
0xfffffff00908c5cc: 1f01096b  cmp	w8, w9
0xfffffff00908c5d0: 83010054  b.lo	#0xfffffff00908c600
0xfffffff00908c5d4: e80313aa  mov	x8, x19
0xfffffff00908c5d8: 087d4093  sxtw	x8, w8
0xfffffff00908c5dc: 691efff0  adrp	x9, #0xfffffff00745b000
0xfffffff00908c5e0: 29cd3291  add	x9, x9, #0xcb3
0xfffffff00908c5e4: 8a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff00908c5e8: 4a792f91  add	x10, x10, #0xbde
0xfffffff00908c5ec: ea2700a9  stp	x10, x9, [sp]
0xfffffff00908c5f0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908c5f4: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908c5f8: 00903891  add	x0, x0, #0xe24
0xfffffff00908c5fc: 892acb97  bl	#0xfffffff008357020
0xfffffff00908c600: e00313aa  mov	x0, x19
0xfffffff00908c604: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00908c608: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00908c60c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00908c610: ff830191  add	sp, sp, #0x60
0xfffffff00908c614: ff0f5fd6  retab	
0xfffffff00908c618: f30300aa  mov	x19, x0
0xfffffff00908c61c: e8298052  mov	w8, #0x14f
0xfffffff00908c620: 02000014  b	#0xfffffff00908c628
0xfffffff00908c624: 682a8052  mov	w8, #0x153
0xfffffff00908c628: 697e4093  sxtw	x9, w19
0xfffffff00908c62c: 8a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff00908c630: 4aa12f91  add	x10, x10, #0xbe8
0xfffffff00908c634: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff00908c638: 681effb0  adrp	x8, #0xfffffff007459000
0xfffffff00908c63c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908c640: 6b1effd0  adrp	x11, #0xfffffff00745a000
0xfffffff00908c644: 6b290291  add	x11, x11, #0x8a
0xfffffff00908c648: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00908c64c: eb0300f9  str	x11, [sp]
0xfffffff00908c650: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908c654: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908c658: 722acb97  bl	#0xfffffff008357020
0xfffffff00908c65c: c8088052  mov	w8, #0x46
0xfffffff00908c660: daffff17  b	#0xfffffff00908c5c8
0xfffffff00908c664: 7f2303d5  pacibsp	
0xfffffff00908c668: ff8305d1  sub	sp, sp, #0x160
0xfffffff00908c66c: fc6f10a9  stp	x28, x27, [sp, #0x100]
0xfffffff00908c670: fa6711a9  stp	x26, x25, [sp, #0x110]
