; Candidate 694
; ADRP+ADD at VM 0xfffffff00802a4c8 (fileoff 0x10264c8): page=0x1ff041000 add_imm=0xd7e

0xfffffff00802a448: c25d8552  mov	w2, #0x2aee
0xfffffff00802a44c: f2d41194  bl	#0xfffffff00849f814
0xfffffff00802a450: 0082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff00802a454: 00b43791  add	x0, x0, #0xded
0xfffffff00802a458: 0182ffb0  adrp	x1, #0xfffffff00706b000
0xfffffff00802a45c: 21a82691  add	x1, x1, #0x9aa
0xfffffff00802a460: c2628352  mov	w2, #0x1b16
0xfffffff00802a464: ecd41194  bl	#0xfffffff00849f814
0xfffffff00802a468: 0082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff00802a46c: 001c3891  add	x0, x0, #0xe07
0xfffffff00802a470: 0182ffb0  adrp	x1, #0xfffffff00706b000
0xfffffff00802a474: 21a82691  add	x1, x1, #0x9aa
0xfffffff00802a478: 42638352  mov	w2, #0x1b1a
0xfffffff00802a47c: e6d41194  bl	#0xfffffff00849f814
0xfffffff00802a480: 0082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff00802a484: 00703691  add	x0, x0, #0xd9c
0xfffffff00802a488: 03000014  b	#0xfffffff00802a494
0xfffffff00802a48c: 0082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff00802a490: 00e43691  add	x0, x0, #0xdb9
0xfffffff00802a494: 0182ffb0  adrp	x1, #0xfffffff00706b000
0xfffffff00802a498: 21a82691  add	x1, x1, #0x9aa
0xfffffff00802a49c: 82658352  mov	w2, #0x1b2c
0xfffffff00802a4a0: ddd41194  bl	#0xfffffff00849f814
0xfffffff00802a4a4: 0082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff00802a4a8: 00503791  add	x0, x0, #0xdd4
0xfffffff00802a4ac: 12000014  b	#0xfffffff00802a4f4
0xfffffff00802a4b0: 0082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff00802a4b4: 00203591  add	x0, x0, #0xd48
0xfffffff00802a4b8: 06000014  b	#0xfffffff00802a4d0
0xfffffff00802a4bc: 0082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff00802a4c0: 00883591  add	x0, x0, #0xd62
0xfffffff00802a4c4: 03000014  b	#0xfffffff00802a4d0
0xfffffff00802a4c8: 0082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff00802a4cc: 00f83591  add	x0, x0, #0xd7e
0xfffffff00802a4d0: 0182ffb0  adrp	x1, #0xfffffff00706b000
0xfffffff00802a4d4: 21a82691  add	x1, x1, #0x9aa
0xfffffff00802a4d8: 224a8352  mov	w2, #0x1a51
0xfffffff00802a4dc: ced41194  bl	#0xfffffff00849f814
0xfffffff00802a4e0: 0082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff00802a4e4: 00703691  add	x0, x0, #0xd9c
0xfffffff00802a4e8: 03000014  b	#0xfffffff00802a4f4
0xfffffff00802a4ec: 0082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff00802a4f0: 00e43691  add	x0, x0, #0xdb9
0xfffffff00802a4f4: 0182ffb0  adrp	x1, #0xfffffff00706b000
0xfffffff00802a4f8: 21a82691  add	x1, x1, #0x9aa
0xfffffff00802a4fc: c25f8352  mov	w2, #0x1afe
0xfffffff00802a500: c5d41194  bl	#0xfffffff00849f814
0xfffffff00802a504: 52cef497  bl	#0xfffffff007d5de4c
0xfffffff00802a508: 1c000000  udf	#0x1c
0xfffffff00802a50c: 1c000000  udf	#0x1c
0xfffffff00802a510: 0c000000  udf	#0xc
0xfffffff00802a514: 0c000000  udf	#0xc
0xfffffff00802a518: 0c000000  udf	#0xc
0xfffffff00802a51c: 3c000000  udf	#0x3c
0xfffffff00802a520: 4c000000  udf	#0x4c
0xfffffff00802a524: 5c000000  udf	#0x5c
0xfffffff00802a528: 6c000000  udf	#0x6c
0xfffffff00802a52c: 2c000000  udf	#0x2c
0xfffffff00802a530: 7c000000  udf	#0x7c
0xfffffff00802a534: 0c000000  udf	#0xc
0xfffffff00802a538: 8c000000  udf	#0x8c
0xfffffff00802a53c: 9c000000  udf	#0x9c
0xfffffff00802a540: 2c000000  udf	#0x2c
0xfffffff00802a544: 0c000000  udf	#0xc
