; Candidate 7435
; ADRP+ADD at VM 0xfffffff00886d440 (fileoff 0x1869440): page=0x1fe97c000 add_imm=0xe80

0xfffffff00886d3c0: 17020034  cbz	w23, #0xfffffff00886d400
0xfffffff00886d3c4: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00886d3c8: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00886d3cc: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00886d3d0: a84dfff0  adrp	x8, #0xfffffff007224000
0xfffffff00886d3d4: 090d2091  add	x9, x8, #0x803
0xfffffff00886d3d8: c84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886d3dc: 08811191  add	x8, x8, #0x460
0xfffffff00886d3e0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886d3e4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00886d3e8: c80b8052  mov	w8, #0x5e
0xfffffff00886d3ec: c04dff90  adrp	x0, #0xfffffff007225000
0xfffffff00886d3f0: 001c3d91  add	x0, x0, #0xf47
0xfffffff00886d3f4: f62300a9  stp	x22, x8, [sp]
0xfffffff00886d3f8: 1a28d597  bl	#0xfffffff007db7460
0xfffffff00886d3fc: 19000014  b	#0xfffffff00886d460
0xfffffff00886d400: 6b1b0194  bl	#0xfffffff0088b41ac
0xfffffff00886d404: f60300aa  mov	x22, x0
0xfffffff00886d408: 00018052  mov	w0, #8
0xfffffff00886d40c: 11390094  bl	#0xfffffff00887b850
0xfffffff00886d410: e80315aa  mov	x8, x21
0xfffffff00886d414: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00886d418: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff00886d41c: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00886d420: a84dfff0  adrp	x8, #0xfffffff007224000
0xfffffff00886d424: 0a0d2091  add	x10, x8, #0x803
0xfffffff00886d428: c84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886d42c: 08811191  add	x8, x8, #0x460
0xfffffff00886d430: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00886d434: c80b8052  mov	w8, #0x5e
0xfffffff00886d438: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886d43c: f60300f9  str	x22, [sp]
0xfffffff00886d440: e04bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00886d444: 00003a91  add	x0, x0, #0xe80
0xfffffff00886d448: c18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00886d44c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886d450: 434ffff0  adrp	x3, #0xfffffff007258000
0xfffffff00886d454: 63500691  add	x3, x3, #0x194
0xfffffff00886d458: 02008052  mov	w2, #0
0xfffffff00886d45c: 3517eb97  bl	#0xfffffff008333130
0xfffffff00886d460: 98128052  mov	w24, #0x94
0xfffffff00886d464: d874a572  movk	w24, #0x2ba6, lsl #16
0xfffffff00886d468: 624240b9  ldr	w2, [x19, #0x40]
0xfffffff00886d46c: 80128052  mov	w0, #0x94
0xfffffff00886d470: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff00886d474: e1018052  mov	w1, #0xf
0xfffffff00886d478: 030080d2  mov	x3, #0
0xfffffff00886d47c: 040080d2  mov	x4, #0
0xfffffff00886d480: 050080d2  mov	x5, #0
0xfffffff00886d484: a042e497  bl	#0xfffffff00817df04
0xfffffff00886d488: c00b8052  mov	w0, #0x5e
0xfffffff00886d48c: e1008052  mov	w1, #7
0xfffffff00886d490: d0380094  bl	#0xfffffff00887b7d0
0xfffffff00886d494: 80070034  cbz	w0, #0xfffffff00886d584
0xfffffff00886d498: c00b8052  mov	w0, #0x5e
0xfffffff00886d49c: df380094  bl	#0xfffffff00887b818
0xfffffff00886d4a0: f70300aa  mov	x23, x0
0xfffffff00886d4a4: 421b0194  bl	#0xfffffff0088b41ac
0xfffffff00886d4a8: f60300aa  mov	x22, x0
0xfffffff00886d4ac: e0008052  mov	w0, #7
0xfffffff00886d4b0: e8380094  bl	#0xfffffff00887b850
0xfffffff00886d4b4: d7020034  cbz	w23, #0xfffffff00886d50c
0xfffffff00886d4b8: 68fe40f9  ldr	x8, [x19, #0x1f8]
0xfffffff00886d4bc: 690241f9  ldr	x9, [x19, #0x200]
