; Candidate 14637
; ADRP+ADD at VM 0xfffffff00987049c (fileoff 0x286c49c): page=0xb23000 add_imm=0xd48

0xfffffff00987041c: 25ecff97  bl	#0xfffffff00986b4b0
0xfffffff009870420: 80000036  tbz	w0, #0, #0xfffffff009870430
0xfffffff009870424: b55a40f9  ldr	x21, [x21, #0xb0]
0xfffffff009870428: 55ffffb5  cbnz	x21, #0xfffffff009870410
0xfffffff00987042c: 02000014  b	#0xfffffff009870434
0xfffffff009870430: b4ca00b9  str	w20, [x21, #0xc8]
0xfffffff009870434: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff009870438: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00987043c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009870440: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff009870444: ff2303d5  autibsp	
0xfffffff009870448: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00987044c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009870454
0xfffffff009870450: 208e38d4  brk	#0xc471
0xfffffff009870454: baf09417  b	#0xfffffff007dac73c
0xfffffff009870458: 5f2403d5  bti	c
0xfffffff00987045c: a6d0a917  b	#0xfffffff0082e46f4
0xfffffff009870460: 5f2403d5  bti	c
0xfffffff009870464: a4d0a917  b	#0xfffffff0082e46f4
0xfffffff009870468: 5f2403d5  bti	c
0xfffffff00987046c: 00008052  mov	w0, #0
0xfffffff009870470: c0035fd6  ret	
0xfffffff009870474: 5f2403d5  bti	c
0xfffffff009870478: 9fd0a917  b	#0xfffffff0082e46f4
0xfffffff00987047c: 5f2403d5  bti	c
0xfffffff009870480: 9dd0a917  b	#0xfffffff0082e46f4
0xfffffff009870484: 5f2403d5  bti	c
0xfffffff009870488: 9bd0a917  b	#0xfffffff0082e46f4
0xfffffff00987048c: 7f2303d5  pacibsp	
0xfffffff009870490: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009870494: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009870498: fd430091  add	x29, sp, #0x10
0xfffffff00987049c: 005900f0  adrp	x0, #0xfffffff00a393000
0xfffffff0098704a0: 00203591  add	x0, x0, #0xd48
0xfffffff0098704a4: c1eafeb0  adrp	x1, #0xfffffff0075c9000
0xfffffff0098704a8: 21c42c91  add	x1, x1, #0xb31
0xfffffff0098704ac: 731fffb0  adrp	x19, #0xfffffff007c5d000
0xfffffff0098704b0: 73ae44f9  ldr	x19, [x19, #0x958]
0xfffffff0098704b4: e20313aa  mov	x2, x19
0xfffffff0098704b8: 030b8052  mov	w3, #0x58
0xfffffff0098704bc: 9fcda997  bl	#0xfffffff0082e3b38
0xfffffff0098704c0: 701ffff0  adrp	x16, #0xfffffff007c5f000
0xfffffff0098704c4: 10623591  add	x16, x16, #0xd58
0xfffffff0098704c8: 10420091  add	x16, x16, #0x10
0xfffffff0098704cc: f10300aa  mov	x17, x0
0xfffffff0098704d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098704d4: 300ac1da  pacda	x16, x17
0xfffffff0098704d8: 100000f9  str	x16, [x0]
0xfffffff0098704dc: 145900f0  adrp	x20, #0xfffffff00a393000
0xfffffff0098704e0: 94c23591  add	x20, x20, #0xd70
0xfffffff0098704e4: c1eafeb0  adrp	x1, #0xfffffff0075c9000
0xfffffff0098704e8: 21a82d91  add	x1, x1, #0xb6a
0xfffffff0098704ec: e00314aa  mov	x0, x20
0xfffffff0098704f0: e20313aa  mov	x2, x19
0xfffffff0098704f4: 031a8052  mov	w3, #0xd0
0xfffffff0098704f8: 90cda997  bl	#0xfffffff0082e3b38
0xfffffff0098704fc: 701ffff0  adrp	x16, #0xfffffff007c5f000
0xfffffff009870500: 10623a91  add	x16, x16, #0xe98
0xfffffff009870504: 10420091  add	x16, x16, #0x10
0xfffffff009870508: f10314aa  mov	x17, x20
0xfffffff00987050c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009870510: 300ac1da  pacda	x16, x17
0xfffffff009870514: 900200f9  str	x16, [x20]
0xfffffff009870518: 005900f0  adrp	x0, #0xfffffff00a393000
