; Candidate 4628
; ADRP+ADD at VM 0xfffffff0087be898 (fileoff 0x17ba898): page=0x1fe973000 add_imm=0xd90

0xfffffff0087be818: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087be81c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0087be820: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0087be824: fd430191  add	x29, sp, #0x50
0xfffffff0087be828: 09a045a9  ldp	x9, x8, [x0, #0x58]
0xfffffff0087be82c: 29c54139  ldrb	w9, [x9, #0x71]
0xfffffff0087be830: 69040034  cbz	w9, #0xfffffff0087be8bc
0xfffffff0087be834: f30300aa  mov	x19, x0
0xfffffff0087be838: 098540b9  ldr	w9, [x8, #0x84]
0xfffffff0087be83c: 69000035  cbnz	w9, #0xfffffff0087be848
0xfffffff0087be840: 098940b9  ldr	w9, [x8, #0x88]
0xfffffff0087be844: c9030034  cbz	w9, #0xfffffff0087be8bc
0xfffffff0087be848: 014dff90  adrp	x1, #0xfffffff00715e000
0xfffffff0087be84c: 211c3b91  add	x1, x1, #0xec7
0xfffffff0087be850: e00313aa  mov	x0, x19
0xfffffff0087be854: 22008052  mov	w2, #1
0xfffffff0087be858: 9af2ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087be85c: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087be860: 00f908b9  str	w0, [x8, #0x8f8]
0xfffffff0087be864: 00080034  cbz	w0, #0xfffffff0087be964
0xfffffff0087be868: 014dff90  adrp	x1, #0xfffffff00715e000
0xfffffff0087be86c: 214c3b91  add	x1, x1, #0xed3
0xfffffff0087be870: e00313aa  mov	x0, x19
0xfffffff0087be874: 02028052  mov	w2, #0x10
0xfffffff0087be878: 92f2ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087be87c: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087be880: 00fd08b9  str	w0, [x8, #0x8fc]
0xfffffff0087be884: 1f404071  cmp	w0, #0x10, lsl #12
0xfffffff0087be888: c30c0054  b.lo	#0xfffffff0087bea20
0xfffffff0087be88c: 084dff90  adrp	x8, #0xfffffff00715e000
0xfffffff0087be890: 08793b91  add	x8, x8, #0xede
0xfffffff0087be894: e80300a9  stp	x8, x0, [sp]
0xfffffff0087be898: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087be89c: 00403691  add	x0, x0, #0xd90
0xfffffff0087be8a0: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087be8a4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087be8a8: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087be8ac: 63542d91  add	x3, x3, #0xb55
0xfffffff0087be8b0: 02008052  mov	w2, #0
0xfffffff0087be8b4: 1fd2ed97  bl	#0xfffffff008333130
0xfffffff0087be8b8: 96000014  b	#0xfffffff0087beb10
0xfffffff0087be8bc: 0a0080d2  mov	x10, #0
0xfffffff0087be8c0: 09e12391  add	x9, x8, #0x8f8
0xfffffff0087be8c4: 3f7d00a9  stp	xzr, xzr, [x9]
0xfffffff0087be8c8: 1f0909b9  str	wzr, [x8, #0x908]
0xfffffff0087be8cc: 0b010a8b  add	x11, x8, x10
0xfffffff0087be8d0: 7f4509b9  str	wzr, [x11, #0x944]
0xfffffff0087be8d4: 7f0d09b9  str	wzr, [x11, #0x90c]
0xfffffff0087be8d8: 4a110091  add	x10, x10, #4
0xfffffff0087be8dc: 5fe100f1  cmp	x10, #0x38
0xfffffff0087be8e0: 61ffff54  b.ne	#0xfffffff0087be8cc
0xfffffff0087be8e4: 0a0080d2  mov	x10, #0
0xfffffff0087be8e8: 3ffd1029  stp	wzr, wzr, [x9, #0x84]
0xfffffff0087be8ec: 1fd509b9  str	wzr, [x8, #0x9d4]
0xfffffff0087be8f0: 0b010a8b  add	x11, x8, x10
0xfffffff0087be8f4: 7f8509b9  str	wzr, [x11, #0x984]
0xfffffff0087be8f8: 7fad09b9  str	wzr, [x11, #0x9ac]
0xfffffff0087be8fc: 4a110091  add	x10, x10, #4
0xfffffff0087be900: 5fa100f1  cmp	x10, #0x28
0xfffffff0087be904: 61ffff54  b.ne	#0xfffffff0087be8f0
0xfffffff0087be908: 0a0080d2  mov	x10, #0
0xfffffff0087be90c: 0b010a8b  add	x11, x8, x10
0xfffffff0087be910: 7fd909b9  str	wzr, [x11, #0x9d8]
0xfffffff0087be914: 7f010ab9  str	wzr, [x11, #0xa00]
