; Candidate 4916
; ADRP+ADD at VM 0xfffffff0087cd0b0 (fileoff 0x17c90b0): page=0x1fea1c000 add_imm=0xe80

0xfffffff0087cd030: 6a1b40b9  ldr	w10, [x27, #0x18]
0xfffffff0087cd034: 4b0b40b9  ldr	w11, [x26, #8]
0xfffffff0087cd038: 291540b9  ldr	w9, [x9, #0x14]
0xfffffff0087cd03c: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff0087cd040: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff0087cd044: a80f8052  mov	w8, #0x7d
0xfffffff0087cd048: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cd04c: f40300f9  str	x20, [sp]
0xfffffff0087cd050: e050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cd054: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cd058: c191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cd05c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cd060: 6353ff90  adrp	x3, #0xfffffff007239000
0xfffffff0087cd064: 63441a91  add	x3, x3, #0x691
0xfffffff0087cd068: 02008052  mov	w2, #0
0xfffffff0087cd06c: 3198ed97  bl	#0xfffffff008333130
0xfffffff0087cd070: d1fcff17  b	#0xfffffff0087cc3b4
0xfffffff0087cd074: 4e9c0394  bl	#0xfffffff0088b41ac
0xfffffff0087cd078: f30300aa  mov	x19, x0
0xfffffff0087cd07c: 80008052  mov	w0, #4
0xfffffff0087cd080: f4b90294  bl	#0xfffffff00887b850
0xfffffff0087cd084: 4a0340b9  ldr	w10, [x26]
0xfffffff0087cd088: 0852ffb0  adrp	x8, #0xfffffff00720e000
0xfffffff0087cd08c: 08691291  add	x8, x8, #0x49a
0xfffffff0087cd090: 09bf8052  mov	w9, #0x5f8
0xfffffff0087cd094: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087cd098: 0852ffd0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cd09c: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cd0a0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087cd0a4: 68008052  mov	w8, #3
0xfffffff0087cd0a8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cd0ac: f30300f9  str	x19, [sp]
0xfffffff0087cd0b0: e050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cd0b4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cd0b8: c191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cd0bc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cd0c0: 6353ff90  adrp	x3, #0xfffffff007239000
0xfffffff0087cd0c4: 63681c91  add	x3, x3, #0x71a
0xfffffff0087cd0c8: 02008052  mov	w2, #0
0xfffffff0087cd0cc: 1998ed97  bl	#0xfffffff008333130
0xfffffff0087cd0d0: 55ffff17  b	#0xfffffff0087cce24
0xfffffff0087cd0d4: 369c0394  bl	#0xfffffff0088b41ac
0xfffffff0087cd0d8: f40300aa  mov	x20, x0
0xfffffff0087cd0dc: e0008052  mov	w0, #7
0xfffffff0087cd0e0: dcb90294  bl	#0xfffffff00887b850
0xfffffff0087cd0e4: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087cd0e8: 490f40b9  ldr	w9, [x26, #0xc]
0xfffffff0087cd0ec: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087cd0f0: a80f8052  mov	w8, #0x7d
0xfffffff0087cd0f4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cd0f8: f40300f9  str	x20, [sp]
0xfffffff0087cd0fc: e050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cd100: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cd104: c191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cd108: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cd10c: 6353ff90  adrp	x3, #0xfffffff007239000
0xfffffff0087cd110: 63bc2391  add	x3, x3, #0x8ef
0xfffffff0087cd114: 02008052  mov	w2, #0
0xfffffff0087cd118: 0698ed97  bl	#0xfffffff008333130
0xfffffff0087cd11c: acfcff17  b	#0xfffffff0087cc3cc
0xfffffff0087cd120: 239c0394  bl	#0xfffffff0088b41ac
0xfffffff0087cd124: f40300aa  mov	x20, x0
0xfffffff0087cd128: e0008052  mov	w0, #7
0xfffffff0087cd12c: c9b90294  bl	#0xfffffff00887b850
