; Candidate 797
; ADRP+ADD at VM 0xfffffff0080acf18 (fileoff 0x10a8f18): page=0x1fefc7000 add_imm=0xe62

0xfffffff0080ace98: a8fdff34  cbz	w8, #0xfffffff0080ace4c
0xfffffff0080ace9c: 03000014  b	#0xfffffff0080acea8
0xfffffff0080acea0: 880340b9  ldr	w8, [x28]
0xfffffff0080acea4: a802d837  tbnz	w8, #0x1b, #0xfffffff0080acef8
0xfffffff0080acea8: e00313aa  mov	x0, x19
0xfffffff0080aceac: 952c0094  bl	#0xfffffff0080b8100
0xfffffff0080aceb0: 14008052  mov	w20, #0
0xfffffff0080aceb4: a80358f8  ldur	x8, [x29, #-0x80]
0xfffffff0080aceb8: c90801f0  adrp	x9, #0xfffffff00a1c7000
0xfffffff0080acebc: 29010091  add	x9, x9, #0
0xfffffff0080acec0: 290140f9  ldr	x9, [x9]
0xfffffff0080acec4: 3f0108eb  cmp	x9, x8
0xfffffff0080acec8: e1040054  b.ne	#0xfffffff0080acf64
0xfffffff0080acecc: e00314aa  mov	x0, x20
0xfffffff0080aced0: ff030791  add	sp, sp, #0x1c0
0xfffffff0080aced4: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0080aced8: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0080acedc: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0080acee0: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0080acee4: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0080acee8: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff0080aceec: e923416d  ldp	d9, d8, [sp, #0x10]
0xfffffff0080acef0: eb2bc86c  ldp	d11, d10, [sp], #0x80
0xfffffff0080acef4: ff0f5fd6  retab	
0xfffffff0080acef8: 08790412  and	w8, w8, #0xf7ffffff
0xfffffff0080acefc: fafcff17  b	#0xfffffff0080ac2e4
0xfffffff0080acf00: 207efff0  adrp	x0, #0xfffffff007073000
0xfffffff0080acf04: 008c3891  add	x0, x0, #0xe23
0xfffffff0080acf08: 217efff0  adrp	x1, #0xfffffff007073000
0xfffffff0080acf0c: 21443591  add	x1, x1, #0xd51
0xfffffff0080acf10: c2ed8052  mov	w2, #0x76e
0xfffffff0080acf14: 40ca0f94  bl	#0xfffffff00849f814
0xfffffff0080acf18: 207efff0  adrp	x0, #0xfffffff007073000
0xfffffff0080acf1c: 00883991  add	x0, x0, #0xe62
0xfffffff0080acf20: 217efff0  adrp	x1, #0xfffffff007073000
0xfffffff0080acf24: 21443591  add	x1, x1, #0xd51
0xfffffff0080acf28: e2f28052  mov	w2, #0x797
0xfffffff0080acf2c: 3aca0f94  bl	#0xfffffff00849f814
0xfffffff0080acf30: 207efff0  adrp	x0, #0xfffffff007073000
0xfffffff0080acf34: 00e83891  add	x0, x0, #0xe3a
0xfffffff0080acf38: 217efff0  adrp	x1, #0xfffffff007073000
0xfffffff0080acf3c: 21443591  add	x1, x1, #0xd51
0xfffffff0080acf40: c2f18052  mov	w2, #0x78e
0xfffffff0080acf44: 34ca0f94  bl	#0xfffffff00849f814
0xfffffff0080acf48: 287efff0  adrp	x8, #0xfffffff007073000
0xfffffff0080acf4c: 08c13a91  add	x8, x8, #0xeb0
0xfffffff0080acf50: c91c8152  mov	w9, #0x8e6
0xfffffff0080acf54: e82700a9  stp	x8, x9, [sp]
0xfffffff0080acf58: 207efff0  adrp	x0, #0xfffffff007073000
0xfffffff0080acf5c: 00f43a91  add	x0, x0, #0xebd
0xfffffff0080acf60: 6b9d0f94  bl	#0xfffffff00849450c
0xfffffff0080acf64: bac3f297  bl	#0xfffffff007d5de4c
0xfffffff0080acf68: a80240b9  ldr	w8, [x21]
0xfffffff0080acf6c: c9038152  mov	w9, #0x81e
0xfffffff0080acf70: 2a7efff0  adrp	x10, #0xfffffff007073000
0xfffffff0080acf74: 4ac13a91  add	x10, x10, #0xeb0
0xfffffff0080acf78: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff0080acf7c: e80300f9  str	x8, [sp]
0xfffffff0080acf80: 207efff0  adrp	x0, #0xfffffff007073000
0xfffffff0080acf84: 00183a91  add	x0, x0, #0xe86
0xfffffff0080acf88: 619d0f94  bl	#0xfffffff00849450c
0xfffffff0080acf8c: a8000000  udf	#0xa8
0xfffffff0080acf90: 2c000000  udf	#0x2c
0xfffffff0080acf94: 2c000000  udf	#0x2c
