; Candidate 14384
; ADRP+ADD at VM 0xfffffff00976f97c (fileoff 0x276b97c): page=0xc1c000 add_imm=0xea8

0xfffffff00976f8fc: a03100b4  cbz	x0, #0xfffffff00976ff30
0xfffffff00976f900: f70300aa  mov	x23, x0
0xfffffff00976f904: 100040f9  ldr	x16, [x0]
0xfffffff00976f908: f10300aa  mov	x17, x0
0xfffffff00976f90c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f910: 301ac1da  autda	x16, x17
0xfffffff00976f914: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff00976f918: e90310aa  mov	x9, x16
0xfffffff00976f91c: f10309aa  mov	x17, x9
0xfffffff00976f920: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff00976f924: 11093fd7  blraa	x8, x17
0xfffffff00976f928: f6f0fed0  adrp	x22, #0xfffffff00758d000
0xfffffff00976f92c: d6c63491  add	x22, x22, #0xd31
0xfffffff00976f930: fbf0fed0  adrp	x27, #0xfffffff00758d000
0xfffffff00976f934: 7bcb3491  add	x27, x27, #0xd32
0xfffffff00976f938: 5af1fed0  adrp	x26, #0xfffffff007599000
0xfffffff00976f93c: 5a6f1591  add	x26, x26, #0x55b
0xfffffff00976f940: 1f100071  cmp	w0, #4
0xfffffff00976f944: 41290054  b.ne	#0xfffffff00976fe6c
0xfffffff00976f948: f00240f9  ldr	x16, [x23]
0xfffffff00976f94c: f10317aa  mov	x17, x23
0xfffffff00976f950: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f954: 301ac1da  autda	x16, x17
0xfffffff00976f958: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff00976f95c: e90310aa  mov	x9, x16
0xfffffff00976f960: e00317aa  mov	x0, x23
0xfffffff00976f964: f10309aa  mov	x17, x9
0xfffffff00976f968: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff00976f96c: 11093fd7  blraa	x8, x17
0xfffffff00976f970: 080040b9  ldr	w8, [x0]
0xfffffff00976f974: fc6000b0  adrp	x28, #0xfffffff00a38c000
0xfffffff00976f978: 884b03b9  str	w8, [x28, #0x348]
0xfffffff00976f97c: e0600090  adrp	x0, #0xfffffff00a38b000
0xfffffff00976f980: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976f984: f5d3ad97  bl	#0xfffffff0082e4958
0xfffffff00976f988: e00313aa  mov	x0, x19
0xfffffff00976f98c: 34e4fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976f990: c00100b5  cbnz	x0, #0xfffffff00976f9c8
0xfffffff00976f994: 700240f9  ldr	x16, [x19]
0xfffffff00976f998: f10313aa  mov	x17, x19
0xfffffff00976f99c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f9a0: 301ac1da  autda	x16, x17
0xfffffff00976f9a4: 113d80d2  mov	x17, #0x1e8
0xfffffff00976f9a8: 1002118b  add	x16, x16, x17
0xfffffff00976f9ac: 080240f9  ldr	x8, [x16]
0xfffffff00976f9b0: e90310aa  mov	x9, x16
0xfffffff00976f9b4: e00313aa  mov	x0, x19
0xfffffff00976f9b8: 010080d2  mov	x1, #0
0xfffffff00976f9bc: f10309aa  mov	x17, x9
0xfffffff00976f9c0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976f9c4: 11093fd7  blraa	x8, x17
0xfffffff00976f9c8: e00313aa  mov	x0, x19
0xfffffff00976f9cc: 24e4fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976f9d0: e00313aa  mov	x0, x19
0xfffffff00976f9d4: 22e4fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976f9d8: c00100b5  cbnz	x0, #0xfffffff00976fa10
0xfffffff00976f9dc: 700240f9  ldr	x16, [x19]
0xfffffff00976f9e0: f10313aa  mov	x17, x19
0xfffffff00976f9e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f9e8: 301ac1da  autda	x16, x17
0xfffffff00976f9ec: 114380d2  mov	x17, #0x218
0xfffffff00976f9f0: 1002118b  add	x16, x16, x17
0xfffffff00976f9f4: 080240f9  ldr	x8, [x16]
0xfffffff00976f9f8: e90310aa  mov	x9, x16
