; Candidate 5402
; ADRP+ADD at VM 0xfffffff0087ee834 (fileoff 0x17ea834): page=0x1fe9fb000 add_imm=0xe80

0xfffffff0087ee7b4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ee7b8: f90300f9  str	x25, [sp]
0xfffffff0087ee7bc: c04ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ee7c0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ee7c4: c190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ee7c8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ee7cc: 02008052  mov	w2, #0
0xfffffff0087ee7d0: 5812ed97  bl	#0xfffffff008333130
0xfffffff0087ee7d4: aeffff17  b	#0xfffffff0087ee68c
0xfffffff0087ee7d8: 75160394  bl	#0xfffffff0088b41ac
0xfffffff0087ee7dc: f80300aa  mov	x24, x0
0xfffffff0087ee7e0: c0008052  mov	w0, #6
0xfffffff0087ee7e4: 1b340294  bl	#0xfffffff00887b850
0xfffffff0087ee7e8: 68024039  ldrb	w8, [x19]
0xfffffff0087ee7ec: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff0087ee7f0: 6a5b40b9  ldr	w10, [x27, #0x58]
0xfffffff0087ee7f4: eb1a40b9  ldr	w11, [x23, #0x18]
0xfffffff0087ee7f8: ec2240b9  ldr	w12, [x23, #0x20]
0xfffffff0087ee7fc: 6d2a40b9  ldr	w13, [x19, #0x28]
0xfffffff0087ee800: e83706a9  stp	x8, x13, [sp, #0x60]
0xfffffff0087ee804: eb3305a9  stp	x11, x12, [sp, #0x50]
0xfffffff0087ee808: ea5f04a9  stp	x10, x23, [sp, #0x40]
0xfffffff0087ee80c: e96f03a9  stp	x9, x27, [sp, #0x30]
0xfffffff0087ee810: 28268052  mov	w8, #0x131
0xfffffff0087ee814: e85302a9  stp	x8, x20, [sp, #0x20]
0xfffffff0087ee818: 2851ffd0  adrp	x8, #0xfffffff007214000
0xfffffff0087ee81c: 08752291  add	x8, x8, #0x89d
0xfffffff0087ee820: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ee824: 080f8052  mov	w8, #0x78
0xfffffff0087ee828: 8352ffb0  adrp	x3, #0xfffffff00723f000
0xfffffff0087ee82c: 63b00891  add	x3, x3, #0x22c
0xfffffff0087ee830: f82300a9  stp	x24, x8, [sp]
0xfffffff0087ee834: c04ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ee838: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ee83c: c190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ee840: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ee844: 02008052  mov	w2, #0
0xfffffff0087ee848: 3a12ed97  bl	#0xfffffff008333130
0xfffffff0087ee84c: 18008052  mov	w24, #0
0xfffffff0087ee850: 8fffff17  b	#0xfffffff0087ee68c
0xfffffff0087ee854: 7f2303d5  pacibsp	
0xfffffff0087ee858: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0087ee85c: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0087ee860: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0087ee864: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0087ee868: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0087ee86c: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0087ee870: fd830291  add	x29, sp, #0xa0
0xfffffff0087ee874: f70304aa  mov	x23, x4
0xfffffff0087ee878: f50303aa  mov	x21, x3
0xfffffff0087ee87c: f60302aa  mov	x22, x2
0xfffffff0087ee880: f40301aa  mov	x20, x1
0xfffffff0087ee884: f30300aa  mov	x19, x0
0xfffffff0087ee888: 000f8052  mov	w0, #0x78
0xfffffff0087ee88c: e1008052  mov	w1, #7
0xfffffff0087ee890: d0330294  bl	#0xfffffff00887b7d0
0xfffffff0087ee894: 80020034  cbz	w0, #0xfffffff0087ee8e4
0xfffffff0087ee898: 000f8052  mov	w0, #0x78
0xfffffff0087ee89c: df330294  bl	#0xfffffff00887b818
0xfffffff0087ee8a0: f90300aa  mov	x25, x0
0xfffffff0087ee8a4: 42160394  bl	#0xfffffff0088b41ac
0xfffffff0087ee8a8: f80300aa  mov	x24, x0
0xfffffff0087ee8ac: e0008052  mov	w0, #7
0xfffffff0087ee8b0: e8330294  bl	#0xfffffff00887b850
