; Candidate 7239
; ADRP+ADD at VM 0xfffffff008861f60 (fileoff 0x185df60): page=0x1fe988000 add_imm=0xe80

0xfffffff008861ee0: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008861ee4: 284effd0  adrp	x8, #0xfffffff007227000
0xfffffff008861ee8: 08811191  add	x8, x8, #0x460
0xfffffff008861eec: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008861ef0: 680c8052  mov	w8, #0x63
0xfffffff008861ef4: a34fffb0  adrp	x3, #0xfffffff007256000
0xfffffff008861ef8: 63900691  add	x3, x3, #0x1a4
0xfffffff008861efc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008861f00: f60300f9  str	x22, [sp]
0xfffffff008861f04: 404cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008861f08: 00003a91  add	x0, x0, #0xe80
0xfffffff008861f0c: 218dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008861f10: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008861f14: 02008052  mov	w2, #0
0xfffffff008861f18: 8644eb97  bl	#0xfffffff008333130
0xfffffff008861f1c: bbfcff17  b	#0xfffffff008861208
0xfffffff008861f20: a3480194  bl	#0xfffffff0088b41ac
0xfffffff008861f24: f60300aa  mov	x22, x0
0xfffffff008861f28: 80008052  mov	w0, #4
0xfffffff008861f2c: 49660094  bl	#0xfffffff00887b850
0xfffffff008861f30: e8031aaa  mov	x8, x26
0xfffffff008861f34: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008861f38: 281c8052  mov	w8, #0xe1
0xfffffff008861f3c: 894dff90  adrp	x9, #0xfffffff007211000
0xfffffff008861f40: 29892c91  add	x9, x9, #0xb22
0xfffffff008861f44: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff008861f48: 284effd0  adrp	x8, #0xfffffff007227000
0xfffffff008861f4c: 08811191  add	x8, x8, #0x460
0xfffffff008861f50: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008861f54: 680c8052  mov	w8, #0x63
0xfffffff008861f58: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008861f5c: f60300f9  str	x22, [sp]
0xfffffff008861f60: 404cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008861f64: 00003a91  add	x0, x0, #0xe80
0xfffffff008861f68: 218dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008861f6c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008861f70: a34fffb0  adrp	x3, #0xfffffff007256000
0xfffffff008861f74: 63a80591  add	x3, x3, #0x16a
0xfffffff008861f78: 02008052  mov	w2, #0
0xfffffff008861f7c: 6d44eb97  bl	#0xfffffff008333130
0xfffffff008861f80: a1fcff17  b	#0xfffffff008861204
0xfffffff008861f84: 600c8052  mov	w0, #0x63
0xfffffff008861f88: 81008052  mov	w1, #4
0xfffffff008861f8c: 11660094  bl	#0xfffffff00887b7d0
0xfffffff008861f90: a093ff34  cbz	w0, #0xfffffff008861204
0xfffffff008861f94: 600c8052  mov	w0, #0x63
0xfffffff008861f98: 20660094  bl	#0xfffffff00887b818
0xfffffff008861f9c: fc0300aa  mov	x28, x0
0xfffffff008861fa0: 83480194  bl	#0xfffffff0088b41ac
0xfffffff008861fa4: f60300aa  mov	x22, x0
0xfffffff008861fa8: 80008052  mov	w0, #4
0xfffffff008861fac: 29660094  bl	#0xfffffff00887b850
0xfffffff008861fb0: 344efff0  adrp	x20, #0xfffffff007228000
0xfffffff008861fb4: 943a1e91  add	x20, x20, #0x78e
0xfffffff008861fb8: 7c0a0034  cbz	w28, #0xfffffff008862104
0xfffffff008861fbc: e8031aaa  mov	x8, x26
0xfffffff008861fc0: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008861fc4: 481d8052  mov	w8, #0xea
0xfffffff008861fc8: 894dff90  adrp	x9, #0xfffffff007211000
0xfffffff008861fcc: 29892c91  add	x9, x9, #0xb22
0xfffffff008861fd0: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff008861fd4: 284effd0  adrp	x8, #0xfffffff007227000
0xfffffff008861fd8: 08811191  add	x8, x8, #0x460
0xfffffff008861fdc: e8a701a9  stp	x8, x9, [sp, #0x18]
