; Candidate 3845
; ADRP+ADD at VM 0xfffffff00876ab00 (fileoff 0x1766b00): page=0x1fe9c7000 add_imm=0xd90

0xfffffff00876aa80: a07ea89b  umull	x0, w21, w8
0xfffffff00876aa84: 99b0ef97  bl	#0xfffffff008356ce8
0xfffffff00876aa88: 602e00f9  str	x0, [x19, #0x58]
0xfffffff00876aa8c: 600700b4  cbz	x0, #0xfffffff00876ab78
0xfffffff00876aa90: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00876aa94: 0805088b  add	x8, x8, x8, lsl #1
0xfffffff00876aa98: 01f17dd3  lsl	x1, x8, #3
0xfffffff00876aa9c: 2988d797  bl	#0xfffffff007d4cb40
0xfffffff00876aaa0: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00876aaa4: 695240b9  ldr	w9, [x19, #0x50]
0xfffffff00876aaa8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00876aaac: 354fff90  adrp	x21, #0xfffffff00714e000
0xfffffff00876aab0: b5ea3f91  add	x21, x21, #0xffa
0xfffffff00876aab4: f50300f9  str	x21, [sp]
0xfffffff00876aab8: 204efff0  adrp	x0, #0xfffffff007131000
0xfffffff00876aabc: 00403691  add	x0, x0, #0xd90
0xfffffff00876aac0: 8194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876aac4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876aac8: c34eff90  adrp	x3, #0xfffffff007142000
0xfffffff00876aacc: 638c3191  add	x3, x3, #0xc63
0xfffffff00876aad0: 02008052  mov	w2, #0
0xfffffff00876aad4: 9721ef97  bl	#0xfffffff008333130
0xfffffff00876aad8: c094fff0  adrp	x0, #0xfffffff007a05000
0xfffffff00876aadc: 00a00191  add	x0, x0, #0x68
0xfffffff00876aae0: 85aeef97  bl	#0xfffffff0083564f4
0xfffffff00876aae4: 600200f9  str	x0, [x19]
0xfffffff00876aae8: 400600b4  cbz	x0, #0xfffffff00876abb0
0xfffffff00876aaec: 61008052  mov	w1, #3
0xfffffff00876aaf0: 88baff97  bl	#0xfffffff008759510
0xfffffff00876aaf4: f40300aa  mov	x20, x0
0xfffffff00876aaf8: 40030034  cbz	w0, #0xfffffff00876ab60
0xfffffff00876aafc: f50300f9  str	x21, [sp]
0xfffffff00876ab00: 204efff0  adrp	x0, #0xfffffff007131000
0xfffffff00876ab04: 00403691  add	x0, x0, #0xd90
0xfffffff00876ab08: 8194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876ab0c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876ab10: c34eff90  adrp	x3, #0xfffffff007142000
0xfffffff00876ab14: 63383391  add	x3, x3, #0xcce
0xfffffff00876ab18: 02008052  mov	w2, #0
0xfffffff00876ab1c: 8521ef97  bl	#0xfffffff008333130
0xfffffff00876ab20: 0e000014  b	#0xfffffff00876ab58
0xfffffff00876ab24: 94578052  mov	w20, #0x2bc
0xfffffff00876ab28: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00876ab2c: 284fff90  adrp	x8, #0xfffffff00714e000
0xfffffff00876ab30: 08e93f91  add	x8, x8, #0xffa
0xfffffff00876ab34: e85300a9  stp	x8, x20, [sp]
0xfffffff00876ab38: 204efff0  adrp	x0, #0xfffffff007131000
0xfffffff00876ab3c: 00403691  add	x0, x0, #0xd90
0xfffffff00876ab40: 8194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876ab44: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876ab48: c34eff90  adrp	x3, #0xfffffff007142000
0xfffffff00876ab4c: 63402f91  add	x3, x3, #0xbd0
0xfffffff00876ab50: 02008052  mov	w2, #0
0xfffffff00876ab54: 7721ef97  bl	#0xfffffff008333130
0xfffffff00876ab58: e00313aa  mov	x0, x19
0xfffffff00876ab5c: 21000094  bl	#0xfffffff00876abe0
0xfffffff00876ab60: e00314aa  mov	x0, x20
0xfffffff00876ab64: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00876ab68: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00876ab6c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00876ab70: ff430191  add	sp, sp, #0x50
0xfffffff00876ab74: ff0f5fd6  retab	
0xfffffff00876ab78: 94578052  mov	w20, #0x2bc
0xfffffff00876ab7c: 1400bc72  movk	w20, #0xe000, lsl #16
