; Candidate 6392
; ADRP+ADD at VM 0xfffffff008829334 (fileoff 0x1825334): page=0x1fe9c0000 add_imm=0xe80

0xfffffff0088292b4: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff0088292b8: 888f8052  mov	w8, #0x47c
0xfffffff0088292bc: c94fff90  adrp	x9, #0xfffffff007221000
0xfffffff0088292c0: 29ed2791  add	x9, x9, #0x9fb
0xfffffff0088292c4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088292c8: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff0088292cc: 08653291  add	x8, x8, #0xc99
0xfffffff0088292d0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088292d4: e80a8052  mov	w8, #0x57
0xfffffff0088292d8: c04fff90  adrp	x0, #0xfffffff007221000
0xfffffff0088292dc: 00e01f91  add	x0, x0, #0x7f8
0xfffffff0088292e0: f62300a9  stp	x22, x8, [sp]
0xfffffff0088292e4: 5f38d697  bl	#0xfffffff007db7460
0xfffffff0088292e8: 56000014  b	#0xfffffff008829440
0xfffffff0088292ec: b02b0294  bl	#0xfffffff0088b41ac
0xfffffff0088292f0: f60300aa  mov	x22, x0
0xfffffff0088292f4: 80008052  mov	w0, #4
0xfffffff0088292f8: 56490194  bl	#0xfffffff00887b850
0xfffffff0088292fc: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008829300: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008829304: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008829308: 0a092991  add	x10, x8, #0xa42
0xfffffff00882930c: 088e8052  mov	w8, #0x470
0xfffffff008829310: c94fff90  adrp	x9, #0xfffffff007221000
0xfffffff008829314: 29ed2791  add	x9, x9, #0x9fb
0xfffffff008829318: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00882931c: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008829320: 08653291  add	x8, x8, #0xc99
0xfffffff008829324: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008829328: e80a8052  mov	w8, #0x57
0xfffffff00882932c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008829330: f60300f9  str	x22, [sp]
0xfffffff008829334: 004eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008829338: 00003a91  add	x0, x0, #0xe80
0xfffffff00882933c: e18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008829340: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008829344: 0351ffd0  adrp	x3, #0xfffffff00724b000
0xfffffff008829348: 63402b91  add	x3, x3, #0xad0
0xfffffff00882934c: 02008052  mov	w2, #0
0xfffffff008829350: 7827ec97  bl	#0xfffffff008333130
0xfffffff008829354: 167d8012  mov	w22, #-0x3e9
0xfffffff008829358: 5d000014  b	#0xfffffff0088294cc
0xfffffff00882935c: 942b0294  bl	#0xfffffff0088b41ac
0xfffffff008829360: f60300aa  mov	x22, x0
0xfffffff008829364: 80008052  mov	w0, #4
0xfffffff008829368: 3a490194  bl	#0xfffffff00887b850
0xfffffff00882936c: e80315aa  mov	x8, x21
0xfffffff008829370: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008829374: f4a304a9  stp	x20, x8, [sp, #0x48]
0xfffffff008829378: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff00882937c: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008829380: 0a851091  add	x10, x8, #0x421
0xfffffff008829384: 688e8052  mov	w8, #0x473
0xfffffff008829388: c94fff90  adrp	x9, #0xfffffff007221000
0xfffffff00882938c: 29ed2791  add	x9, x9, #0x9fb
0xfffffff008829390: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008829394: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008829398: 08653291  add	x8, x8, #0xc99
0xfffffff00882939c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088293a0: e80a8052  mov	w8, #0x57
0xfffffff0088293a4: 0351ffd0  adrp	x3, #0xfffffff00724b000
0xfffffff0088293a8: 63182c91  add	x3, x3, #0xb06
0xfffffff0088293ac: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088293b0: f60300f9  str	x22, [sp]
