; Candidate 1052
; ADRP+ADD at VM 0xfffffff0081c7108 (fileoff 0x11c3108): page=0x1ff7b3000 add_imm=0xe30

0xfffffff0081c7088: 89230091  add	x9, x28, #8
0xfffffff0081c708c: 892b40a9  ldp	x9, x10, [x28]
0xfffffff0081c7090: 0801178b  add	x8, x8, x23
0xfffffff0081c7094: 1f010aeb  cmp	x8, x10
0xfffffff0081c7098: 229157fa  ccmp	x9, x23, #2, ls
0xfffffff0081c709c: 009149fa  ccmp	x8, x9, #0, ls
0xfffffff0081c70a0: 23060054  b.lo	#0xfffffff0081c7164
0xfffffff0081c70a4: e8b64ed3  ubfx	x8, x23, #0xe, #0x20
0xfffffff0081c70a8: 29bf43f9  ldr	x9, [x25, #0x778]
0xfffffff0081c70ac: 08ed7cd3  lsl	x8, x8, #4
0xfffffff0081c70b0: 28696878  ldrh	w8, [x9, x8]
0xfffffff0081c70b4: 08250012  and	w8, w8, #0x3ff
0xfffffff0081c70b8: 1f5d0071  cmp	w8, #0x17
0xfffffff0081c70bc: 41050054  b.ne	#0xfffffff0081c7164
0xfffffff0081c70c0: e0921191  add	x0, x23, #0x464
0xfffffff0081c70c4: e96644b9  ldr	w9, [x23, #0x464]
0xfffffff0081c70c8: e80309aa  mov	x8, x9
0xfffffff0081c70cc: 2a010451  sub	w10, w9, #0x100
0xfffffff0081c70d0: 4b5d1812  and	w11, w10, #0xffffff00
0xfffffff0081c70d4: 4c791b12  and	w12, w10, #0xffffffef
0xfffffff0081c70d8: 7f010471  cmp	w11, #0x100
0xfffffff0081c70dc: 8a018a1a  csel	w10, w12, w10, eq
0xfffffff0081c70e0: 0afca988  casl	w9, w10, [x0]
0xfffffff0081c70e4: 3f01086b  cmp	w9, w8
0xfffffff0081c70e8: 01ffff54  b.ne	#0xfffffff0081c70c8
0xfffffff0081c70ec: 898646b9  ldr	w9, [x20, #0x684]
0xfffffff0081c70f0: 29050051  sub	w9, w9, #1
0xfffffff0081c70f4: 898606b9  str	w9, [x20, #0x684]
0xfffffff0081c70f8: 48002036  tbz	w8, #4, #0xfffffff0081c7100
0xfffffff0081c70fc: ca022036  tbz	w10, #4, #0xfffffff0081c7154
0xfffffff0081c7100: 9f2403d5  bti	j
0xfffffff0081c7104: 740240f9  ldr	x20, [x19]
0xfffffff0081c7108: 80bdfff0  adrp	x0, #0xfffffff00797a000
0xfffffff0081c710c: 00c03891  add	x0, x0, #0xe30
0xfffffff0081c7110: e10313aa  mov	x1, x19
0xfffffff0081c7114: be0af197  bl	#0xfffffff007e09c0c
0xfffffff0081c7118: f30314aa  mov	x19, x20
0xfffffff0081c711c: 34ffffb5  cbnz	x20, #0xfffffff0081c7100
0xfffffff0081c7120: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0081c7124: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0081c7128: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0081c712c: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0081c7130: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0081c7134: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff0081c7138: ff830291  add	sp, sp, #0xa0
0xfffffff0081c713c: ff0f5fd6  retab	
0xfffffff0081c7140: e00317aa  mov	x0, x23
0xfffffff0081c7144: e10314aa  mov	x1, x20
0xfffffff0081c7148: 8795ef97  bl	#0xfffffff007dac764
0xfffffff0081c714c: 93ecffb5  cbnz	x19, #0xfffffff0081c6edc
0xfffffff0081c7150: f4ffff17  b	#0xfffffff0081c7120
0xfffffff0081c7154: 01008052  mov	w1, #0
0xfffffff0081c7158: 02008052  mov	w2, #0
0xfffffff0081c715c: 77f4ef97  bl	#0xfffffff007dc4338
0xfffffff0081c7160: e8ffff17  b	#0xfffffff0081c7100
0xfffffff0081c7164: e0028052  mov	w0, #0x17
0xfffffff0081c7168: e10317aa  mov	x1, x23
0xfffffff0081c716c: 724c0b94  bl	#0xfffffff00849a334
0xfffffff0081c7170: e0028052  mov	w0, #0x17
0xfffffff0081c7174: e10319aa  mov	x1, x25
0xfffffff0081c7178: 6f4c0b94  bl	#0xfffffff00849a334
0xfffffff0081c717c: 2aec8152  mov	w10, #0xf61
0xfffffff0081c7180: e875ff90  adrp	x8, #0xfffffff007083000
0xfffffff0081c7184: 08593c91  add	x8, x8, #0xf16
