; Candidate 1948
; ADRP+ADD at VM 0xfffffff00853d78c (fileoff 0x153978c): page=0x1ff464000 add_imm=0xdc0

0xfffffff00853d70c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff00853d714
0xfffffff00853d710: 208e38d4  brk	#0xc471
0xfffffff00853d714: f10301aa  mov	x17, x1
0xfffffff00853d718: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff00853d71c: 110a1fd7  braa	x16, x17
0xfffffff00853d720: 5f2403d5  bti	c
0xfffffff00853d724: c0ec0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853d728: 00a03691  add	x0, x0, #0xda8
0xfffffff00853d72c: c0035fd6  ret	
0xfffffff00853d730: 7f2303d5  pacibsp	
0xfffffff00853d734: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00853d738: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00853d73c: fd430091  add	x29, sp, #0x10
0xfffffff00853d740: f30300aa  mov	x19, x0
0xfffffff00853d744: 82a7f697  bl	#0xfffffff0082e754c
0xfffffff00853d748: 20a3ff90  adrp	x0, #0xfffffff0079a1000
0xfffffff00853d74c: 00003791  add	x0, x0, #0xdc0
0xfffffff00853d750: e10313aa  mov	x1, x19
0xfffffff00853d754: 02098052  mov	w2, #0x48
0xfffffff00853d758: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00853d75c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00853d760: ff2303d5  autibsp	
0xfffffff00853d764: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00853d768: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00853d770
0xfffffff00853d76c: 208e38d4  brk	#0xc471
0xfffffff00853d770: cba7f617  b	#0xfffffff0082e769c
0xfffffff00853d774: 5f2403d5  bti	c
0xfffffff00853d778: 75a7f617  b	#0xfffffff0082e754c
0xfffffff00853d77c: 7f2303d5  pacibsp	
0xfffffff00853d780: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00853d784: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00853d788: fd430091  add	x29, sp, #0x10
0xfffffff00853d78c: 20a3ff90  adrp	x0, #0xfffffff0079a1000
0xfffffff00853d790: 00003791  add	x0, x0, #0xdc0
0xfffffff00853d794: 01098052  mov	w1, #0x48
0xfffffff00853d798: a8a7f697  bl	#0xfffffff0082e7638
0xfffffff00853d79c: f30300aa  mov	x19, x0
0xfffffff00853d7a0: d4ec0090  adrp	x20, #0xfffffff00a2d5000
0xfffffff00853d7a4: 94a23691  add	x20, x20, #0xda8
0xfffffff00853d7a8: e10314aa  mov	x1, x20
0xfffffff00853d7ac: f0a7f697  bl	#0xfffffff0082e776c
0xfffffff00853d7b0: 10a3ff90  adrp	x16, #0xfffffff00799d000
0xfffffff00853d7b4: 10623691  add	x16, x16, #0xd98
0xfffffff00853d7b8: 10420091  add	x16, x16, #0x10
0xfffffff00853d7bc: f10300aa  mov	x17, x0
0xfffffff00853d7c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853d7c4: 300ac1da  pacda	x16, x17
0xfffffff00853d7c8: 100000f9  str	x16, [x0]
0xfffffff00853d7cc: e00314aa  mov	x0, x20
0xfffffff00853d7d0: 599ef697  bl	#0xfffffff0082e5134
0xfffffff00853d7d4: e00313aa  mov	x0, x19
0xfffffff00853d7d8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00853d7dc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00853d7e0: ff0f5fd6  retab	
0xfffffff00853d7e4: 5f2403d5  bti	c
0xfffffff00853d7e8: c39bf617  b	#0xfffffff0082e46f4
0xfffffff00853d7ec: 5f2403d5  bti	c
0xfffffff00853d7f0: c19bf617  b	#0xfffffff0082e46f4
0xfffffff00853d7f4: 7f2303d5  pacibsp	
0xfffffff00853d7f8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00853d7fc: fd030091  mov	x29, sp
0xfffffff00853d800: 205dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00853d804: 00603791  add	x0, x0, #0xdd8
0xfffffff00853d808: 8caef797  bl	#0xfffffff008329238
