; Candidate 4679
; ADRP+ADD at VM 0xfffffff0087c23f4 (fileoff 0x17be3f4): page=0x1fe96f000 add_imm=0xd90

0xfffffff0087c2374: 577d091b  mul	w23, w10, w9
0xfffffff0087c2378: 084145b9  ldr	w8, [x8, #0x540]
0xfffffff0087c237c: c8080035  cbnz	w8, #0xfffffff0087c2494
0xfffffff0087c2380: ff0a0071  cmp	w23, #2
0xfffffff0087c2384: 8b080054  b.lt	#0xfffffff0087c2494
0xfffffff0087c2388: eb5700b9  str	w11, [sp, #0x54]
0xfffffff0087c238c: e00313aa  mov	x0, x19
0xfffffff0087c2390: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2394: 21dc1d91  add	x1, x1, #0x777
0xfffffff0087c2398: 22008052  mov	w2, #1
0xfffffff0087c239c: c9e3ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c23a0: 9f1a0071  cmp	w20, #6
0xfffffff0087c23a4: a1030054  b.ne	#0xfffffff0087c2418
0xfffffff0087c23a8: 80030034  cbz	w0, #0xfffffff0087c2418
0xfffffff0087c23ac: c8948752  mov	w8, #0x3ca6
0xfffffff0087c23b0: 686a6838  ldrb	w8, [x19, x8]
0xfffffff0087c23b4: 88010036  tbz	w8, #0, #0xfffffff0087c23e4
0xfffffff0087c23b8: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c23bc: 085d1e91  add	x8, x8, #0x797
0xfffffff0087c23c0: e80300f9  str	x8, [sp]
0xfffffff0087c23c4: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c23c8: 00403691  add	x0, x0, #0xd90
0xfffffff0087c23cc: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c23d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c23d4: 02008052  mov	w2, #0
0xfffffff0087c23d8: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c23dc: 63182991  add	x3, x3, #0xa46
0xfffffff0087c23e0: 54c3ed97  bl	#0xfffffff008333130
0xfffffff0087c23e4: 89938252  mov	w9, #0x149c
0xfffffff0087c23e8: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c23ec: 085d1e91  add	x8, x8, #0x797
0xfffffff0087c23f0: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c23f4: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c23f8: 00403691  add	x0, x0, #0xd90
0xfffffff0087c23fc: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2400: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2404: 02008052  mov	w2, #0
0xfffffff0087c2408: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c240c: 63602a91  add	x3, x3, #0xa98
0xfffffff0087c2410: 48c3ed97  bl	#0xfffffff008333130
0xfffffff0087c2414: 65010014  b	#0xfffffff0087c29a8
0xfffffff0087c2418: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087c241c: 094145b9  ldr	w9, [x8, #0x540]
0xfffffff0087c2420: eb5740b9  ldr	w11, [sp, #0x54]
0xfffffff0087c2424: 89030035  cbnz	w9, #0xfffffff0087c2494
0xfffffff0087c2428: 60030034  cbz	w0, #0xfffffff0087c2494
0xfffffff0087c242c: f4031baa  mov	x20, x27
0xfffffff0087c2430: 091943b9  ldr	w9, [x8, #0x318]
0xfffffff0087c2434: 081543b9  ldr	w8, [x8, #0x314]
0xfffffff0087c2438: 0201090b  add	w2, w8, w9
0xfffffff0087c243c: e00313aa  mov	x0, x19
0xfffffff0087c2440: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2444: 21b81e91  add	x1, x1, #0x7ae
0xfffffff0087c2448: e24b00b9  str	w2, [sp, #0x48]
0xfffffff0087c244c: 9de3ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2450: fb0300aa  mov	x27, x0
0xfffffff0087c2454: 8000f837  tbnz	w0, #0x1f, #0xfffffff0087c2464
0xfffffff0087c2458: 686270b9  ldr	w8, [x19, #0x3060]
0xfffffff0087c245c: 7f03086b  cmp	w27, w8
0xfffffff0087c2460: 6d530054  b.le	#0xfffffff0087c2ecc
0xfffffff0087c2464: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c2468: 085d1e91  add	x8, x8, #0x797
0xfffffff0087c246c: e86f00a9  stp	x8, x27, [sp]
0xfffffff0087c2470: 604bfff0  adrp	x0, #0xfffffff007131000
