; Candidate 2415
; ADRP+ADD at VM 0xfffffff008658a14 (fileoff 0x1654a14): page=0x1ff388000 add_imm=0xda8

0xfffffff008658994: 00e40090  adrp	x0, #0xfffffff00a2d8000
0xfffffff008658998: 00803691  add	x0, x0, #0xda0
0xfffffff00865899c: c0035fd6  ret	
0xfffffff0086589a0: 7f2303d5  pacibsp	
0xfffffff0086589a4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086589a8: fd030091  mov	x29, sp
0xfffffff0086589ac: 0156fff0  adrp	x1, #0xfffffff00711b000
0xfffffff0086589b0: 21203591  add	x1, x1, #0xd48
0xfffffff0086589b4: 229cfff0  adrp	x2, #0xfffffff0079df000
0xfffffff0086589b8: 42a845f9  ldr	x2, [x2, #0xb50]
0xfffffff0086589bc: 03388052  mov	w3, #0x1c0
0xfffffff0086589c0: 5e2cf297  bl	#0xfffffff0082e3b38
0xfffffff0086589c4: 509cff90  adrp	x16, #0xfffffff0079e0000
0xfffffff0086589c8: 10423191  add	x16, x16, #0xc50
0xfffffff0086589cc: 10420091  add	x16, x16, #0x10
0xfffffff0086589d0: f10300aa  mov	x17, x0
0xfffffff0086589d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086589d8: 300ac1da  pacda	x16, x17
0xfffffff0086589dc: 100000f9  str	x16, [x0]
0xfffffff0086589e0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086589e4: ff0f5fd6  retab	
0xfffffff0086589e8: 5f2403d5  bti	c
0xfffffff0086589ec: 000080d2  mov	x0, #0
0xfffffff0086589f0: c0035fd6  ret	
0xfffffff0086589f4: 5f2403d5  bti	c
0xfffffff0086589f8: e10300aa  mov	x1, x0
0xfffffff0086589fc: 409cff90  adrp	x0, #0xfffffff0079e0000
0xfffffff008658a00: 00a03691  add	x0, x0, #0xda8
0xfffffff008658a04: 0d3bf217  b	#0xfffffff0082e7638
0xfffffff008658a08: 5f2403d5  bti	c
0xfffffff008658a0c: e20301aa  mov	x2, x1
0xfffffff008658a10: e10300aa  mov	x1, x0
0xfffffff008658a14: 409cff90  adrp	x0, #0xfffffff0079e0000
0xfffffff008658a18: 00a03691  add	x0, x0, #0xda8
0xfffffff008658a1c: 203bf217  b	#0xfffffff0082e769c
0xfffffff008658a20: 7f2303d5  pacibsp	
0xfffffff008658a24: ff0301d1  sub	sp, sp, #0x40
0xfffffff008658a28: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008658a2c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008658a30: fdc30091  add	x29, sp, #0x30
0xfffffff008658a34: f30300aa  mov	x19, x0
0xfffffff008658a38: 289cfff0  adrp	x8, #0xfffffff0079df000
0xfffffff008658a3c: 08c145f9  ldr	x8, [x8, #0xb80]
0xfffffff008658a40: 098d4bf8  ldr	x9, [x8, #0xb8]!
0xfffffff008658a44: f10308aa  mov	x17, x8
0xfffffff008658a48: 5175e8f2  movk	x17, #0x43aa, lsl #48
0xfffffff008658a4c: 31093fd7  blraa	x9, x17
0xfffffff008658a50: 400b0034  cbz	w0, #0xfffffff008658bb8
0xfffffff008658a54: 7f8a00f9  str	xzr, [x19, #0x110]
0xfffffff008658a58: 700240f9  ldr	x16, [x19]
0xfffffff008658a5c: f10313aa  mov	x17, x19
0xfffffff008658a60: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008658a64: 301ac1da  autda	x16, x17
0xfffffff008658a68: 080e4df8  ldr	x8, [x16, #0xd0]!
0xfffffff008658a6c: e90310aa  mov	x9, x16
0xfffffff008658a70: 0156fff0  adrp	x1, #0xfffffff00711b000
0xfffffff008658a74: 21d03691  add	x1, x1, #0xdb4
0xfffffff008658a78: 0256fff0  adrp	x2, #0xfffffff00711b000
0xfffffff008658a7c: 42203791  add	x2, x2, #0xdc8
0xfffffff008658a80: e00313aa  mov	x0, x19
0xfffffff008658a84: f10309aa  mov	x17, x9
0xfffffff008658a88: 9102e3f2  movk	x17, #0x1814, lsl #48
0xfffffff008658a8c: 11093fd7  blraa	x8, x17
0xfffffff008658a90: 08018052  mov	w8, #8
