; Candidate 8433
; ADRP+ADD at VM 0xfffffff0088aa6e0 (fileoff 0x18a66e0): page=0x1fe93f000 add_imm=0xe80

0xfffffff0088aa660: 00d80991  add	x0, x0, #0x276
0xfffffff0088aa664: f62300a9  stp	x22, x8, [sp]
0xfffffff0088aa668: 7e33d497  bl	#0xfffffff007db7460
0xfffffff0088aa66c: 26000014  b	#0xfffffff0088aa704
0xfffffff0088aa670: 75820391  add	x21, x19, #0xe0
0xfffffff0088aa674: e00315aa  mov	x0, x21
0xfffffff0088aa678: f614fe97  bl	#0xfffffff00882fa50
0xfffffff0088aa67c: f60300aa  mov	x22, x0
0xfffffff0088aa680: ac14fe97  bl	#0xfffffff00882f930
0xfffffff0088aa684: 800640ad  ldp	q0, q1, [x20]
0xfffffff0088aa688: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff0088aa68c: c81200f9  str	x8, [x22, #0x20]
0xfffffff0088aa690: c00600ad  stp	q0, q1, [x22]
0xfffffff0088aa694: e00315aa  mov	x0, x21
0xfffffff0088aa698: e10316aa  mov	x1, x22
0xfffffff0088aa69c: 6615fe97  bl	#0xfffffff00882fc34
0xfffffff0088aa6a0: 15008052  mov	w21, #0
0xfffffff0088aa6a4: 18000014  b	#0xfffffff0088aa704
0xfffffff0088aa6a8: c1260094  bl	#0xfffffff0088b41ac
0xfffffff0088aa6ac: f50300aa  mov	x21, x0
0xfffffff0088aa6b0: 80008052  mov	w0, #4
0xfffffff0088aa6b4: 6744ff97  bl	#0xfffffff00887b850
0xfffffff0088aa6b8: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff0088aa6bc: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aa6c0: 08650891  add	x8, x8, #0x219
0xfffffff0088aa6c4: 49448052  mov	w9, #0x222
0xfffffff0088aa6c8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088aa6cc: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aa6d0: 080d0891  add	x8, x8, #0x203
0xfffffff0088aa6d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088aa6d8: c80f8052  mov	w8, #0x7e
0xfffffff0088aa6dc: f52300a9  stp	x21, x8, [sp]
0xfffffff0088aa6e0: e049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088aa6e4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088aa6e8: e18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088aa6ec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088aa6f0: c34dffb0  adrp	x3, #0xfffffff007263000
0xfffffff0088aa6f4: 63600d91  add	x3, x3, #0x358
0xfffffff0088aa6f8: 02008052  mov	w2, #0
0xfffffff0088aa6fc: 8d22ea97  bl	#0xfffffff008333130
0xfffffff0088aa700: 157d8012  mov	w21, #-0x3e9
0xfffffff0088aa704: c00f8052  mov	w0, #0x7e
0xfffffff0088aa708: e1008052  mov	w1, #7
0xfffffff0088aa70c: 3144ff97  bl	#0xfffffff00887b7d0
0xfffffff0088aa710: 20050034  cbz	w0, #0xfffffff0088aa7b4
0xfffffff0088aa714: c00f8052  mov	w0, #0x7e
0xfffffff0088aa718: 4044ff97  bl	#0xfffffff00887b818
0xfffffff0088aa71c: f70300aa  mov	x23, x0
0xfffffff0088aa720: a3260094  bl	#0xfffffff0088b41ac
0xfffffff0088aa724: f60300aa  mov	x22, x0
0xfffffff0088aa728: e0008052  mov	w0, #7
0xfffffff0088aa72c: 4944ff97  bl	#0xfffffff00887b850
0xfffffff0088aa730: b7010034  cbz	w23, #0xfffffff0088aa764
0xfffffff0088aa734: e80315aa  mov	x8, x21
0xfffffff0088aa738: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088aa73c: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aa740: 080d0891  add	x8, x8, #0x203
0xfffffff0088aa744: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088aa748: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088aa74c: c80f8052  mov	w8, #0x7e
0xfffffff0088aa750: 404bffb0  adrp	x0, #0xfffffff007213000
0xfffffff0088aa754: 00b43791  add	x0, x0, #0xded
0xfffffff0088aa758: f62300a9  stp	x22, x8, [sp]
0xfffffff0088aa75c: 4133d497  bl	#0xfffffff007db7460
