; Candidate 11575
; ADRP+ADD at VM 0xfffffff008fb2710 (fileoff 0x1fae710): page=0x1fe47a000 add_imm=0xd7a

0xfffffff008fb2690: 5f010071  cmp	w10, #0
0xfffffff008fb2694: ea038c1a  csel	w10, wzr, w12, eq
0xfffffff008fb2698: 490d60b3  bfi	x9, x10, #0x20, #4
0xfffffff008fb269c: 6a012f0a  bic	w10, w11, w15
0xfffffff008fb26a0: bf010071  cmp	w13, #0
0xfffffff008fb26a4: ea038a1a  csel	w10, wzr, w10, eq
0xfffffff008fb26a8: 490d5cb3  bfi	x9, x10, #0x24, #4
0xfffffff008fb26ac: 6a01300a  bic	w10, w11, w16
0xfffffff008fb26b0: df010071  cmp	w14, #0
0xfffffff008fb26b4: ea038a1a  csel	w10, wzr, w10, eq
0xfffffff008fb26b8: 6c01200a  bic	w12, w11, w0
0xfffffff008fb26bc: 3f020071  cmp	w17, #0
0xfffffff008fb26c0: ec038c1a  csel	w12, wzr, w12, eq
0xfffffff008fb26c4: 6b01210a  bic	w11, w11, w1
0xfffffff008fb26c8: 1f010071  cmp	w8, #0
0xfffffff008fb26cc: e8038b1a  csel	w8, wzr, w11, eq
0xfffffff008fb26d0: 490d58b3  bfi	x9, x10, #0x28, #4
0xfffffff008fb26d4: 29b10caa  orr	x9, x9, x12, lsl #44
0xfffffff008fb26d8: 28c108aa  orr	x8, x9, x8, lsl #48
0xfffffff008fb26dc: 170143b2  orr	x23, x8, #0x2000000000000000
0xfffffff008fb26e0: 88fa40b9  ldr	w8, [x20, #0xf8]
0xfffffff008fb26e4: c8035836  tbz	w8, #0xb, #0xfffffff008fb275c
0xfffffff008fb26e8: 89fa40f9  ldr	x9, [x20, #0x1f0]
0xfffffff008fb26ec: 3f0114eb  cmp	x9, x20
0xfffffff008fb26f0: 60020054  b.eq	#0xfffffff008fb273c
0xfffffff008fb26f4: 68017836  tbz	w8, #0xf, #0xfffffff008fb2720
0xfffffff008fb26f8: e96dbc97  bl	#0xfffffff007ecde9c
0xfffffff008fb26fc: 20010034  cbz	w0, #0xfffffff008fb2720
0xfffffff008fb2700: f65f01a9  stp	x22, x23, [sp, #0x10]
0xfffffff008fb2704: e80313aa  mov	x8, x19
0xfffffff008fb2708: e903152a  mov	w9, w21
0xfffffff008fb270c: e82700a9  stp	x8, x9, [sp]
0xfffffff008fb2710: c023ffd0  adrp	x0, #0xfffffff00742c000
0xfffffff008fb2714: 00e83591  add	x0, x0, #0xd7a
0xfffffff008fb2718: 4292ce97  bl	#0xfffffff008357020
0xfffffff008fb271c: 10000014  b	#0xfffffff008fb275c
0xfffffff008fb2720: f65f01a9  stp	x22, x23, [sp, #0x10]
0xfffffff008fb2724: e803152a  mov	w8, w21
0xfffffff008fb2728: f32300a9  stp	x19, x8, [sp]
0xfffffff008fb272c: c023ffd0  adrp	x0, #0xfffffff00742c000
0xfffffff008fb2730: 00e83591  add	x0, x0, #0xd7a
0xfffffff008fb2734: 87f3d297  bl	#0xfffffff00846f550
0xfffffff008fb2738: 09000014  b	#0xfffffff008fb275c
0xfffffff008fb273c: f65f01a9  stp	x22, x23, [sp, #0x10]
0xfffffff008fb2740: e80313aa  mov	x8, x19
0xfffffff008fb2744: e903152a  mov	w9, w21
0xfffffff008fb2748: e82700a9  stp	x8, x9, [sp]
0xfffffff008fb274c: c123ffd0  adrp	x1, #0xfffffff00742c000
0xfffffff008fb2750: 21e83591  add	x1, x1, #0xd7a
0xfffffff008fb2754: e00314aa  mov	x0, x20
0xfffffff008fb2758: 0660ff97  bl	#0xfffffff008f8a770
0xfffffff008fb275c: 88724739  ldrb	w8, [x20, #0x1dc]
0xfffffff008fb2760: 1f010071  cmp	w8, #0
0xfffffff008fb2764: e403931a  csel	w4, wzr, w19, eq
0xfffffff008fb2768: 002f49f9  ldr	x0, [x24, #0x1258]
0xfffffff008fb276c: 010340f9  ldr	x1, [x24]
0xfffffff008fb2770: 280440b9  ldr	w8, [x1, #4]
0xfffffff008fb2774: 0201190b  add	w2, w8, w25
0xfffffff008fb2778: e30317aa  mov	x3, x23
0xfffffff008fb277c: 2a580094  bl	#0xfffffff008fc8824
0xfffffff008fb2780: 17008052  mov	w23, #0
0xfffffff008fb2784: e00317aa  mov	x0, x23
0xfffffff008fb2788: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008fb278c: f44f45a9  ldp	x20, x19, [sp, #0x50]
