; Candidate 6999
; ADRP+ADD at VM 0xfffffff00884f7e4 (fileoff 0x184b7e4): page=0x1fe99a000 add_imm=0xe80

0xfffffff00884f764: 37020034  cbz	w23, #0xfffffff00884f7a8
0xfffffff00884f768: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00884f76c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00884f770: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00884f774: a84efff0  adrp	x8, #0xfffffff007226000
0xfffffff00884f778: 09b11591  add	x9, x8, #0x56c
0xfffffff00884f77c: c84eff90  adrp	x8, #0xfffffff007227000
0xfffffff00884f780: 08811191  add	x8, x8, #0x460
0xfffffff00884f784: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884f788: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00884f78c: e80d8052  mov	w8, #0x6f
0xfffffff00884f790: 004efff0  adrp	x0, #0xfffffff007212000
0xfffffff00884f794: 000c2191  add	x0, x0, #0x843
0xfffffff00884f798: f62300a9  stp	x22, x8, [sp]
0xfffffff00884f79c: 319fd597  bl	#0xfffffff007db7460
0xfffffff00884f7a0: 540300b5  cbnz	x20, #0xfffffff00884f808
0xfffffff00884f7a4: 44000014  b	#0xfffffff00884f8b4
0xfffffff00884f7a8: 81920194  bl	#0xfffffff0088b41ac
0xfffffff00884f7ac: f60300aa  mov	x22, x0
0xfffffff00884f7b0: e0008052  mov	w0, #7
0xfffffff00884f7b4: 27b00094  bl	#0xfffffff00887b850
0xfffffff00884f7b8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00884f7bc: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00884f7c0: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00884f7c4: a84efff0  adrp	x8, #0xfffffff007226000
0xfffffff00884f7c8: 09b11591  add	x9, x8, #0x56c
0xfffffff00884f7cc: c84eff90  adrp	x8, #0xfffffff007227000
0xfffffff00884f7d0: 08811191  add	x8, x8, #0x460
0xfffffff00884f7d4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884f7d8: e80d8052  mov	w8, #0x6f
0xfffffff00884f7dc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884f7e0: f60300f9  str	x22, [sp]
0xfffffff00884f7e4: c04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884f7e8: 00003a91  add	x0, x0, #0xe80
0xfffffff00884f7ec: c18dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00884f7f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884f7f4: 0350fff0  adrp	x3, #0xfffffff007252000
0xfffffff00884f7f8: 63082091  add	x3, x3, #0x802
0xfffffff00884f7fc: 02008052  mov	w2, #0
0xfffffff00884f800: 4c8eeb97  bl	#0xfffffff008333130
0xfffffff00884f804: 940500b4  cbz	x20, #0xfffffff00884f8b4
0xfffffff00884f808: 750500b4  cbz	x21, #0xfffffff00884f8b4
0xfffffff00884f80c: 9a0a40f9  ldr	x26, [x20, #0x10]
0xfffffff00884f810: 88224239  ldrb	w8, [x20, #0x88]
0xfffffff00884f814: 091a8052  mov	w9, #0xd0
0xfffffff00884f818: 1f01096a  tst	w8, w9
0xfffffff00884f81c: a0080054  b.eq	#0xfffffff00884f930
0xfffffff00884f820: e00d8052  mov	w0, #0x6f
0xfffffff00884f824: a1008052  mov	w1, #5
0xfffffff00884f828: eaaf0094  bl	#0xfffffff00887b7d0
0xfffffff00884f82c: e0160034  cbz	w0, #0xfffffff00884fb08
0xfffffff00884f830: e00d8052  mov	w0, #0x6f
0xfffffff00884f834: f9af0094  bl	#0xfffffff00887b818
0xfffffff00884f838: f70300aa  mov	x23, x0
0xfffffff00884f83c: 5c920194  bl	#0xfffffff0088b41ac
0xfffffff00884f840: f60300aa  mov	x22, x0
0xfffffff00884f844: a0008052  mov	w0, #5
0xfffffff00884f848: 02b00094  bl	#0xfffffff00887b850
0xfffffff00884f84c: d7110034  cbz	w23, #0xfffffff00884fa84
0xfffffff00884f850: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00884f854: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff00884f858: 4a5b40b9  ldr	w10, [x26, #0x58]
0xfffffff00884f85c: 8b8a40b9  ldr	w11, [x20, #0x88]
0xfffffff00884f860: 0c1a8052  mov	w12, #0xd0
