; Candidate 8597
; ADRP+ADD at VM 0xfffffff0088b5dcc (fileoff 0x18b1dcc): page=0x1fe934000 add_imm=0xe80

0xfffffff0088b5d4c: 0b4cff90  adrp	x11, #0xfffffff007235000
0xfffffff0088b5d50: 6bbd0f91  add	x11, x11, #0x3ef
0xfffffff0088b5d54: 0c4cff90  adrp	x12, #0xfffffff007235000
0xfffffff0088b5d58: 8c4d3a91  add	x12, x12, #0xe93
0xfffffff0088b5d5c: eb2b02a9  stp	x11, x10, [sp, #0x20]
0xfffffff0088b5d60: e03301a9  stp	x0, x12, [sp, #0x10]
0xfffffff0088b5d64: 8a088052  mov	w10, #0x44
0xfffffff0088b5d68: f52b00a9  stp	x21, x10, [sp]
0xfffffff0088b5d6c: 004cff90  adrp	x0, #0xfffffff007235000
0xfffffff0088b5d70: 00441091  add	x0, x0, #0x411
0xfffffff0088b5d74: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088b5d78: ba05d497  bl	#0xfffffff007db7460
0xfffffff0088b5d7c: 15008052  mov	w21, #0
0xfffffff0088b5d80: 36000014  b	#0xfffffff0088b5e58
0xfffffff0088b5d84: 0af9ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b5d88: f50300aa  mov	x21, x0
0xfffffff0088b5d8c: 80008052  mov	w0, #4
0xfffffff0088b5d90: b016ff97  bl	#0xfffffff00887b850
0xfffffff0088b5d94: 88b644b9  ldr	w8, [x20, #0x4b4]
0xfffffff0088b5d98: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff0088b5d9c: 094cff90  adrp	x9, #0xfffffff007235000
0xfffffff0088b5da0: 2ae10f91  add	x10, x9, #0x3f8
0xfffffff0088b5da4: 88168052  mov	w8, #0xb4
0xfffffff0088b5da8: 094cff90  adrp	x9, #0xfffffff007235000
0xfffffff0088b5dac: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088b5db0: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088b5db4: 084cff90  adrp	x8, #0xfffffff007235000
0xfffffff0088b5db8: 084d3a91  add	x8, x8, #0xe93
0xfffffff0088b5dbc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088b5dc0: 88088052  mov	w8, #0x44
0xfffffff0088b5dc4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b5dc8: f50300f9  str	x21, [sp]
0xfffffff0088b5dcc: a049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b5dd0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b5dd4: 818afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b5dd8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b5ddc: 834dff90  adrp	x3, #0xfffffff007265000
0xfffffff0088b5de0: 63280391  add	x3, x3, #0xca
0xfffffff0088b5de4: 02008052  mov	w2, #0
0xfffffff0088b5de8: d2f4e997  bl	#0xfffffff008333130
0xfffffff0088b5dec: 157d8012  mov	w21, #-0x3e9
0xfffffff0088b5df0: 80088052  mov	w0, #0x44
0xfffffff0088b5df4: 81008052  mov	w1, #4
0xfffffff0088b5df8: 7616ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b5dfc: c0020034  cbz	w0, #0xfffffff0088b5e54
0xfffffff0088b5e00: 80088052  mov	w0, #0x44
0xfffffff0088b5e04: 8516ff97  bl	#0xfffffff00887b818
0xfffffff0088b5e08: f60300aa  mov	x22, x0
0xfffffff0088b5e0c: e8f8ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b5e10: f40300aa  mov	x20, x0
0xfffffff0088b5e14: 80008052  mov	w0, #4
0xfffffff0088b5e18: 8e16ff97  bl	#0xfffffff00887b850
0xfffffff0088b5e1c: f6030034  cbz	w22, #0xfffffff0088b5e98
0xfffffff0088b5e20: 08198052  mov	w8, #0xc8
0xfffffff0088b5e24: 094cff90  adrp	x9, #0xfffffff007235000
0xfffffff0088b5e28: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088b5e2c: e8d702a9  stp	x8, x21, [sp, #0x28]
0xfffffff0088b5e30: 084cff90  adrp	x8, #0xfffffff007235000
0xfffffff0088b5e34: 084d3a91  add	x8, x8, #0xe93
0xfffffff0088b5e38: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088b5e3c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088b5e40: 88088052  mov	w8, #0x44
0xfffffff0088b5e44: 004cff90  adrp	x0, #0xfffffff007235000
0xfffffff0088b5e48: 003c1191  add	x0, x0, #0x44f
