; Candidate 7929
; ADRP+ADD at VM 0xfffffff008887e18 (fileoff 0x1883e18): page=0x1fe962000 add_imm=0xe80

0xfffffff008887d98: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008887d9c: 11093fd7  blraa	x8, x17
0xfffffff008887da0: e00313aa  mov	x0, x19
0xfffffff008887da4: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff008887da8: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff008887dac: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff008887db0: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff008887db4: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff008887db8: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff008887dbc: ff830391  add	sp, sp, #0xe0
0xfffffff008887dc0: ff0f5fd6  retab	
0xfffffff008887dc4: fab00094  bl	#0xfffffff0088b41ac
0xfffffff008887dc8: f40300aa  mov	x20, x0
0xfffffff008887dcc: 80008052  mov	w0, #4
0xfffffff008887dd0: a0ceff97  bl	#0xfffffff00887b850
0xfffffff008887dd4: e80313aa  mov	x8, x19
0xfffffff008887dd8: f92305a9  stp	x25, x8, [sp, #0x50]
0xfffffff008887ddc: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff008887de0: 484cffb0  adrp	x8, #0xfffffff007210000
0xfffffff008887de4: 08b92791  add	x8, x8, #0x9ee
0xfffffff008887de8: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff008887dec: e80e8052  mov	w8, #0x77
0xfffffff008887df0: 294dfff0  adrp	x9, #0xfffffff00722e000
0xfffffff008887df4: 29550391  add	x9, x9, #0xd5
0xfffffff008887df8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008887dfc: 484dff90  adrp	x8, #0xfffffff00722f000
0xfffffff008887e00: 087d0391  add	x8, x8, #0xdf
0xfffffff008887e04: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008887e08: 88098052  mov	w8, #0x4c
0xfffffff008887e0c: a34effd0  adrp	x3, #0xfffffff00725d000
0xfffffff008887e10: 63c00491  add	x3, x3, #0x130
0xfffffff008887e14: f42300a9  stp	x20, x8, [sp]
0xfffffff008887e18: 004bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008887e1c: 00003a91  add	x0, x0, #0xe80
0xfffffff008887e20: 018cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008887e24: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008887e28: 02008052  mov	w2, #0
0xfffffff008887e2c: c1acea97  bl	#0xfffffff008333130
0xfffffff008887e30: d0ffff17  b	#0xfffffff008887d70
0xfffffff008887e34: 80098052  mov	w0, #0x4c
0xfffffff008887e38: 81008052  mov	w1, #4
0xfffffff008887e3c: 65ceff97  bl	#0xfffffff00887b7d0
0xfffffff008887e40: 40030034  cbz	w0, #0xfffffff008887ea8
0xfffffff008887e44: 80098052  mov	w0, #0x4c
0xfffffff008887e48: 74ceff97  bl	#0xfffffff00887b818
0xfffffff008887e4c: f50300aa  mov	x21, x0
0xfffffff008887e50: d7b00094  bl	#0xfffffff0088b41ac
0xfffffff008887e54: f30300aa  mov	x19, x0
0xfffffff008887e58: 80008052  mov	w0, #4
0xfffffff008887e5c: 7dceff97  bl	#0xfffffff00887b850
0xfffffff008887e60: b5020034  cbz	w21, #0xfffffff008887eb4
0xfffffff008887e64: 484cffd0  adrp	x8, #0xfffffff007211000
0xfffffff008887e68: 0a9d2c91  add	x10, x8, #0xb27
0xfffffff008887e6c: f4db03a9  stp	x20, x22, [sp, #0x38]
0xfffffff008887e70: 680f8052  mov	w8, #0x7b
0xfffffff008887e74: 294dfff0  adrp	x9, #0xfffffff00722e000
0xfffffff008887e78: 29550391  add	x9, x9, #0xd5
0xfffffff008887e7c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008887e80: 484dff90  adrp	x8, #0xfffffff00722f000
0xfffffff008887e84: 087d0391  add	x8, x8, #0xdf
0xfffffff008887e88: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008887e8c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008887e90: 88098052  mov	w8, #0x4c
0xfffffff008887e94: 204dfff0  adrp	x0, #0xfffffff00722e000
