; Candidate 12114
; ADRP+ADD at VM 0xfffffff00900fddc (fileoff 0x200bddc): page=0x12fe000 add_imm=0xd28

0xfffffff00900fd5c: 1f200239  strb	wzr, [x0, #0x88]
0xfffffff00900fd60: 1f8c00b9  str	wzr, [x0, #0x8c]
0xfffffff00900fd64: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00900fd68: ff0f5fd6  retab	
0xfffffff00900fd6c: 5f2403d5  bti	c
0xfffffff00900fd70: f75dcb17  b	#0xfffffff0082e754c
0xfffffff00900fd74: 5f2403d5  bti	c
0xfffffff00900fd78: f55dcb17  b	#0xfffffff0082e754c
0xfffffff00900fd7c: 7f2303d5  pacibsp	
0xfffffff00900fd80: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00900fd84: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00900fd88: fd430091  add	x29, sp, #0x10
0xfffffff00900fd8c: f30300aa  mov	x19, x0
0xfffffff00900fd90: ef5dcb97  bl	#0xfffffff0082e754c
0xfffffff00900fd94: 6059ffb0  adrp	x0, #0xfffffff007b3c000
0xfffffff00900fd98: 00003291  add	x0, x0, #0xc80
0xfffffff00900fd9c: e10313aa  mov	x1, x19
0xfffffff00900fda0: 02128052  mov	w2, #0x90
0xfffffff00900fda4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00900fda8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00900fdac: ff2303d5  autibsp	
0xfffffff00900fdb0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00900fdb4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00900fdbc
0xfffffff00900fdb8: 208e38d4  brk	#0xc471
0xfffffff00900fdbc: 385ecb17  b	#0xfffffff0082e769c
0xfffffff00900fdc0: 5f2403d5  bti	c
0xfffffff00900fdc4: e20301aa  mov	x2, x1
0xfffffff00900fdc8: e10300aa  mov	x1, x0
0xfffffff00900fdcc: 6059ffb0  adrp	x0, #0xfffffff007b3c000
0xfffffff00900fdd0: 00003291  add	x0, x0, #0xc80
0xfffffff00900fdd4: 325ecb17  b	#0xfffffff0082e769c
0xfffffff00900fdd8: 5f2403d5  bti	c
0xfffffff00900fddc: e09700d0  adrp	x0, #0xfffffff00a30d000
0xfffffff00900fde0: 00a03491  add	x0, x0, #0xd28
0xfffffff00900fde4: c0035fd6  ret	
0xfffffff00900fde8: 7f2303d5  pacibsp	
0xfffffff00900fdec: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00900fdf0: fd030091  mov	x29, sp
0xfffffff00900fdf4: 8121ffd0  adrp	x1, #0xfffffff007441000
0xfffffff00900fdf8: 21e40391  add	x1, x1, #0xf9
0xfffffff00900fdfc: 2259fff0  adrp	x2, #0xfffffff007b36000
0xfffffff00900fe00: 42a844f9  ldr	x2, [x2, #0x950]
0xfffffff00900fe04: 03128052  mov	w3, #0x90
0xfffffff00900fe08: 4c4fcb97  bl	#0xfffffff0082e3b38
0xfffffff00900fe0c: 7059ff90  adrp	x16, #0xfffffff007b3b000
0xfffffff00900fe10: 10421b91  add	x16, x16, #0x6d0
0xfffffff00900fe14: 10420091  add	x16, x16, #0x10
0xfffffff00900fe18: f10300aa  mov	x17, x0
0xfffffff00900fe1c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00900fe20: 300ac1da  pacda	x16, x17
0xfffffff00900fe24: 100000f9  str	x16, [x0]
0xfffffff00900fe28: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00900fe2c: ff0f5fd6  retab	
0xfffffff00900fe30: 7f2303d5  pacibsp	
0xfffffff00900fe34: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00900fe38: fd030091  mov	x29, sp
0xfffffff00900fe3c: 6059ffb0  adrp	x0, #0xfffffff007b3c000
0xfffffff00900fe40: 00003291  add	x0, x0, #0xc80
0xfffffff00900fe44: 01128052  mov	w1, #0x90
0xfffffff00900fe48: fc5dcb97  bl	#0xfffffff0082e7638
0xfffffff00900fe4c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00900fe50: ff2303d5  autibsp	
0xfffffff00900fe54: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00900fe58: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00900fe60
