; Candidate 1947
; ADRP+ADD at VM 0xfffffff00853d748 (fileoff 0x1539748): page=0x1ff464000 add_imm=0xdc0

0xfffffff00853d6c8: e90310aa  mov	x9, x16
0xfffffff00853d6cc: f10309aa  mov	x17, x9
0xfffffff00853d6d0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00853d6d4: 11093fd7  blraa	x8, x17
0xfffffff00853d6d8: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff00853d6dc: 601e40f9  ldr	x0, [x19, #0x38]
0xfffffff00853d6e0: 400000b4  cbz	x0, #0xfffffff00853d6e8
0xfffffff00853d6e4: f267f897  bl	#0xfffffff0083576ac
0xfffffff00853d6e8: c1a2ff90  adrp	x1, #0xfffffff007995000
0xfffffff00853d6ec: 21a845f9  ldr	x1, [x1, #0xb50]
0xfffffff00853d6f0: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff00853d6f4: e00313aa  mov	x0, x19
0xfffffff00853d6f8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00853d6fc: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00853d700: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00853d704: ff2303d5  autibsp	
0xfffffff00853d708: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff00853d70c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff00853d714
0xfffffff00853d710: 208e38d4  brk	#0xc471
0xfffffff00853d714: f10301aa  mov	x17, x1
0xfffffff00853d718: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff00853d71c: 110a1fd7  braa	x16, x17
0xfffffff00853d720: 5f2403d5  bti	c
0xfffffff00853d724: c0ec0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853d728: 00a03691  add	x0, x0, #0xda8
0xfffffff00853d72c: c0035fd6  ret	
0xfffffff00853d730: 7f2303d5  pacibsp	
0xfffffff00853d734: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00853d738: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00853d73c: fd430091  add	x29, sp, #0x10
0xfffffff00853d740: f30300aa  mov	x19, x0
0xfffffff00853d744: 82a7f697  bl	#0xfffffff0082e754c
0xfffffff00853d748: 20a3ff90  adrp	x0, #0xfffffff0079a1000
0xfffffff00853d74c: 00003791  add	x0, x0, #0xdc0
0xfffffff00853d750: e10313aa  mov	x1, x19
0xfffffff00853d754: 02098052  mov	w2, #0x48
0xfffffff00853d758: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00853d75c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00853d760: ff2303d5  autibsp	
0xfffffff00853d764: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00853d768: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00853d770
0xfffffff00853d76c: 208e38d4  brk	#0xc471
0xfffffff00853d770: cba7f617  b	#0xfffffff0082e769c
0xfffffff00853d774: 5f2403d5  bti	c
0xfffffff00853d778: 75a7f617  b	#0xfffffff0082e754c
0xfffffff00853d77c: 7f2303d5  pacibsp	
0xfffffff00853d780: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00853d784: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00853d788: fd430091  add	x29, sp, #0x10
0xfffffff00853d78c: 20a3ff90  adrp	x0, #0xfffffff0079a1000
0xfffffff00853d790: 00003791  add	x0, x0, #0xdc0
0xfffffff00853d794: 01098052  mov	w1, #0x48
0xfffffff00853d798: a8a7f697  bl	#0xfffffff0082e7638
0xfffffff00853d79c: f30300aa  mov	x19, x0
0xfffffff00853d7a0: d4ec0090  adrp	x20, #0xfffffff00a2d5000
0xfffffff00853d7a4: 94a23691  add	x20, x20, #0xda8
0xfffffff00853d7a8: e10314aa  mov	x1, x20
0xfffffff00853d7ac: f0a7f697  bl	#0xfffffff0082e776c
0xfffffff00853d7b0: 10a3ff90  adrp	x16, #0xfffffff00799d000
0xfffffff00853d7b4: 10623691  add	x16, x16, #0xd98
0xfffffff00853d7b8: 10420091  add	x16, x16, #0x10
0xfffffff00853d7bc: f10300aa  mov	x17, x0
0xfffffff00853d7c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853d7c4: 300ac1da  pacda	x16, x17
