; Candidate 6333
; ADRP+ADD at VM 0xfffffff00882510c (fileoff 0x182110c): page=0x1fe9c4000 add_imm=0xe80

0xfffffff00882508c: f80300aa  mov	x24, x0
0xfffffff008825090: 791240b9  ldr	w25, [x19, #0x10]
0xfffffff008825094: 760700b4  cbz	x22, #0xfffffff008825180
0xfffffff008825098: d00240f9  ldr	x16, [x22]
0xfffffff00882509c: f10316aa  mov	x17, x22
0xfffffff0088250a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088250a4: 301ac1da  autda	x16, x17
0xfffffff0088250a8: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0088250ac: e90310aa  mov	x9, x16
0xfffffff0088250b0: e00316aa  mov	x0, x22
0xfffffff0088250b4: f10309aa  mov	x17, x9
0xfffffff0088250b8: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0088250bc: 11093fd7  blraa	x8, x17
0xfffffff0088250c0: 31000014  b	#0xfffffff008825184
0xfffffff0088250c4: 3a3c0294  bl	#0xfffffff0088b41ac
0xfffffff0088250c8: f50300aa  mov	x21, x0
0xfffffff0088250cc: 80008052  mov	w0, #4
0xfffffff0088250d0: e0590194  bl	#0xfffffff00887b850
0xfffffff0088250d4: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088250d8: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff0088250dc: e84fff90  adrp	x8, #0xfffffff007221000
0xfffffff0088250e0: 083d0391  add	x8, x8, #0xcf
0xfffffff0088250e4: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088250e8: 08478052  mov	w8, #0x238
0xfffffff0088250ec: e94fff90  adrp	x9, #0xfffffff007221000
0xfffffff0088250f0: 298d0091  add	x9, x9, #0x23
0xfffffff0088250f4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088250f8: e84fff90  adrp	x8, #0xfffffff007221000
0xfffffff0088250fc: 08653291  add	x8, x8, #0xc99
0xfffffff008825100: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008825104: e80a8052  mov	w8, #0x57
0xfffffff008825108: f52300a9  stp	x21, x8, [sp]
0xfffffff00882510c: 204eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008825110: 00003a91  add	x0, x0, #0xe80
0xfffffff008825114: 018ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008825118: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882511c: 2351ffb0  adrp	x3, #0xfffffff00724a000
0xfffffff008825120: 630c3f91  add	x3, x3, #0xfc3
0xfffffff008825124: 02008052  mov	w2, #0
0xfffffff008825128: 0238ec97  bl	#0xfffffff008333130
0xfffffff00882512c: f67c8012  mov	w22, #-0x3e8
0xfffffff008825130: 36000014  b	#0xfffffff008825208
0xfffffff008825134: 00008052  mov	w0, #0
0xfffffff008825138: f68304a9  stp	x22, x0, [sp, #0x48]
0xfffffff00882513c: e84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008825140: 0ad50491  add	x10, x8, #0x135
0xfffffff008825144: f3e703a9  stp	x19, x25, [sp, #0x38]
0xfffffff008825148: 08488052  mov	w8, #0x240
0xfffffff00882514c: e94fff90  adrp	x9, #0xfffffff007221000
0xfffffff008825150: 298d0091  add	x9, x9, #0x23
0xfffffff008825154: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008825158: e84fff90  adrp	x8, #0xfffffff007221000
0xfffffff00882515c: 08653291  add	x8, x8, #0xc99
0xfffffff008825160: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008825164: e80a8052  mov	w8, #0x57
0xfffffff008825168: e04fff90  adrp	x0, #0xfffffff007221000
0xfffffff00882516c: 00c40391  add	x0, x0, #0xf1
0xfffffff008825170: e8e300a9  stp	x8, x24, [sp, #8]
0xfffffff008825174: f70300f9  str	x23, [sp]
0xfffffff008825178: ba48d697  bl	#0xfffffff007db7460
0xfffffff00882517c: 18000014  b	#0xfffffff0088251dc
0xfffffff008825180: 00008052  mov	w0, #0
0xfffffff008825184: f68304a9  stp	x22, x0, [sp, #0x48]
0xfffffff008825188: f3e703a9  stp	x19, x25, [sp, #0x38]
