; Candidate 8017
; ADRP+ADD at VM 0xfffffff00888e58c (fileoff 0x188a58c): page=0x1fe95b000 add_imm=0xe80

0xfffffff00888e50c: 00740691  add	x0, x0, #0x19d
0xfffffff00888e510: f82300a9  stp	x24, x8, [sp]
0xfffffff00888e514: 0e000014  b	#0xfffffff00888e54c
0xfffffff00888e518: c0040034  cbz	w0, #0xfffffff00888e5b0
0xfffffff00888e51c: e803164b  neg	w8, w22
0xfffffff00888e520: 88042837  tbnz	w8, #5, #0xfffffff00888e5b0
0xfffffff00888e524: e80240f9  ldr	x8, [x23]
0xfffffff00888e528: 690241b9  ldr	w9, [x19, #0x100]
0xfffffff00888e52c: 6a0641b9  ldr	w10, [x19, #0x104]
0xfffffff00888e530: 6b1241b9  ldr	w11, [x19, #0x110]
0xfffffff00888e534: 6c1641b9  ldr	w12, [x19, #0x114]
0xfffffff00888e538: ebb301a9  stp	x11, x12, [sp, #0x18]
0xfffffff00888e53c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00888e540: e80300f9  str	x8, [sp]
0xfffffff00888e544: 004dffb0  adrp	x0, #0xfffffff00722f000
0xfffffff00888e548: 002c0691  add	x0, x0, #0x18b
0xfffffff00888e54c: c5a3d497  bl	#0xfffffff007db7460
0xfffffff00888e550: 28000014  b	#0xfffffff00888e5f0
0xfffffff00888e554: 16970094  bl	#0xfffffff0088b41ac
0xfffffff00888e558: f80300aa  mov	x24, x0
0xfffffff00888e55c: e00315aa  mov	x0, x21
0xfffffff00888e560: bcb4ff97  bl	#0xfffffff00887b850
0xfffffff00888e564: e80240f9  ldr	x8, [x23]
0xfffffff00888e568: 690241b9  ldr	w9, [x19, #0x100]
0xfffffff00888e56c: 6a0641b9  ldr	w10, [x19, #0x104]
0xfffffff00888e570: 6b1241b9  ldr	w11, [x19, #0x110]
0xfffffff00888e574: 6c1641b9  ldr	w12, [x19, #0x114]
0xfffffff00888e578: eb3303a9  stp	x11, x12, [sp, #0x30]
0xfffffff00888e57c: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff00888e580: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888e584: e80314aa  mov	x8, x20
0xfffffff00888e588: f82300a9  stp	x24, x8, [sp]
0xfffffff00888e58c: c04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888e590: 00003a91  add	x0, x0, #0xe80
0xfffffff00888e594: c18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00888e598: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888e59c: 834eff90  adrp	x3, #0xfffffff00725e000
0xfffffff00888e5a0: 63b40d91  add	x3, x3, #0x36d
0xfffffff00888e5a4: 02008052  mov	w2, #0
0xfffffff00888e5a8: e292ea97  bl	#0xfffffff008333130
0xfffffff00888e5ac: 11000014  b	#0xfffffff00888e5f0
0xfffffff00888e5b0: e80240f9  ldr	x8, [x23]
0xfffffff00888e5b4: 690241b9  ldr	w9, [x19, #0x100]
0xfffffff00888e5b8: 6a0641b9  ldr	w10, [x19, #0x104]
0xfffffff00888e5bc: 6b1241b9  ldr	w11, [x19, #0x110]
0xfffffff00888e5c0: 6c1641b9  ldr	w12, [x19, #0x114]
0xfffffff00888e5c4: ebb301a9  stp	x11, x12, [sp, #0x18]
0xfffffff00888e5c8: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00888e5cc: e80300f9  str	x8, [sp]
0xfffffff00888e5d0: c04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888e5d4: 00003a91  add	x0, x0, #0xe80
0xfffffff00888e5d8: c18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00888e5dc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888e5e0: 834eff90  adrp	x3, #0xfffffff00725e000
0xfffffff00888e5e4: 63700d91  add	x3, x3, #0x35c
0xfffffff00888e5e8: 02008052  mov	w2, #0
0xfffffff00888e5ec: d192ea97  bl	#0xfffffff008333130
0xfffffff00888e5f0: c0018052  mov	w0, #0xe
0xfffffff00888e5f4: 70920094  bl	#0xfffffff0088b2fb4
0xfffffff00888e5f8: f70300aa  mov	x23, x0
0xfffffff00888e5fc: e00314aa  mov	x0, x20
0xfffffff00888e600: e10315aa  mov	x1, x21
0xfffffff00888e604: 73b4ff97  bl	#0xfffffff00887b7d0
0xfffffff00888e608: e0090034  cbz	w0, #0xfffffff00888e744
