; Candidate 8321
; ADRP+ADD at VM 0xfffffff0088a34bc (fileoff 0x189f4bc): page=0x1fe98e000 add_imm=0xe9a

0xfffffff0088a343c: 00403d91  add	x0, x0, #0xf50
0xfffffff0088a3440: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a3444: 0750d497  bl	#0xfffffff007db7460
0xfffffff0088a3448: 17008052  mov	w23, #0
0xfffffff0088a344c: 3e000014  b	#0xfffffff0088a3544
0xfffffff0088a3450: 600f8052  mov	w0, #0x7b
0xfffffff0088a3454: 81008052  mov	w1, #4
0xfffffff0088a3458: de60ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a345c: 20070034  cbz	w0, #0xfffffff0088a3540
0xfffffff0088a3460: 600f8052  mov	w0, #0x7b
0xfffffff0088a3464: ed60ff97  bl	#0xfffffff00887b818
0xfffffff0088a3468: f80300aa  mov	x24, x0
0xfffffff0088a346c: 50430094  bl	#0xfffffff0088b41ac
0xfffffff0088a3470: f70300aa  mov	x23, x0
0xfffffff0088a3474: 80008052  mov	w0, #4
0xfffffff0088a3478: f660ff97  bl	#0xfffffff00887b850
0xfffffff0088a347c: b8020034  cbz	w24, #0xfffffff0088a34d0
0xfffffff0088a3480: 680240b9  ldr	w8, [x19]
0xfffffff0088a3484: e90316aa  mov	x9, x22
0xfffffff0088a3488: e95705a9  stp	x9, x21, [sp, #0x50]
0xfffffff0088a348c: 694cffd0  adrp	x9, #0xfffffff007231000
0xfffffff0088a3490: 29793b91  add	x9, x9, #0xede
0xfffffff0088a3494: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0088a3498: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff0088a349c: a8298052  mov	w8, #0x14d
0xfffffff0088a34a0: 694cffd0  adrp	x9, #0xfffffff007231000
0xfffffff0088a34a4: 29013a91  add	x9, x9, #0xe80
0xfffffff0088a34a8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a34ac: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a34b0: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a34b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a34b8: 680f8052  mov	w8, #0x7b
0xfffffff0088a34bc: 604cffd0  adrp	x0, #0xfffffff007231000
0xfffffff0088a34c0: 00683a91  add	x0, x0, #0xe9a
0xfffffff0088a34c4: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a34c8: e64fd497  bl	#0xfffffff007db7460
0xfffffff0088a34cc: 1d000014  b	#0xfffffff0088a3540
0xfffffff0088a34d0: 37430094  bl	#0xfffffff0088b41ac
0xfffffff0088a34d4: f70300aa  mov	x23, x0
0xfffffff0088a34d8: 80008052  mov	w0, #4
0xfffffff0088a34dc: dd60ff97  bl	#0xfffffff00887b850
0xfffffff0088a34e0: 680240b9  ldr	w8, [x19]
0xfffffff0088a34e4: e90316aa  mov	x9, x22
0xfffffff0088a34e8: e95705a9  stp	x9, x21, [sp, #0x50]
0xfffffff0088a34ec: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0088a34f0: 684cffd0  adrp	x8, #0xfffffff007231000
0xfffffff0088a34f4: 08793b91  add	x8, x8, #0xede
0xfffffff0088a34f8: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a34fc: a8298052  mov	w8, #0x14d
0xfffffff0088a3500: 694cffd0  adrp	x9, #0xfffffff007231000
0xfffffff0088a3504: 29013a91  add	x9, x9, #0xe80
0xfffffff0088a3508: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a350c: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a3510: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a3514: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a3518: 680f8052  mov	w8, #0x7b
0xfffffff0088a351c: e34dffd0  adrp	x3, #0xfffffff007261000
0xfffffff0088a3520: 63b03c91  add	x3, x3, #0xf2c
0xfffffff0088a3524: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a3528: 204affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a352c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a3530: 218bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a3534: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a3538: 02008052  mov	w2, #0
