; Candidate 11203
; ADRP+ADD at VM 0xfffffff008eab91c (fileoff 0x1ea791c): page=0x1fec64000 add_imm=0xdc0

0xfffffff008eab89c: 4a7d0153  lsr	w10, w10, #1
0xfffffff008eab8a0: 3f010071  cmp	w9, #0
0xfffffff008eab8a4: 15018a1a  csel	w21, w8, w10, eq
0xfffffff008eab8a8: 003040bd  ldr	s0, [x0, #0x30]
0xfffffff008eab8ac: 01102e1e  fmov	s1, #1.00000000
0xfffffff008eab8b0: 0020211e  fcmp	s0, s1
0xfffffff008eab8b4: 2009407a  ccmp	w9, #0, #0, eq
0xfffffff008eab8b8: 80070054  b.eq	#0xfffffff008eab9a8
0xfffffff008eab8bc: a82affd0  adrp	x8, #0xfffffff007401000
0xfffffff008eab8c0: 08413091  add	x8, x8, #0xc10
0xfffffff008eab8c4: 020d42ad  ldp	q2, q3, [x8, #0x40]
0xfffffff008eab8c8: e28f02ad  stp	q2, q3, [sp, #0x50]
0xfffffff008eab8cc: 0219c03d  ldr	q2, [x8, #0x60]
0xfffffff008eab8d0: e21f803d  str	q2, [sp, #0x70]
0xfffffff008eab8d4: 093940f9  ldr	x9, [x8, #0x70]
0xfffffff008eab8d8: e94300f9  str	x9, [sp, #0x80]
0xfffffff008eab8dc: 020d40ad  ldp	q2, q3, [x8]
0xfffffff008eab8e0: e28f00ad  stp	q2, q3, [sp, #0x10]
0xfffffff008eab8e4: 020d41ad  ldp	q2, q3, [x8, #0x20]
0xfffffff008eab8e8: e28f01ad  stp	q2, q3, [sp, #0x30]
0xfffffff008eab8ec: 2018201e  fdiv	s0, s1, s0
0xfffffff008eab8f0: 08c0221e  fcvt	d8, s0
0xfffffff008eab8f4: e00314aa  mov	x0, x20
0xfffffff008eab8f8: 8bffff97  bl	#0xfffffff008eab724
0xfffffff008eab8fc: 0140601e  fmov	d1, d0
0xfffffff008eab900: e0430091  add	x0, sp, #0x10
0xfffffff008eab904: 0041601e  fmov	d0, d8
0xfffffff008eab908: 22ffff97  bl	#0xfffffff008eab590
0xfffffff008eab90c: e81b40b9  ldr	w8, [sp, #0x18]
0xfffffff008eab910: 1f010071  cmp	w8, #0
0xfffffff008eab914: e8079f1a  cset	w8, ne
0xfffffff008eab918: 355b68f8  ldr	x21, [x25, w8, uxtw #3]
0xfffffff008eab91c: 2063ff90  adrp	x0, #0xfffffff007b0f000
0xfffffff008eab920: 00003791  add	x0, x0, #0xdc0
0xfffffff008eab924: f4aad297  bl	#0xfffffff0083564f4
0xfffffff008eab928: f60300aa  mov	x22, x0
0xfffffff008eab92c: 23834039  ldrb	w3, [x25, #0x20]
0xfffffff008eab930: 250b4229  ldp	w5, w2, [x25, #0x10]
0xfffffff008eab934: 271b4329  ldp	w7, w6, [x25, #0x18]
0xfffffff008eab938: ff030079  strh	wzr, [sp]
0xfffffff008eab93c: e1430091  add	x1, sp, #0x10
0xfffffff008eab940: e40315aa  mov	x4, x21
0xfffffff008eab944: 02320094  bl	#0xfffffff008eb814c
0xfffffff008eab948: f51b40b9  ldr	w21, [sp, #0x18]
0xfffffff008eab94c: 020440f9  ldr	x2, [x0, #8]
0xfffffff008eab950: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff008eab954: 09704039  ldrb	w9, [x0, #0x1c]
0xfffffff008eab958: 3f010071  cmp	w9, #0
0xfffffff008eab95c: 29008052  mov	w9, #1
0xfffffff008eab960: 2905891a  cinc	w9, w9, ne
0xfffffff008eab964: 237d081b  mul	w3, w9, w8
0xfffffff008eab968: 212740b9  ldr	w1, [x25, #0x24]
0xfffffff008eab96c: e00313aa  mov	x0, x19
0xfffffff008eab970: 24008052  mov	w4, #1
0xfffffff008eab974: 25008052  mov	w5, #1
0xfffffff008eab978: f83fff97  bl	#0xfffffff008e7b958
0xfffffff008eab97c: d00240f9  ldr	x16, [x22]
0xfffffff008eab980: f10316aa  mov	x17, x22
0xfffffff008eab984: 9165fbf2  movk	x17, #0xdb2c, lsl #48
0xfffffff008eab988: 301ac1da  autda	x16, x17
0xfffffff008eab98c: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008eab990: e90310aa  mov	x9, x16
0xfffffff008eab994: e00316aa  mov	x0, x22
0xfffffff008eab998: f10309aa  mov	x17, x9
