; Candidate 11153
; ADRP+ADD at VM 0xfffffff008e81074 (fileoff 0x1e7d074): page=0x1fe559000 add_imm=0xd46

0xfffffff008e80ff4: 73c204a9  stp	x19, x16, [x19, #0x48]
0xfffffff008e80ff8: 700240f9  ldr	x16, [x19]
0xfffffff008e80ffc: f10313aa  mov	x17, x19
0xfffffff008e81000: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e81004: 301ac1da  autda	x16, x17
0xfffffff008e81008: 114880d2  mov	x17, #0x240
0xfffffff008e8100c: 1002118b  add	x16, x16, x17
0xfffffff008e81010: 080240f9  ldr	x8, [x16]
0xfffffff008e81014: e90310aa  mov	x9, x16
0xfffffff008e81018: e00313aa  mov	x0, x19
0xfffffff008e8101c: 01008052  mov	w1, #0
0xfffffff008e81020: f10309aa  mov	x17, x9
0xfffffff008e81024: b16eeaf2  movk	x17, #0x5375, lsl #48
0xfffffff008e81028: 11093fd7  blraa	x8, x17
0xfffffff008e8102c: e0000034  cbz	w0, #0xfffffff008e81048
0xfffffff008e81030: c82affb0  adrp	x8, #0xfffffff0073da000
0xfffffff008e81034: 08a53391  add	x8, x8, #0xce9
0xfffffff008e81038: e80300f9  str	x8, [sp]
0xfffffff008e8103c: c02affb0  adrp	x0, #0xfffffff0073da000
0xfffffff008e81040: 00301a91  add	x0, x0, #0x68c
0xfffffff008e81044: 0e000014  b	#0xfffffff008e8107c
0xfffffff008e81048: c12affb0  adrp	x1, #0xfffffff0073da000
0xfffffff008e8104c: 21083a91  add	x1, x1, #0xe82
0xfffffff008e81050: e00313aa  mov	x0, x19
0xfffffff008e81054: e20315aa  mov	x2, x21
0xfffffff008e81058: 03008052  mov	w3, #0
0xfffffff008e8105c: 04008052  mov	w4, #0
0xfffffff008e81060: 28edff97  bl	#0xfffffff008e7c500
0xfffffff008e81064: c0010034  cbz	w0, #0xfffffff008e8109c
0xfffffff008e81068: c82affb0  adrp	x8, #0xfffffff0073da000
0xfffffff008e8106c: 08a53391  add	x8, x8, #0xce9
0xfffffff008e81070: e80300f9  str	x8, [sp]
0xfffffff008e81074: c02affb0  adrp	x0, #0xfffffff0073da000
0xfffffff008e81078: 00183591  add	x0, x0, #0xd46
0xfffffff008e8107c: e957d397  bl	#0xfffffff008357020
0xfffffff008e81080: 00008052  mov	w0, #0
0xfffffff008e81084: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008e81088: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008e8108c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008e81090: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff008e81094: ff430191  add	sp, sp, #0x50
0xfffffff008e81098: ff0f5fd6  retab	
0xfffffff008e8109c: c12affb0  adrp	x1, #0xfffffff0073da000
0xfffffff008e810a0: 21283b91  add	x1, x1, #0xeca
0xfffffff008e810a4: e00313aa  mov	x0, x19
0xfffffff008e810a8: e20314aa  mov	x2, x20
0xfffffff008e810ac: 03008052  mov	w3, #0
0xfffffff008e810b0: 04008052  mov	w4, #0
0xfffffff008e810b4: 13edff97  bl	#0xfffffff008e7c500
0xfffffff008e810b8: 20008052  mov	w0, #1
0xfffffff008e810bc: f2ffff17  b	#0xfffffff008e81084
0xfffffff008e810c0: 5f2403d5  bti	c
0xfffffff008e810c4: 21010034  cbz	w1, #0xfffffff008e810e8
0xfffffff008e810c8: 28008052  mov	w8, #1
0xfffffff008e810cc: 08d00139  strb	w8, [x0, #0x74]
0xfffffff008e810d0: 108041a9  ldp	x16, x0, [x0, #0x18]
0xfffffff008e810d4: 41008052  mov	w1, #2
0xfffffff008e810d8: 020080d2  mov	x2, #0
0xfffffff008e810dc: 030080d2  mov	x3, #0
0xfffffff008e810e0: 311594d2  mov	x17, #0xa0a9
0xfffffff008e810e4: 110a1fd7  braa	x16, x17
0xfffffff008e810e8: c0035fd6  ret	
0xfffffff008e810ec: 5f2403d5  bti	c
0xfffffff008e810f0: c12affb0  adrp	x1, #0xfffffff0073da000
