; Candidate 16241
; ADRP+ADD at VM 0xfffffff009e338c4 (fileoff 0x2e2f8c4): page=0x5a0000 add_imm=0xe30

0xfffffff009e33844: d50700b4  cbz	x21, #0xfffffff009e3393c
0xfffffff009e33848: a81240b9  ldr	w8, [x21, #0x10]
0xfffffff009e3384c: 1f090071  cmp	w8, #2
0xfffffff009e33850: e3040054  b.lo	#0xfffffff009e338ec
0xfffffff009e33854: 68c24039  ldrb	w8, [x19, #0x30]
0xfffffff009e33858: 77cffef0  adrp	x23, #0xfffffff007822000
0xfffffff009e3385c: f7622c91  add	x23, x23, #0xb18
0xfffffff009e33860: 08010034  cbz	w8, #0xfffffff009e33880
0xfffffff009e33864: 890640f9  ldr	x9, [x20, #8]
0xfffffff009e33868: e8278052  mov	w8, #0x13f
0xfffffff009e3386c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009e33870: f70300f9  str	x23, [sp]
0xfffffff009e33874: 60cffef0  adrp	x0, #0xfffffff007822000
0xfffffff009e33878: 00842b91  add	x0, x0, #0xae1
0xfffffff009e3387c: f12f0194  bl	#0xfffffff009e7f840
0xfffffff009e33880: 082d0090  adrp	x8, #0xfffffff00a3d3000
0xfffffff009e33884: 09fd47f9  ldr	x9, [x8, #0xff8]
0xfffffff009e33888: 29050091  add	x9, x9, #1
0xfffffff009e3388c: 09fd07f9  str	x9, [x8, #0xff8]
0xfffffff009e33890: 600640f9  ldr	x0, [x19, #8]
0xfffffff009e33894: 621240f9  ldr	x2, [x19, #0x20]
0xfffffff009e33898: e10314aa  mov	x1, x20
0xfffffff009e3389c: 0a8d0094  bl	#0xfffffff009e56cc4
0xfffffff009e338a0: 60020034  cbz	w0, #0xfffffff009e338ec
0xfffffff009e338a4: f60300aa  mov	x22, x0
0xfffffff009e338a8: 880640f9  ldr	x8, [x20, #8]
0xfffffff009e338ac: e85b01a9  stp	x8, x22, [sp, #0x10]
0xfffffff009e338b0: 48298052  mov	w8, #0x14a
0xfffffff009e338b4: f72300a9  stp	x23, x8, [sp]
0xfffffff009e338b8: 60cffef0  adrp	x0, #0xfffffff007822000
0xfffffff009e338bc: 00982c91  add	x0, x0, #0xb26
0xfffffff009e338c0: 01300194  bl	#0xfffffff009e7f8c4
0xfffffff009e338c4: 002d0090  adrp	x0, #0xfffffff00a3d3000
0xfffffff009e338c8: 00c03891  add	x0, x0, #0xe30
0xfffffff009e338cc: a1c08052  mov	w1, #0x605
0xfffffff009e338d0: a102a072  movk	w1, #0x15, lsl #16
0xfffffff009e338d4: e20316aa  mov	x2, x22
0xfffffff009e338d8: 96faff97  bl	#0xfffffff009e32330
0xfffffff009e338dc: e00315aa  mov	x0, x21
0xfffffff009e338e0: efb90294  bl	#0xfffffff009ee209c
0xfffffff009e338e4: f50316aa  mov	x21, x22
0xfffffff009e338e8: 25000014  b	#0xfffffff009e3397c
0xfffffff009e338ec: e00315aa  mov	x0, x21
0xfffffff009e338f0: ebb90294  bl	#0xfffffff009ee209c
0xfffffff009e338f4: 11000014  b	#0xfffffff009e33938
0xfffffff009e338f8: 090080d2  mov	x9, #0
0xfffffff009e338fc: 0a2d0090  adrp	x10, #0xfffffff00a3d3000
0xfffffff009e33900: 4ac13891  add	x10, x10, #0xe30
0xfffffff009e33904: 4b01098b  add	x11, x10, x9
0xfffffff009e33908: 6c4141f8  ldur	x12, [x11, #0x14]
0xfffffff009e3390c: 6cc100f8  stur	x12, [x11, #0xc]
0xfffffff009e33910: 29210091  add	x9, x9, #8
0xfffffff009e33914: 3f2101f1  cmp	x9, #0x48
0xfffffff009e33918: 61ffff54  b.ne	#0xfffffff009e33904
0xfffffff009e3391c: 08050051  sub	w8, w8, #1
0xfffffff009e33920: 092d0090  adrp	x9, #0xfffffff00a3d3000
0xfffffff009e33924: 29c13891  add	x9, x9, #0xe30
0xfffffff009e33928: 28cd288b  add	x8, x9, w8, sxtw #3
0xfffffff009e3392c: 69cffef0  adrp	x9, #0xfffffff007822000
0xfffffff009e33930: 20a142fd  ldr	d0, [x9, #0x540]
0xfffffff009e33934: 00c100fc  stur	d0, [x8, #0xc]
0xfffffff009e33938: 15008052  mov	w21, #0
0xfffffff009e3393c: 9f2403d5  bti	j
0xfffffff009e33940: 700240f9  ldr	x16, [x19]
