; Candidate 2945
; ADRP+ADD at VM 0xfffffff0086f7c4c (fileoff 0x16f3c4c): page=0x1fea3a000 add_imm=0xd90

0xfffffff0086f7bcc: 0bb56339  ldrb	w11, [x8, #0x8ed]
0xfffffff0086f7bd0: cb000034  cbz	w11, #0xfffffff0086f7be8
0xfffffff0086f7bd4: 8b9947b9  ldr	w11, [x12, #0x798]
0xfffffff0086f7bd8: 8d410491  add	x13, x12, #0x110
0xfffffff0086f7bdc: 8ba101b9  str	w11, [x12, #0x1a0]
0xfffffff0086f7be0: 8dd500f9  str	x13, [x12, #0x1a8]
0xfffffff0086f7be4: 4d6101f9  str	x13, [x10, #0x2c0]
0xfffffff0086f7be8: 800e040e  dup	v0.2s, w20
0xfffffff0086f7bec: 381d00b9  str	w24, [x9, #0x1c]
0xfffffff0086f7bf0: 201d00fd  str	d0, [x9, #0x38]
0xfffffff0086f7bf4: 08d12191  add	x8, x8, #0x874
0xfffffff0086f7bf8: 5f0900b9  str	wzr, [x10, #8]
0xfffffff0086f7bfc: 000140fd  ldr	d0, [x8]
0xfffffff0086f7c00: 2104000f  movi	v1.2s, #1
0xfffffff0086f7c04: 0084a10e  add	v0.2s, v0.2s, v1.2s
0xfffffff0086f7c08: 2014002f  bic	v0.2s, #1
0xfffffff0086f7c0c: e1e7076f  movi	v1.2d, #0xffffffffffffffff
0xfffffff0086f7c10: 0184a10e  add	v1.2s, v0.2s, v1.2s
0xfffffff0086f7c14: 5f0100f9  str	xzr, [x10]
0xfffffff0086f7c18: 41c100fc  stur	d1, [x10, #0xc]
0xfffffff0086f7c1c: 8853ff90  adrp	x8, #0xfffffff007167000
0xfffffff0086f7c20: 08a13b91  add	x8, x8, #0xee8
0xfffffff0086f7c24: 047978b8  ldr	w4, [x8, x24, lsl #2]
0xfffffff0086f7c28: 0100261e  fmov	w1, s0
0xfffffff0086f7c2c: e00313aa  mov	x0, x19
0xfffffff0086f7c30: e20314aa  mov	x2, x20
0xfffffff0086f7c34: e30314aa  mov	x3, x20
0xfffffff0086f7c38: a5000094  bl	#0xfffffff0086f7ecc
0xfffffff0086f7c3c: a0010034  cbz	w0, #0xfffffff0086f7c70
0xfffffff0086f7c40: c852fff0  adrp	x8, #0xfffffff007152000
0xfffffff0086f7c44: 08c90f91  add	x8, x8, #0x3f2
0xfffffff0086f7c48: e80300f9  str	x8, [sp]
0xfffffff0086f7c4c: c051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f7c50: 00403691  add	x0, x0, #0xd90
0xfffffff0086f7c54: 2198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f7c58: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f7c5c: e351ffd0  adrp	x3, #0xfffffff007135000
0xfffffff0086f7c60: 63202691  add	x3, x3, #0x988
0xfffffff0086f7c64: 02008052  mov	w2, #0
0xfffffff0086f7c68: 32edf097  bl	#0xfffffff008333130
0xfffffff0086f7c6c: f1fdff17  b	#0xfffffff0086f7430
0xfffffff0086f7c70: e00313aa  mov	x0, x19
0xfffffff0086f7c74: 01010094  bl	#0xfffffff0086f8078
0xfffffff0086f7c78: 68f259f9  ldr	x8, [x19, #0x33e0]
0xfffffff0086f7c7c: 085d4cb9  ldr	w8, [x8, #0xc5c]
0xfffffff0086f7c80: 08090051  sub	w8, w8, #2
0xfffffff0086f7c84: 1f190071  cmp	w8, #6
0xfffffff0086f7c88: 08030054  b.hi	#0xfffffff0086f7ce8
0xfffffff0086f7c8c: 8953ff90  adrp	x9, #0xfffffff007167000
0xfffffff0086f7c90: 29e13b91  add	x9, x9, #0xef8
0xfffffff0086f7c94: 28d968b8  ldr	w8, [x9, w8, sxtw #2]
0xfffffff0086f7c98: 15000014  b	#0xfffffff0086f7cec
0xfffffff0086f7c9c: 28008052  mov	w8, #1
0xfffffff0086f7ca0: 28410039  strb	w8, [x9, #0x10]
0xfffffff0086f7ca4: ed3b02a9  stp	x13, x14, [sp, #0x20]
0xfffffff0086f7ca8: ea3301a9  stp	x10, x12, [sp, #0x10]
0xfffffff0086f7cac: c852fff0  adrp	x8, #0xfffffff007152000
0xfffffff0086f7cb0: 08711091  add	x8, x8, #0x41c
0xfffffff0086f7cb4: e82f00a9  stp	x8, x11, [sp]
0xfffffff0086f7cb8: c051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f7cbc: 00403691  add	x0, x0, #0xd90
0xfffffff0086f7cc0: 2198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f7cc4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f7cc8: e351ffd0  adrp	x3, #0xfffffff007135000
