; Candidate 3665
; ADRP+ADD at VM 0xfffffff00874d1a4 (fileoff 0x17491a4): page=0x1fe9e4000 add_imm=0xd90

0xfffffff00874d124: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00874d128: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00874d12c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00874d130: fd430191  add	x29, sp, #0x50
0xfffffff00874d134: f30300aa  mov	x19, x0
0xfffffff00874d138: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff00874d13c: 082040f9  ldr	x8, [x0, #0x40]
0xfffffff00874d140: c80100b4  cbz	x8, #0xfffffff00874d178
0xfffffff00874d144: f50301aa  mov	x21, x1
0xfffffff00874d148: 68b24139  ldrb	w8, [x19, #0x6c]
0xfffffff00874d14c: e8030034  cbz	w8, #0xfffffff00874d1c8
0xfffffff00874d150: 686a40b9  ldr	w8, [x19, #0x68]
0xfffffff00874d154: 1f050031  cmn	w8, #1
0xfffffff00874d158: 80010054  b.eq	#0xfffffff00874d188
0xfffffff00874d15c: 603240f9  ldr	x0, [x19, #0x60]
0xfffffff00874d160: 400100b4  cbz	x0, #0xfffffff00874d188
0xfffffff00874d164: c8a5fd97  bl	#0xfffffff0086b6884
0xfffffff00874d168: 603240f9  ldr	x0, [x19, #0x60]
0xfffffff00874d16c: 01a6fd97  bl	#0xfffffff0086b6970
0xfffffff00874d170: f40300aa  mov	x20, x0
0xfffffff00874d174: 06000014  b	#0xfffffff00874d18c
0xfffffff00874d178: 14008052  mov	w20, #0
0xfffffff00874d17c: 08008012  mov	w8, #-1
0xfffffff00874d180: 686a00b9  str	w8, [x19, #0x68]
0xfffffff00874d184: 4c000014  b	#0xfffffff00874d2b4
0xfffffff00874d188: 14008052  mov	w20, #0
0xfffffff00874d18c: 9f02156b  cmp	w20, w21
0xfffffff00874d190: 22090054  b.hs	#0xfffffff00874d2b4
0xfffffff00874d194: f4d700a9  stp	x20, x21, [sp, #8]
0xfffffff00874d198: 0850fff0  adrp	x8, #0xfffffff007150000
0xfffffff00874d19c: 08c12c91  add	x8, x8, #0xb30
0xfffffff00874d1a0: e80300f9  str	x8, [sp]
0xfffffff00874d1a4: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874d1a8: 00403691  add	x0, x0, #0xd90
0xfffffff00874d1ac: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874d1b0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874d1b4: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874d1b8: 63a41491  add	x3, x3, #0x529
0xfffffff00874d1bc: 02008052  mov	w2, #0
0xfffffff00874d1c0: dc97ef97  bl	#0xfffffff008333130
0xfffffff00874d1c4: 3c000014  b	#0xfffffff00874d2b4
0xfffffff00874d1c8: a0008052  mov	w0, #5
0xfffffff00874d1cc: e10315aa  mov	x1, x21
0xfffffff00874d1d0: dea6fd97  bl	#0xfffffff0086b6d48
0xfffffff00874d1d4: 400500b4  cbz	x0, #0xfffffff00874d27c
0xfffffff00874d1d8: f60300aa  mov	x22, x0
0xfffffff00874d1dc: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00874d1e0: 74820191  add	x20, x19, #0x60
0xfffffff00874d1e4: 100040f9  ldr	x16, [x0]
0xfffffff00874d1e8: f10300aa  mov	x17, x0
0xfffffff00874d1ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00874d1f0: 301ac1da  autda	x16, x17
0xfffffff00874d1f4: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff00874d1f8: e90310aa  mov	x9, x16
0xfffffff00874d1fc: 81008052  mov	w1, #4
0xfffffff00874d200: e20316aa  mov	x2, x22
0xfffffff00874d204: e30314aa  mov	x3, x20
0xfffffff00874d208: f10309aa  mov	x17, x9
0xfffffff00874d20c: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff00874d210: 11093fd7  blraa	x8, x17
0xfffffff00874d214: f70300aa  mov	x23, x0
0xfffffff00874d218: d00240f9  ldr	x16, [x22]
0xfffffff00874d21c: f10316aa  mov	x17, x22
0xfffffff00874d220: 31b4f9f2  movk	x17, #0xcda1, lsl #48
