; Candidate 7895
; ADRP+ADD at VM 0xfffffff00888647c (fileoff 0x188247c): page=0x1fe963000 add_imm=0xe80

0xfffffff0088863fc: 340500b4  cbz	x20, #0xfffffff0088864a0
0xfffffff008886400: e00313aa  mov	x0, x19
0xfffffff008886404: e1a6fe97  bl	#0xfffffff00882ff88
0xfffffff008886408: f60300aa  mov	x22, x0
0xfffffff00888640c: e00313aa  mov	x0, x19
0xfffffff008886410: f3a6fe97  bl	#0xfffffff00882ffdc
0xfffffff008886414: df0200eb  cmp	x22, x0
0xfffffff008886418: 60010054  b.eq	#0xfffffff008886444
0xfffffff00888641c: 95000034  cbz	w21, #0xfffffff00888642c
0xfffffff008886420: c8224079  ldrh	w8, [x22, #0x10]
0xfffffff008886424: 1f01156b  cmp	w8, w21
0xfffffff008886428: 81000054  b.ne	#0xfffffff008886438
0xfffffff00888642c: e00314aa  mov	x0, x20
0xfffffff008886430: e10316aa  mov	x1, x22
0xfffffff008886434: 43fdff97  bl	#0xfffffff008885940
0xfffffff008886438: e00316aa  mov	x0, x22
0xfffffff00888643c: a6a4fe97  bl	#0xfffffff00882f6d4
0xfffffff008886440: f2ffff17  b	#0xfffffff008886408
0xfffffff008886444: 16008052  mov	w22, #0
0xfffffff008886448: 4b000014  b	#0xfffffff008886574
0xfffffff00888644c: 58b70094  bl	#0xfffffff0088b41ac
0xfffffff008886450: f60300aa  mov	x22, x0
0xfffffff008886454: e0008052  mov	w0, #7
0xfffffff008886458: fed4ff97  bl	#0xfffffff00887b850
0xfffffff00888645c: e80315aa  mov	x8, x21
0xfffffff008886460: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff008886464: 284dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008886468: 08c51f91  add	x8, x8, #0x7f1
0xfffffff00888646c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008886470: 480d8052  mov	w8, #0x6a
0xfffffff008886474: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008886478: f60300f9  str	x22, [sp]
0xfffffff00888647c: 004bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008886480: 00003a91  add	x0, x0, #0xe80
0xfffffff008886484: 018cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008886488: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888648c: a34effd0  adrp	x3, #0xfffffff00725c000
0xfffffff008886490: 63641e91  add	x3, x3, #0x799
0xfffffff008886494: 02008052  mov	w2, #0
0xfffffff008886498: 26b3ea97  bl	#0xfffffff008333130
0xfffffff00888649c: 13fbffb5  cbnz	x19, #0xfffffff0088863fc
0xfffffff0088864a0: 400d8052  mov	w0, #0x6a
0xfffffff0088864a4: 81008052  mov	w1, #4
0xfffffff0088864a8: cad4ff97  bl	#0xfffffff00887b7d0
0xfffffff0088864ac: 20060034  cbz	w0, #0xfffffff008886570
0xfffffff0088864b0: 400d8052  mov	w0, #0x6a
0xfffffff0088864b4: d9d4ff97  bl	#0xfffffff00887b818
0xfffffff0088864b8: f70300aa  mov	x23, x0
0xfffffff0088864bc: 3cb70094  bl	#0xfffffff0088b41ac
0xfffffff0088864c0: f60300aa  mov	x22, x0
0xfffffff0088864c4: 80008052  mov	w0, #4
0xfffffff0088864c8: e2d4ff97  bl	#0xfffffff00887b850
0xfffffff0088864cc: 37020034  cbz	w23, #0xfffffff008886510
0xfffffff0088864d0: e80315aa  mov	x8, x21
0xfffffff0088864d4: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff0088864d8: 284dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088864dc: 08491c91  add	x8, x8, #0x712
0xfffffff0088864e0: a9198052  mov	w9, #0xcd
0xfffffff0088864e4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088864e8: 284dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088864ec: 08c51f91  add	x8, x8, #0x7f1
0xfffffff0088864f0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088864f4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088864f8: 480d8052  mov	w8, #0x6a
