; Candidate 7434
; ADRP+ADD at VM 0xfffffff00886d330 (fileoff 0x1869330): page=0x1fe97c000 add_imm=0xe80

0xfffffff00886d2b0: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00886d2b4: a84dfff0  adrp	x8, #0xfffffff007224000
0xfffffff00886d2b8: 09992691  add	x9, x8, #0x9a6
0xfffffff00886d2bc: c84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886d2c0: 08811191  add	x8, x8, #0x460
0xfffffff00886d2c4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886d2c8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00886d2cc: 680c8052  mov	w8, #0x63
0xfffffff00886d2d0: a04dfff0  adrp	x0, #0xfffffff007224000
0xfffffff00886d2d4: 00c02691  add	x0, x0, #0x9b0
0xfffffff00886d2d8: f82300a9  stp	x24, x8, [sp]
0xfffffff00886d2dc: 6128d597  bl	#0xfffffff007db7460
0xfffffff00886d2e0: 1a000014  b	#0xfffffff00886d348
0xfffffff00886d2e4: b21b0194  bl	#0xfffffff0088b41ac
0xfffffff00886d2e8: f80300aa  mov	x24, x0
0xfffffff00886d2ec: e0008052  mov	w0, #7
0xfffffff00886d2f0: 58390094  bl	#0xfffffff00887b850
0xfffffff00886d2f4: e80317aa  mov	x8, x23
0xfffffff00886d2f8: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00886d2fc: f6a304a9  stp	x22, x8, [sp, #0x48]
0xfffffff00886d300: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00886d304: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00886d308: a84dfff0  adrp	x8, #0xfffffff007224000
0xfffffff00886d30c: 0a992691  add	x10, x8, #0x9a6
0xfffffff00886d310: c84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886d314: 08811191  add	x8, x8, #0x460
0xfffffff00886d318: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00886d31c: 680c8052  mov	w8, #0x63
0xfffffff00886d320: 434ffff0  adrp	x3, #0xfffffff007258000
0xfffffff00886d324: 63800391  add	x3, x3, #0xe0
0xfffffff00886d328: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886d32c: f80300f9  str	x24, [sp]
0xfffffff00886d330: e04bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00886d334: 00003a91  add	x0, x0, #0xe80
0xfffffff00886d338: c18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00886d33c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886d340: 02008052  mov	w2, #0
0xfffffff00886d344: 7b17eb97  bl	#0xfffffff008333130
0xfffffff00886d348: e00317aa  mov	x0, x23
0xfffffff00886d34c: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff00886d350: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00886d354: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff00886d358: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff00886d35c: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff00886d360: ffc30291  add	sp, sp, #0xb0
0xfffffff00886d364: ff0f5fd6  retab	
0xfffffff00886d368: 7f2303d5  pacibsp	
0xfffffff00886d36c: ffc302d1  sub	sp, sp, #0xb0
0xfffffff00886d370: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff00886d374: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff00886d378: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff00886d37c: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff00886d380: fd830291  add	x29, sp, #0xa0
0xfffffff00886d384: f50302aa  mov	x21, x2
0xfffffff00886d388: f40301aa  mov	x20, x1
0xfffffff00886d38c: f30300aa  mov	x19, x0
0xfffffff00886d390: bfc31cb8  stur	wzr, [x29, #-0x34]
0xfffffff00886d394: c00b8052  mov	w0, #0x5e
0xfffffff00886d398: 01018052  mov	w1, #8
0xfffffff00886d39c: 0d390094  bl	#0xfffffff00887b7d0
0xfffffff00886d3a0: 00060034  cbz	w0, #0xfffffff00886d460
0xfffffff00886d3a4: c00b8052  mov	w0, #0x5e
0xfffffff00886d3a8: 1c390094  bl	#0xfffffff00887b818
0xfffffff00886d3ac: f70300aa  mov	x23, x0
