; Candidate 7471
; ADRP+ADD at VM 0xfffffff00886f34c (fileoff 0x186b34c): page=0x1fe9a4000 add_imm=0xe0f

0xfffffff00886f2cc: 00008052  mov	w0, #0
0xfffffff00886f2d0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00886f2d4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00886f2d8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00886f2dc: ff830191  add	sp, sp, #0x60
0xfffffff00886f2e0: ff0f5fd6  retab	
0xfffffff00886f2e4: 7f2303d5  pacibsp	
0xfffffff00886f2e8: ff0302d1  sub	sp, sp, #0x80
0xfffffff00886f2ec: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00886f2f0: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00886f2f4: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00886f2f8: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00886f2fc: fdc30191  add	x29, sp, #0x70
0xfffffff00886f300: f30300aa  mov	x19, x0
0xfffffff00886f304: 600b8052  mov	w0, #0x5b
0xfffffff00886f308: 01018052  mov	w1, #8
0xfffffff00886f30c: 31310094  bl	#0xfffffff00887b7d0
0xfffffff00886f310: a0040034  cbz	w0, #0xfffffff00886f3a4
0xfffffff00886f314: 600b8052  mov	w0, #0x5b
0xfffffff00886f318: 40310094  bl	#0xfffffff00887b818
0xfffffff00886f31c: f50300aa  mov	x21, x0
0xfffffff00886f320: a3130194  bl	#0xfffffff0088b41ac
0xfffffff00886f324: f40300aa  mov	x20, x0
0xfffffff00886f328: 00018052  mov	w0, #8
0xfffffff00886f32c: 49310094  bl	#0xfffffff00887b850
0xfffffff00886f330: 75010034  cbz	w21, #0xfffffff00886f35c
0xfffffff00886f334: c84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff00886f338: 08912091  add	x8, x8, #0x824
0xfffffff00886f33c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886f340: 680b8052  mov	w8, #0x5b
0xfffffff00886f344: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886f348: f40300f9  str	x20, [sp]
0xfffffff00886f34c: 204dff90  adrp	x0, #0xfffffff007213000
0xfffffff00886f350: 003c3891  add	x0, x0, #0xe0f
0xfffffff00886f354: 4320d597  bl	#0xfffffff007db7460
0xfffffff00886f358: 13000014  b	#0xfffffff00886f3a4
0xfffffff00886f35c: 94130194  bl	#0xfffffff0088b41ac
0xfffffff00886f360: f40300aa  mov	x20, x0
0xfffffff00886f364: 00018052  mov	w0, #8
0xfffffff00886f368: 3a310094  bl	#0xfffffff00887b850
0xfffffff00886f36c: c84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff00886f370: 08912091  add	x8, x8, #0x824
0xfffffff00886f374: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886f378: 680b8052  mov	w8, #0x5b
0xfffffff00886f37c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886f380: f40300f9  str	x20, [sp]
0xfffffff00886f384: c04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886f388: 00003a91  add	x0, x0, #0xe80
0xfffffff00886f38c: c18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886f390: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886f394: 434fffb0  adrp	x3, #0xfffffff007258000
0xfffffff00886f398: 638c2891  add	x3, x3, #0xa23
0xfffffff00886f39c: 02008052  mov	w2, #0
0xfffffff00886f3a0: 640feb97  bl	#0xfffffff008333130
0xfffffff00886f3a4: e00313aa  mov	x0, x19
0xfffffff00886f3a8: 21008052  mov	w1, #1
0xfffffff00886f3ac: 02098052  mov	w2, #0x48
0xfffffff00886f3b0: 0208a072  movk	w2, #0x40, lsl #16
0xfffffff00886f3b4: 55570094  bl	#0xfffffff008885108
0xfffffff00886f3b8: f50300aa  mov	x21, x0
0xfffffff00886f3bc: 1f040072  tst	w0, #3
0xfffffff00886f3c0: 14009f1a  csel	w20, w0, wzr, eq
0xfffffff00886f3c4: 600b8052  mov	w0, #0x5b
0xfffffff00886f3c8: 01018052  mov	w1, #8
