; Candidate 585
; ADRP+ADD at VM 0xfffffff007f93108 (fileoff 0xf8f108): page=0x1ff9e9000 add_imm=0xd70

0xfffffff007f93088: 020080d2  mov	x2, #0
0xfffffff007f9308c: c4300d94  bl	#0xfffffff0082df39c
0xfffffff007f93090: 609e40f9  ldr	x0, [x19, #0x138]
0xfffffff007f93094: ee200d94  bl	#0xfffffff0082db44c
0xfffffff007f93098: 880240f9  ldr	x8, [x20]
0xfffffff007f9309c: 68a200f9  str	x8, [x19, #0x140]
0xfffffff007f930a0: 75e20291  add	x21, x19, #0xb8
0xfffffff007f930a4: 591501f0  adrp	x25, #0xfffffff00a23e000
0xfffffff007f930a8: 28434ab9  ldr	w8, [x25, #0xa40]
0xfffffff007f930ac: 76220391  add	x22, x19, #0xc8
0xfffffff007f930b0: 480c0034  cbz	w8, #0xfffffff007f93238
0xfffffff007f930b4: ff2301f9  str	xzr, [sp, #0x240]
0xfffffff007f930b8: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007f930bc: e00311ad  stp	q0, q0, [sp, #0x220]
0xfffffff007f930c0: e00310ad  stp	q0, q0, [sp, #0x200]
0xfffffff007f930c4: e07f803d  str	q0, [sp, #0x1f0]
0xfffffff007f930c8: a0833bad  stp	q0, q0, [x29, #-0x90]
0xfffffff007f930cc: a0833aad  stp	q0, q0, [x29, #-0xb0]
0xfffffff007f930d0: a08339ad  stp	q0, q0, [x29, #-0xd0]
0xfffffff007f930d4: a08338ad  stp	q0, q0, [x29, #-0xf0]
0xfffffff007f930d8: e00319ad  stp	q0, q0, [sp, #0x320]
0xfffffff007f930dc: e00318ad  stp	q0, q0, [sp, #0x300]
0xfffffff007f930e0: 88cbfff0  adrp	x8, #0xfffffff007906000
0xfffffff007f930e4: 08e10b91  add	x8, x8, #0x2f8
0xfffffff007f930e8: 000541ad  ldp	q0, q1, [x8, #0x20]
0xfffffff007f930ec: e0870dad  stp	q0, q1, [sp, #0x1b0]
0xfffffff007f930f0: 0011c03d  ldr	q0, [x8, #0x40]
0xfffffff007f930f4: e077803d  str	q0, [sp, #0x1d0]
0xfffffff007f930f8: 092940f9  ldr	x9, [x8, #0x50]
0xfffffff007f930fc: e9f300f9  str	x9, [sp, #0x1e0]
0xfffffff007f93100: 000540ad  ldp	q0, q1, [x8]
0xfffffff007f93104: e0870cad  stp	q0, q1, [sp, #0x190]
0xfffffff007f93108: 40cfffb0  adrp	x0, #0xfffffff00797c000
0xfffffff007f9310c: 00c03591  add	x0, x0, #0xd70
0xfffffff007f93110: 81008052  mov	w1, #4
0xfffffff007f93114: 704ff897  bl	#0xfffffff007da6ed4
0xfffffff007f93118: 803200b4  cbz	x0, #0xfffffff007f93768
0xfffffff007f9311c: f40300aa  mov	x20, x0
0xfffffff007f93120: 080040f9  ldr	x8, [x0]
0xfffffff007f93124: 080179b2  orr	x8, x8, #0x80
0xfffffff007f93128: 080000f9  str	x8, [x0]
0xfffffff007f9312c: 28008052  mov	w8, #1
0xfffffff007f93130: 082000f9  str	x8, [x0, #0x40]
0xfffffff007f93134: f30300f9  str	x19, [sp]
0xfffffff007f93138: a286ff90  adrp	x2, #0xfffffff007067000
0xfffffff007f9313c: 42081491  add	x2, x2, #0x502
0xfffffff007f93140: e0030c91  add	x0, sp, #0x300
0xfffffff007f93144: 01088052  mov	w1, #0x40
0xfffffff007f93148: 059f0994  bl	#0xfffffff0081fad5c
0xfffffff007f9314c: 001101d0  adrp	x0, #0xfffffff00a1b5000
0xfffffff007f93150: 00000e91  add	x0, x0, #0x380
0xfffffff007f93154: 411501f0  adrp	x1, #0xfffffff00a23e000
0xfffffff007f93158: 21102991  add	x1, x1, #0xa44
0xfffffff007f9315c: e2030c91  add	x2, sp, #0x300
0xfffffff007f93160: e3430691  add	x3, sp, #0x190
0xfffffff007f93164: 040b8052  mov	w4, #0x58
0xfffffff007f93168: e50314aa  mov	x5, x20
0xfffffff007f9316c: e60315aa  mov	x6, x21
0xfffffff007f93170: 26090c94  bl	#0xfffffff008295608
0xfffffff007f93174: f70300aa  mov	x23, x0
0xfffffff007f93178: a0200035  cbnz	w0, #0xfffffff007f9358c
0xfffffff007f9317c: c883fff0  adrp	x8, #0xfffffff00700e000
0xfffffff007f93180: 001543fd  ldr	d0, [x8, #0x628]
0xfffffff007f93184: e00b01fd  str	d0, [sp, #0x210]
