; Candidate 13769
; ADRP+ADD at VM 0xfffffff00957a648 (fileoff 0x2576648): page=0x1fdfe3000 add_imm=0xeb7

0xfffffff00957a5c8: a81a40b9  ldr	w8, [x21, #0x18]
0xfffffff00957a5cc: 881a00b9  str	w8, [x20, #0x18]
0xfffffff00957a5d0: a81640f9  ldr	x8, [x21, #0x28]
0xfffffff00957a5d4: 00110091  add	x0, x8, #4
0xfffffff00957a5d8: 881640f9  ldr	x8, [x20, #0x28]
0xfffffff00957a5dc: 01110091  add	x1, x8, #4
0xfffffff00957a5e0: 6524a797  bl	#0xfffffff007f43774
0xfffffff00957a5e4: 881640f9  ldr	x8, [x20, #0x28]
0xfffffff00957a5e8: 680200f9  str	x8, [x19]
0xfffffff00957a5ec: 0b000014  b	#0xfffffff00957a618
0xfffffff00957a5f0: 9f1600f9  str	xzr, [x20, #0x28]
0xfffffff00957a5f4: 8033ffb0  adrp	x0, #0xfffffff007beb000
0xfffffff00957a5f8: 00a02f91  add	x0, x0, #0xbe8
0xfffffff00957a5fc: e10314aa  mov	x1, x20
0xfffffff00957a600: 4370b797  bl	#0xfffffff00835670c
0xfffffff00957a604: 617000f0  adrp	x1, #0xfffffff00a389000
0xfffffff00957a608: 21c00391  add	x1, x1, #0xf0
0xfffffff00957a60c: e0058092  mov	x0, #-0x30
0xfffffff00957a610: 30a3b597  bl	#0xfffffff0082e32d0
0xfffffff00957a614: 140080d2  mov	x20, #0
0xfffffff00957a618: e00314aa  mov	x0, x20
0xfffffff00957a61c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00957a620: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00957a624: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00957a628: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00957a62c: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff00957a630: ff830191  add	sp, sp, #0x60
0xfffffff00957a634: ff0f5fd6  retab	
0xfffffff00957a638: 08fffef0  adrp	x8, #0xfffffff00755d000
0xfffffff00957a63c: 08a93b91  add	x8, x8, #0xeea
0xfffffff00957a640: 49178052  mov	w9, #0xba
0xfffffff00957a644: e82700a9  stp	x8, x9, [sp]
0xfffffff00957a648: 00fffef0  adrp	x0, #0xfffffff00755d000
0xfffffff00957a64c: 00dc3a91  add	x0, x0, #0xeb7
0xfffffff00957a650: af67bc97  bl	#0xfffffff00849450c
0xfffffff00957a654: 7f2303d5  pacibsp	
0xfffffff00957a658: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff00957a65c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00957a660: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00957a664: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00957a668: fdc30091  add	x29, sp, #0x30
0xfffffff00957a66c: 330c40f9  ldr	x19, [x1, #0x18]
0xfffffff00957a670: 730500b4  cbz	x19, #0xfffffff00957a71c
0xfffffff00957a674: f40301aa  mov	x20, x1
0xfffffff00957a678: f50300aa  mov	x21, x0
0xfffffff00957a67c: 771640f9  ldr	x23, [x19, #0x28]
0xfffffff00957a680: f6120091  add	x22, x23, #4
0xfffffff00957a684: e00316aa  mov	x0, x22
0xfffffff00957a688: 1c24a797  bl	#0xfffffff007f436f8
0xfffffff00957a68c: ff060079  strh	wzr, [x23, #2]
0xfffffff00957a690: e00316aa  mov	x0, x22
0xfffffff00957a694: d922a797  bl	#0xfffffff007f431f8
0xfffffff00957a698: 0000168b  add	x0, x0, x22
0xfffffff00957a69c: e1024079  ldrh	w1, [x23]
0xfffffff00957a6a0: 28499f97  bl	#0xfffffff007d4cb40
0xfffffff00957a6a4: f60313aa  mov	x22, x19
0xfffffff00957a6a8: c80e41f8  ldr	x8, [x22, #0x10]!
0xfffffff00957a6ac: a80100b4  cbz	x8, #0xfffffff00957a6e0
0xfffffff00957a6b0: e00315aa  mov	x0, x21
0xfffffff00957a6b4: 81008052  mov	w1, #4
0xfffffff00957a6b8: 42008052  mov	w2, #2
0xfffffff00957a6bc: c1b30094  bl	#0xfffffff0095a75c0
0xfffffff00957a6c0: f70300aa  mov	x23, x0
0xfffffff00957a6c4: e00315aa  mov	x0, x21
