; Candidate 8296
; ADRP+ADD at VM 0xfffffff0088a19e4 (fileoff 0x189d9e4): page=0x1fe948000 add_imm=0xe80

0xfffffff0088a1964: f80300aa  mov	x24, x0
0xfffffff0088a1968: 114a0094  bl	#0xfffffff0088b41ac
0xfffffff0088a196c: f70300aa  mov	x23, x0
0xfffffff0088a1970: a0008052  mov	w0, #5
0xfffffff0088a1974: b767ff97  bl	#0xfffffff00887b850
0xfffffff0088a1978: 18080034  cbz	w24, #0xfffffff0088a1a78
0xfffffff0088a197c: 680240b9  ldr	w8, [x19]
0xfffffff0088a1980: 163900b4  cbz	x22, #0xfffffff0088a20a0
0xfffffff0088a1984: c94242b9  ldr	w9, [x22, #0x240]
0xfffffff0088a1988: c7010014  b	#0xfffffff0088a20a4
0xfffffff0088a198c: 084a0094  bl	#0xfffffff0088b41ac
0xfffffff0088a1990: f60300aa  mov	x22, x0
0xfffffff0088a1994: 80008052  mov	w0, #4
0xfffffff0088a1998: ae67ff97  bl	#0xfffffff00887b850
0xfffffff0088a199c: e80315aa  mov	x8, x21
0xfffffff0088a19a0: 690240b9  ldr	w9, [x19]
0xfffffff0088a19a4: f4a304a9  stp	x20, x8, [sp, #0x48]
0xfffffff0088a19a8: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff0088a19ac: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a19b0: 0ad11b91  add	x10, x8, #0x6f4
0xfffffff0088a19b4: 68ae8052  mov	w8, #0x573
0xfffffff0088a19b8: 894cff90  adrp	x9, #0xfffffff007231000
0xfffffff0088a19bc: 29b51b91  add	x9, x9, #0x6ed
0xfffffff0088a19c0: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088a19c4: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a19c8: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a19cc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a19d0: a80f8052  mov	w8, #0x7d
0xfffffff0088a19d4: 034eff90  adrp	x3, #0xfffffff007261000
0xfffffff0088a19d8: 634c2091  add	x3, x3, #0x813
0xfffffff0088a19dc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a19e0: f60300f9  str	x22, [sp]
0xfffffff0088a19e4: 404aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a19e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a19ec: 218bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a19f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a19f4: 02008052  mov	w2, #0
0xfffffff0088a19f8: ce45ea97  bl	#0xfffffff008333130
0xfffffff0088a19fc: ef010014  b	#0xfffffff0088a21b8
0xfffffff0088a1a00: a00f8052  mov	w0, #0x7d
0xfffffff0088a1a04: 81008052  mov	w1, #4
0xfffffff0088a1a08: 7267ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a1a0c: 603d0034  cbz	w0, #0xfffffff0088a21b8
0xfffffff0088a1a10: a00f8052  mov	w0, #0x7d
0xfffffff0088a1a14: 8167ff97  bl	#0xfffffff00887b818
0xfffffff0088a1a18: f70300aa  mov	x23, x0
0xfffffff0088a1a1c: e4490094  bl	#0xfffffff0088b41ac
0xfffffff0088a1a20: f60300aa  mov	x22, x0
0xfffffff0088a1a24: 80008052  mov	w0, #4
0xfffffff0088a1a28: 8a67ff97  bl	#0xfffffff00887b850
0xfffffff0088a1a2c: f7380034  cbz	w23, #0xfffffff0088a2148
0xfffffff0088a1a30: e80315aa  mov	x8, x21
0xfffffff0088a1a34: 690240b9  ldr	w9, [x19]
0xfffffff0088a1a38: f4a304a9  stp	x20, x8, [sp, #0x48]
0xfffffff0088a1a3c: 684cfff0  adrp	x8, #0xfffffff007230000
0xfffffff0088a1a40: 0a511691  add	x10, x8, #0x594
0xfffffff0088a1a44: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff0088a1a48: 88b08052  mov	w8, #0x584
0xfffffff0088a1a4c: 894cff90  adrp	x9, #0xfffffff007231000
0xfffffff0088a1a50: 29b51b91  add	x9, x9, #0x6ed
0xfffffff0088a1a54: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088a1a58: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a1a5c: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a1a60: e8a701a9  stp	x8, x9, [sp, #0x18]
